dataset,symbol,net_contribution_usd_not_continuous
V28_2025_DEVELOPMENT,EURUSD,173.7872329697224
V28_2025_DEVELOPMENT,GBPUSD,122.01753517380118
V28_2025_DEVELOPMENT,AUDUSD,57.75934363074586
V28_2025_DEVELOPMENT,NZDUSD,36.78450155895684
V28_2025_DEVELOPMENT,USDCAD,64.0796034768856
V28_2025_DEVELOPMENT,USDCHF,135.43536563733667
V28_2025_DEVELOPMENT,USDJPY,-98.35385211668172
V28_2026_PRESEAL_DEVELOPMENT,EURUSD,21.789916615274002
V28_2026_PRESEAL_DEVELOPMENT,GBPUSD,-71.25709067063839
V28_2026_PRESEAL_DEVELOPMENT,AUDUSD,155.3140690643341
V28_2026_PRESEAL_DEVELOPMENT,NZDUSD,122.59388745263432
V28_2026_PRESEAL_DEVELOPMENT,USDCAD,-39.7983610397292
V28_2026_PRESEAL_DEVELOPMENT,USDCHF,74.85178590780217
V28_2026_PRESEAL_DEVELOPMENT,USDJPY,-4.704087733438996
