condition,previous_completed_trade_execution,next_completed_trade_execution,gap_seconds,gap_days,exceeds_60_days,interpretation
NORMAL,2025.02.14 11:31:17,2025.04.04 14:32:01,4244444,49.12550925925926,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
NORMAL,2025.08.04 10:05:00,2025.09.25 15:52:27,4513647,52.241284722222225,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
NORMAL,2025.12.01 10:05:00,2026.01.09 23:12:43,3416863,39.547025462962964,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
NORMAL,2026.03.02 10:05:00,2026.04.14 10:06:09,3715269,43.00079861111111,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
NORMAL,2026.06.01 10:05:00,2026.07.06 10:05:00,3024000,35.0,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
HIGH,2025.02.14 11:31:17,2025.04.04 14:32:01,4244444,49.12550925925926,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
HIGH,2025.08.04 10:05:00,2025.09.25 15:52:27,4513647,52.241284722222225,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
HIGH,2025.12.01 10:05:00,2026.01.09 23:12:43,3416863,39.547025462962964,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
HIGH,2026.03.02 10:05:00,2026.04.14 10:06:09,3715269,43.00079861111111,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
HIGH,2026.06.01 10:05:00,2026.07.06 10:05:00,3024000,35.0,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
STRESS,2025.02.14 11:31:17,2025.04.04 14:32:01,4244444,49.12550925925926,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
STRESS,2025.08.04 10:05:00,2025.09.25 15:52:27,4513647,52.241284722222225,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
STRESS,2025.12.01 10:05:00,2026.01.09 23:12:43,3416863,39.547025462962964,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
STRESS,2026.03.02 10:05:00,2026.04.14 10:06:09,3715269,43.00079861111111,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
STRESS,2026.06.01 10:05:00,2026.07.06 10:05:00,3024000,35.0,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
200MS,2025.02.14 11:31:18,2025.04.04 14:32:01,4244443,49.12549768518519,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
200MS,2025.08.04 10:05:01,2025.09.25 15:52:27,4513646,52.241273148148146,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
200MS,2025.12.01 10:05:01,2026.01.09 23:12:43,3416862,39.54701388888889,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
200MS,2026.03.02 10:05:01,2026.04.14 10:06:09,3715268,43.000787037037036,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
200MS,2026.06.01 10:05:01,2026.07.06 10:05:00,3023999,34.99998842592593,NO,GENUINE_V28_EXECUTION_GAP_WITH_QUALIFIED_COVERAGE
