dataset,symbol,net_contribution_usd_not_continuous
V28_2025_DEVELOPMENT,EURUSD,173.809183059169
V28_2025_DEVELOPMENT,GBPUSD,122.09958592067466
V28_2025_DEVELOPMENT,AUDUSD,57.66278700267549
V28_2025_DEVELOPMENT,NZDUSD,36.93729930496739
V28_2025_DEVELOPMENT,USDCAD,64.5743901023615
V28_2025_DEVELOPMENT,USDCHF,135.64097223916636
V28_2025_DEVELOPMENT,USDJPY,-98.60529993555568
V28_2026_PRESEAL_DEVELOPMENT,EURUSD,22.321454387866524
V28_2026_PRESEAL_DEVELOPMENT,GBPUSD,-71.3303925427906
V28_2026_PRESEAL_DEVELOPMENT,AUDUSD,154.39336174979132
V28_2026_PRESEAL_DEVELOPMENT,NZDUSD,122.16954402590484
V28_2026_PRESEAL_DEVELOPMENT,USDCAD,-40.33824037873492
V28_2026_PRESEAL_DEVELOPMENT,USDCHF,74.74667138347883
V28_2026_PRESEAL_DEVELOPMENT,USDJPY,-4.348600613923637
