signal_time,legs,aggregate_initial_stop_risk_usd,percent_of_source_starting_balance,approval_disclosed_range_percent,fxify_per_trade_risk_rule,programme_breach
2025.01.06 10:05:00,7,264.92095102,2.6492095102000004,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.02.03 10:05:00,7,295.50635057,2.9550635057,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.03.03 10:05:00,7,281.14182683,2.8114182683,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.04.07 10:05:00,7,235.50984616,2.3550984616,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.05.05 10:05:00,7,262.67325221,2.6267325220999997,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.06.02 10:05:00,7,242.93020133,2.4293020133,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.07.07 10:05:00,7,298.4222286,2.9842222859999996,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.09.01 10:05:00,7,314.96248855,3.1496248854999997,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.10.06 10:05:00,7,285.98902095,2.8598902095,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.11.03 10:05:00,7,320.42994454999996,3.2042994455,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.01.05 10:05:00,7,296.10421591,2.9610421591,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.02.02 10:05:00,7,245.00904272,2.4500904272,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.04.06 10:05:00,7,262.78607621,2.6278607620999996,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.05.04 10:05:00,7,294.57046,2.9457046000000005,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.06.01 10:05:00,7,286.3822323,2.863822323,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
