position_identifier,symbol,direction,entry_time_text,exit_time_text,volume,initial_risk_amount,native_net_before_external_commission,external_commission,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_cash,adjusted_net_R,exit_reason
2,EURUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,45.72,25.62,0.12,0.24,2.52,0.0,0.0,0.0,2.88,0.0,0.0,25.5,0.5577427821522309,MONTHLY_REBALANCE_EXIT
3,GBPUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.01,29.81,17.26,0.06,0.14,0.52,0.0,0.0,0.019999999999908976,0.739999999999909,0.0,0.0,17.200000000000003,0.5769875880576989,MONTHLY_REBALANCE_EXIT
4,AUDUSD,SELL,2025.01.06 10:05:01,2025.02.03 10:05:00,0.03,43.47,28.34,0.18,0.39,0.52,0.0,0.0,0.060000000000060005,1.15000000000006,0.0,0.0,28.16,0.6478030825856913,MONTHLY_REBALANCE_EXIT
5,NZDUSD,SELL,2025.01.06 10:05:01,2025.02.03 10:05:01,0.03,41.13,22.7,0.18,0.48,0.32,0.0,0.0,0.05999999999972693,1.039999999999727,0.0,0.0,22.52,0.5475322149282762,MONTHLY_REBALANCE_EXIT
6,USDCAD,BUY,2025.01.06 10:05:01,2025.02.03 10:05:01,0.02,35.33893121,45.33,0.12,0.16680914948184908,1.4,0.0,0.0,0.20851143685244272,1.8953205863342917,0.0,0.0,45.21,1.2793256177257208,MONTHLY_REBALANCE_EXIT
7,USDCHF,BUY,2025.01.06 10:05:01,2025.02.03 10:05:01,0.02,43.95023088,28.97,0.12,0.3085263459461842,3.66,0.0,0.0881503845561408,0.0,4.176676730502325,0.0,0.0,28.849999999999998,0.6564243104608691,MONTHLY_REBALANCE_EXIT
8,USDJPY,BUY,2025.01.06 10:05:01,2025.02.03 10:05:01,0.01,25.50178893,-11.13,0.06,0.08245957894870382,1.68,0.0,0.07611653441419101,0.0,1.8985761133628947,0.0,0.0,-11.190000000000001,-0.4387927462938186,MONTHLY_REBALANCE_EXIT
20,USDCAD,BUY,2025.02.03 10:05:06,2025.02.04 16:16:49,0.02,46.87712429,-48.25,0.12,0.19029366390061234,0.05,0.0,0.27184809128686094,0.0,0.6321417551874733,0.0,0.0,-48.37,-1.0318465719177758,STOP_LOSS_EXIT
21,USDCHF,BUY,2025.02.03 10:05:06,2025.02.05 12:39:24,0.02,40.16667211,-40.9,0.12,0.3480682213713888,0.26,0.0,0.1740341106856269,0.0,0.9021023320570157,0.0,0.0,-41.019999999999996,-1.021244674880286,STOP_LOSS_EXIT
22,USDJPY,BUY,2025.02.03 10:05:06,2025.02.06 21:33:05,0.01,28.38255417,-28.970000000000002,0.06,0.10276898175208268,0.31,0.0,0.025692245437960795,0.0,0.4984612271900435,0.0,0.0,-29.03,-1.0228114011911,STOP_LOSS_EXIT
