condition,trading_day,boundary_interpretation,server_period_start,server_period_end,opening_balance,opening_equity,closing_balance,closing_equity,minimum_equity,minimum_equity_server_time,minimum_basis,executed_entries,exits,realised_profit,equity_change,closing_floating_profit_loss,daily_breach_level,daily_loss_margin,daily_loss_breach,profitable_day_a_cumulative,profitable_day_b_individual
NORMAL,2025-01-01,FIXED_EST,2025.01.01 00:00:00,2025.01.02 00:00:00,10000.0,10000.0,10000.0,10000.0,10000.0,2024.12.31 23:59:59.154,CARRIED_STATE_NO_MARKET_TICKS,0,0,0.0,0.0,0.0,9600.0,400.0,NO,NO,NO
NORMAL,2025-01-02,FIXED_EST,2025.01.02 00:00:00,2025.01.03 00:00:00,10000.0,10000.0,10000.0,10000.0,10000.0,2025.01.02 00:00:00.594,ADJUSTED_HOUR_OPEN,0,0,0.0,0.0,0.0,9600.0,400.0,NO,NO,NO
NORMAL,2025-01-03,FIXED_EST,2025.01.03 00:00:00,2025.01.04 00:00:00,10000.0,10000.0,10000.0,10000.0,10000.0,2025.01.03 00:02:59.045,ADJUSTED_HOUR_OPEN,0,0,0.0,0.0,0.0,9600.0,400.0,NO,NO,NO
NORMAL,2025-01-04,FIXED_EST,2025.01.04 00:00:00,2025.01.05 00:00:00,10000.0,10000.0,10000.0,10000.0,10000.0,2025.01.03 23:55:00.055,CARRIED_STATE_NO_MARKET_TICKS,0,0,0.0,0.0,0.0,9600.0,400.0,NO,NO,NO
NORMAL,2025-01-05,FIXED_EST,2025.01.05 00:00:00,2025.01.06 00:00:00,10000.0,10000.0,10000.0,10000.0,10000.0,2025.01.03 23:55:00.055,CARRIED_STATE_NO_MARKET_TICKS,0,0,0.0,0.0,0.0,9600.0,400.0,NO,NO,NO
NORMAL,2025-01-06,FIXED_EST,2025.01.06 00:00:00,2025.01.07 00:00:00,10000.0,10000.0,10000.0,9962.58,9897.07,2025.01.06 15:29:39.307,RAW_HOURLY_MINIMUM,7,0,0.0,-37.42000000000007,-37.42000000000007,9600.0,297.0699999999997,NO,NO,NO
NORMAL,2025-01-07,FIXED_EST,2025.01.07 00:00:00,2025.01.08 00:00:00,10000.0,9962.58,10000.0,9983.32,9906.97,2025.01.07 11:06:23.812,RAW_HOURLY_MINIMUM,0,0,0.0,20.73999999999978,-16.68000000000029,9600.0,306.96999999999935,NO,NO,NO
NORMAL,2025-01-08,FIXED_EST,2025.01.08 00:00:00,2025.01.09 00:00:00,10000.0,9983.32,10000.0,10042.78,9985.24,2025.01.08 08:17:02.412,RAW_HOURLY_MINIMUM,0,0,0.0,59.460000000000946,42.780000000000655,9600.0,385.2399999999998,NO,NO,NO
NORMAL,2025-01-09,FIXED_EST,2025.01.09 00:00:00,2025.01.10 00:00:00,10000.0,10042.78,10000.0,10055.48,10028.97,2025.01.09 00:03:00.081,RAW_HOURLY_MINIMUM,0,0,0.0,12.699999999998909,55.47999999999956,9600.0,428.96999999999935,NO,NO,NO
NORMAL,2025-01-10,FIXED_EST,2025.01.10 00:00:00,2025.01.11 00:00:00,10000.0,10055.48,10000.0,10117.06,10048.46,2025.01.10 00:00:00.798,RAW_HOURLY_MINIMUM,0,0,0.0,61.57999999999993,117.05999999999949,9600.0,448.4599999999991,NO,NO,NO
NORMAL,2025-01-11,FIXED_EST,2025.01.11 00:00:00,2025.01.12 00:00:00,10000.0,10117.06,10000.0,10116.91,10116.91,2025.01.10 23:54:59.872,CARRIED_STATE_NO_MARKET_TICKS,0,0,0.0,-0.1499999999996362,116.90999999999985,9600.0,516.9099999999999,NO,NO,NO
NORMAL,2025-01-12,FIXED_EST,2025.01.12 00:00:00,2025.01.13 00:00:00,10000.0,10116.91,10000.0,10116.91,10116.91,2025.01.10 23:54:59.872,CARRIED_STATE_NO_MARKET_TICKS,0,0,0.0,0.0,116.90999999999985,9600.0,516.9099999999999,NO,NO,NO
NORMAL,2025-01-13,FIXED_EST,2025.01.13 00:00:00,2025.01.14 00:00:00,10000.0,10116.91,10000.0,10128.69,10088.51,2025.01.13 23:59:59.295,RAW_HOURLY_MINIMUM,0,0,0.0,11.780000000000655,128.6900000000005,9600.0,488.5100000000002,NO,NO,NO
NORMAL,2025-01-14,FIXED_EST,2025.01.14 00:00:00,2025.01.15 00:00:00,10000.0,10128.69,10000.0,10067.18,10047.44,2025.01.14 10:22:12.539,RAW_HOURLY_MINIMUM,0,0,0.0,-61.51000000000022,67.18000000000029,9600.0,447.4400000000005,NO,NO,NO
NORMAL,2025-01-15,FIXED_EST,2025.01.15 00:00:00,2025.01.16 00:00:00,10000.0,10067.18,10000.0,10032.37,9984.61,2025.01.15 15:58:15.514,RAW_HOURLY_MINIMUM,0,0,0.0,-34.80999999999949,32.3700000000008,9600.0,384.6100000000006,NO,NO,NO
NORMAL,2025-01-16,FIXED_EST,2025.01.16 00:00:00,2025.01.17 00:00:00,10000.0,10032.37,10000.0,10035.98,10016.12,2025.01.16 19:28:28.309,RAW_HOURLY_MINIMUM,0,0,0.0,3.609999999998763,35.97999999999956,9600.0,416.1200000000008,NO,NO,NO
NORMAL,2025-01-17,FIXED_EST,2025.01.17 00:00:00,2025.01.18 00:00:00,10000.0,10035.98,10000.0,10082.55,10028.02,2025.01.17 17:11:54.609,RAW_HOURLY_MINIMUM,0,0,0.0,46.56999999999971,82.54999999999927,9600.0,428.02000000000044,NO,NO,NO
NORMAL,2025-01-18,FIXED_EST,2025.01.18 00:00:00,2025.01.19 00:00:00,10000.0,10082.55,10000.0,10088.2,10082.55,2025.01.17 23:57:52.691,CARRIED_STATE_NO_MARKET_TICKS,0,0,0.0,5.650000000001455,88.20000000000073,9600.0,482.5499999999993,NO,NO,NO
NORMAL,2025-01-19,FIXED_EST,2025.01.19 00:00:00,2025.01.20 00:00:00,10000.0,10088.2,10000.0,10088.2,10088.2,2025.01.17 23:57:52.691,CARRIED_STATE_NO_MARKET_TICKS,0,0,0.0,0.0,88.20000000000073,9600.0,488.2000000000007,NO,NO,NO
