position_identifier,symbol,direction,entry_time_text,exit_time_text,volume,initial_risk_amount,native_net_before_external_commission,external_commission,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_cash,adjusted_net_R,exit_reason
2,EURUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,45.72,25.58,0.12,0.24,2.52,0.0,0.0,0.0,2.88,0.5,1.44,24.019999999999996,0.5253718285214347,MONTHLY_REBALANCE_EXIT
3,GBPUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.01,29.81,17.26,0.06,0.14,0.52,0.0,0.0,0.0,0.72,0.5,0.36,16.840000000000003,0.5649111036564912,MONTHLY_REBALANCE_EXIT
4,AUDUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.03,43.47,28.25,0.18,0.39,0.52,0.0,0.0,0.0,1.09,0.5,0.545,27.525,0.6331953071083506,MONTHLY_REBALANCE_EXIT
5,NZDUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.03,41.13,22.67,0.18,0.48,0.32,0.0,0.0,0.0,0.98,0.5,0.49,22.000000000000004,0.5348893751519572,MONTHLY_REBALANCE_EXIT
6,USDCAD,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,35.33721181,45.44,0.12,0.16680219344884387,1.4,0.0,0.0,0.0,1.6868021934488437,0.5,0.8434010967244219,44.47659890327558,1.2586335091295813,MONTHLY_REBALANCE_EXIT
7,USDCHF,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,43.95168401,29.05,0.12,0.3085399449035813,3.66,0.0,0.0,0.0,4.088539944903581,0.5,2.0442699724517905,26.88573002754821,0.6117110329932091,MONTHLY_REBALANCE_EXIT
8,USDJPY,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.01,25.50308321,-11.05,0.06,0.08246585596386727,1.68,0.0,0.0,0.0,1.8224658559638671,0.5,0.9112329279819336,-12.021232927981934,-0.4713639064341952,MONTHLY_REBALANCE_EXIT
20,USDCAD,BUY,2025.02.03 10:05:01,2025.02.04 16:16:49,0.02,46.87234491,-48.0,0.12,0.19031694568490312,0.05,0.0,0.0,0.0,0.3603169456849031,0.5,0.18015847284245154,-48.30015847284245,-1.0304617480858702,STOP_LOSS_EXIT
21,USDCHF,BUY,2025.02.03 10:05:01,2025.02.05 12:38:24,0.02,40.16667211,-40.72,0.12,0.34807957969390757,0.26,0.0,0.0,0.0,0.7280795796939076,0.5,0.3640397898469538,-41.20403978984695,-1.0258265777410194,STOP_LOSS_EXIT
22,USDJPY,BUY,2025.02.03 10:05:01,2025.02.06 21:33:05,0.01,28.38255417,-28.970000000000002,0.06,0.10277756365785351,0.31,0.0,0.0,0.0,0.4727775636578535,0.5,0.23638878182892675,-29.26638878182893,-1.0311400660608316,STOP_LOSS_EXIT
18,AUDUSD,SELL,2025.02.03 10:05:01,2025.02.07 15:30:05,0.03,50.49,-50.63,0.18,0.42,0.11,0.0,0.0,0.0,0.71,0.5,0.355,-51.165,-1.0133689839572193,STOP_LOSS_EXIT
16,EURUSD,SELL,2025.02.03 10:05:01,2025.02.14 00:24:50,0.02,50.34,-49.17,0.12,0.22,1.17,0.0,0.0,0.0,1.5099999999999998,0.5,0.7549999999999999,-50.045,-0.994139849026619,STOP_LOSS_EXIT
17,GBPUSD,SELL,2025.02.03 10:05:01,2025.02.14 10:39:04,0.01,31.37,-31.619999999999997,0.06,0.16,0.24,0.0,0.0,0.0,0.45999999999999996,0.5,0.22999999999999998,-31.909999999999997,-1.0172138986292636,STOP_LOSS_EXIT
19,NZDUSD,SELL,2025.02.03 10:05:01,2025.02.14 11:31:17,0.03,47.88,-47.76,0.18,0.48,0.15,0.0,0.0,0.0,0.8099999999999999,0.5,0.40499999999999997,-48.345,-1.0097117794486214,STOP_LOSS_EXIT
32,AUDUSD,BUY,2025.03.03 10:05:00,2025.04.04 14:32:01,0.03,48.33,-50.95,0.18,0.42,1.75,0.0,0.0,0.0,2.35,0.5,1.175,-52.305,-1.0822470515207945,STOP_LOSS_EXIT
30,EURUSD,BUY,2025.03.03 10:05:00,2025.04.07 10:05:00,0.02,43.04,116.06,0.12,0.24,6.7,0.0,0.0,0.0,7.0600000000000005,0.5,3.5300000000000002,112.41,2.611756505576208,MONTHLY_REBALANCE_EXIT
31,GBPUSD,BUY,2025.03.03 10:05:00,2025.04.07 10:05:00,0.01,24.69,30.05,0.06,0.14,1.0,0.0,0.0,0.0,1.2,0.5,0.6,29.39,1.1903604698258403,MONTHLY_REBALANCE_EXIT
33,NZDUSD,BUY,2025.03.03 10:05:00,2025.04.07 10:05:00,0.03,47.73,-11.67,0.18,0.48,2.85,0.0,0.0,0.0,3.51,0.5,1.755,-13.605,-0.2850408548082967,MONTHLY_REBALANCE_EXIT
34,USDCAD,SELL,2025.03.03 10:05:00,2025.04.07 10:05:00,0.03,47.62965386,34.45,0.18,0.3324076703069923,6.66,0.0,0.0,0.0,7.172407670306993,0.5,3.5862038351534964,30.683796164846505,0.6442162324974433,MONTHLY_REBALANCE_EXIT
35,USDCHF,SELL,2025.03.03 10:05:00,2025.04.07 10:05:00,0.02,39.91696915,116.72,0.12,0.35502302102401956,9.16,0.0,0.0,0.0,9.63502302102402,0.5,4.81751151051201,111.78248848948799,2.8003751504637466,MONTHLY_REBALANCE_EXIT
36,USDJPY,SELL,2025.03.03 10:05:00,2025.04.07 10:05:00,0.01,29.80554986,29.240000000000002,0.06,0.08661989192502716,4.5,0.0,0.0,0.0,4.6466198919250274,0.5,2.3233099459625137,26.85669005403749,0.9010633986014808,MONTHLY_REBALANCE_EXIT
44,EURUSD,BUY,2025.04.07 10:05:01,2025.05.05 10:05:00,0.01,31.22,27.58,0.06,0.11,2.76,0.0,0.0,0.0,2.9299999999999997,0.5,1.4649999999999999,26.055,0.8345611787315823,MONTHLY_REBALANCE_EXIT
45,GBPUSD,BUY,2025.04.07 10:05:01,2025.05.05 10:05:00,0.01,30.83,35.550000000000004,0.06,0.17,0.8,0.0,0.0,0.0,1.03,0.5,0.515,34.975,1.1344469672397017,MONTHLY_REBALANCE_EXIT
