reference,instrumented,file,reference_sha256,instrumented_sha256,status
a2-reference-normal,normal,deals.csv,719ba3af1cf9c03a95c03b510345141a0642044b1101178f36260c1efc721fc7,719ba3af1cf9c03a95c03b510345141a0642044b1101178f36260c1efc721fc7,PASS
a2-reference-normal,normal,transactions.csv,fb8e21f6ec0d5e4a3807ca6ec84d2f165c18aa016780d21ec6ef86b4adb35527,fb8e21f6ec0d5e4a3807ca6ec84d2f165c18aa016780d21ec6ef86b4adb35527,PASS
a2-reference-normal,normal,events.csv,f4685cdb6540944e5545e56106a45b6f3cce5ac8e508b1a5a181c39ea008e0fe,f4685cdb6540944e5545e56106a45b6f3cce5ac8e508b1a5a181c39ea008e0fe,PASS
a2-reference-200ms,200ms,deals.csv,a846e2d8dd37ec251f7dcf86633fe5d98bea3ea811e0d8a739f9f17e24c664ab,a846e2d8dd37ec251f7dcf86633fe5d98bea3ea811e0d8a739f9f17e24c664ab,PASS
a2-reference-200ms,200ms,transactions.csv,20481836c981f973aaf967666224df76ff8ce48779564e4fdd64000569a56ed9,20481836c981f973aaf967666224df76ff8ce48779564e4fdd64000569a56ed9,PASS
a2-reference-200ms,200ms,events.csv,14dc4a97d3f6dfa75f2a077712ccd89ef207b4a2ff052ba604df3ef287fcdc91,14dc4a97d3f6dfa75f2a077712ccd89ef207b4a2ff052ba604df3ef287fcdc91,PASS
normal,high,deals.csv,719ba3af1cf9c03a95c03b510345141a0642044b1101178f36260c1efc721fc7,719ba3af1cf9c03a95c03b510345141a0642044b1101178f36260c1efc721fc7,PASS
normal,high,transactions.csv,fb8e21f6ec0d5e4a3807ca6ec84d2f165c18aa016780d21ec6ef86b4adb35527,fb8e21f6ec0d5e4a3807ca6ec84d2f165c18aa016780d21ec6ef86b4adb35527,PASS
normal,high,events.csv,f4685cdb6540944e5545e56106a45b6f3cce5ac8e508b1a5a181c39ea008e0fe,f4685cdb6540944e5545e56106a45b6f3cce5ac8e508b1a5a181c39ea008e0fe,PASS
normal,stress,deals.csv,719ba3af1cf9c03a95c03b510345141a0642044b1101178f36260c1efc721fc7,719ba3af1cf9c03a95c03b510345141a0642044b1101178f36260c1efc721fc7,PASS
normal,stress,transactions.csv,fb8e21f6ec0d5e4a3807ca6ec84d2f165c18aa016780d21ec6ef86b4adb35527,fb8e21f6ec0d5e4a3807ca6ec84d2f165c18aa016780d21ec6ef86b4adb35527,PASS
normal,stress,events.csv,f4685cdb6540944e5545e56106a45b6f3cce5ac8e508b1a5a181c39ea008e0fe,f4685cdb6540944e5545e56106a45b6f3cce5ac8e508b1a5a181c39ea008e0fe,PASS
