position_identifier,symbol,direction,entry_time_text,exit_time_text,volume,initial_risk_amount,native_net_before_external_commission,external_commission,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_cash,adjusted_net_R,exit_reason
2,EURUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,45.72,25.58,0.12,0.24,2.52,0.0,0.0,0.0,2.88,0.0,0.0,25.459999999999997,0.5568678915135608,MONTHLY_REBALANCE_EXIT
3,GBPUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.01,29.81,17.26,0.06,0.14,0.52,0.0,0.0,0.0,0.72,0.0,0.0,17.200000000000003,0.5769875880576989,MONTHLY_REBALANCE_EXIT
4,AUDUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.03,43.47,28.25,0.18,0.39,0.52,0.0,0.0,0.0,1.09,0.0,0.0,28.07,0.6457326892109501,MONTHLY_REBALANCE_EXIT
5,NZDUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.03,41.13,22.67,0.18,0.48,0.32,0.0,0.0,0.0,0.98,0.0,0.0,22.490000000000002,0.5468028203257963,MONTHLY_REBALANCE_EXIT
6,USDCAD,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,35.33721181,45.44,0.12,0.16680219344884387,1.4,0.0,0.0,0.0,1.6868021934488437,0.0,0.0,45.32,1.2825007316274737,MONTHLY_REBALANCE_EXIT
7,USDCHF,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,43.95168401,29.05,0.12,0.3085399449035813,3.66,0.0,0.0,0.0,4.088539944903581,0.0,0.0,28.93,0.658222788310404,MONTHLY_REBALANCE_EXIT
8,USDJPY,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.01,25.50308321,-11.05,0.06,0.08246585596386727,1.68,0.0,0.0,0.0,1.8224658559638671,0.0,0.0,-11.110000000000001,-0.43563360196557194,MONTHLY_REBALANCE_EXIT
20,USDCAD,BUY,2025.02.03 10:05:01,2025.02.04 16:16:49,0.02,46.87234491,-48.0,0.12,0.19031694568490312,0.05,0.0,0.0,0.0,0.3603169456849031,0.0,0.0,-48.12,-1.0266181496231015,STOP_LOSS_EXIT
21,USDCHF,BUY,2025.02.03 10:05:01,2025.02.05 12:38:24,0.02,40.16667211,-40.72,0.12,0.34807957969390757,0.26,0.0,0.0,0.0,0.7280795796939076,0.0,0.0,-40.839999999999996,-1.0167633476867595,STOP_LOSS_EXIT
22,USDJPY,BUY,2025.02.03 10:05:01,2025.02.06 21:33:05,0.01,28.38255417,-28.970000000000002,0.06,0.10277756365785351,0.31,0.0,0.0,0.0,0.4727775636578535,0.0,0.0,-29.03,-1.0228114011911,STOP_LOSS_EXIT
