deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.01.06 10:05:00,1736157900609,0,1,3,0.02000000,1.0333500000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,SolTrade TBV1,YES
3,3,3,2025.01.06 10:05:00,1736157900809,0,1,3,0.01000000,1.2457800000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,SolTrade TBV1,YES
4,4,4,2025.01.06 10:05:01,1736157901009,0,1,3,0.03000000,0.6232300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,SolTrade TBV1,YES
5,5,5,2025.01.06 10:05:01,1736157901209,0,1,3,0.03000000,0.5627500000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,SolTrade TBV1,YES
6,6,6,2025.01.06 10:05:01,1736157901409,0,0,3,0.02000000,1.4387700000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,SolTrade TBV1,YES
7,7,7,2025.01.06 10:05:01,1736157901609,0,0,3,0.02000000,0.9075400000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,SolTrade TBV1,YES
8,8,8,2025.01.06 10:05:01,1736157901809,0,0,3,0.01000000,157.6530000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,SolTrade TBV1,YES
9,9,2,2025.02.03 10:05:00,1738577100471,1,0,3,0.02000000,1.0218000000,23.10000000,0.00000000,2.52000000,0.00000000,2808202601,EURUSD,SolTrade TBV1 exit,YES
10,10,3,2025.02.03 10:05:00,1738577100671,1,0,3,0.01000000,1.2280000000,17.78000000,0.00000000,-0.52000000,0.00000000,2808202602,GBPUSD,SolTrade TBV1 exit,YES
11,11,4,2025.02.03 10:05:00,1738577100871,1,0,3,0.03000000,0.6136100000,28.86000000,0.00000000,-0.52000000,0.00000000,2808202603,AUDUSD,SolTrade TBV1 exit,YES
12,12,5,2025.02.03 10:05:01,1738577101071,1,0,3,0.03000000,0.5552900000,22.38000000,0.00000000,0.32000000,0.00000000,2808202604,NZDUSD,SolTrade TBV1 exit,YES
13,13,6,2025.02.03 10:05:01,1738577101271,1,1,3,0.02000000,1.4710800000,43.93000000,0.00000000,1.40000000,0.00000000,2808202605,USDCAD,SolTrade TBV1 exit,YES
14,14,7,2025.02.03 10:05:01,1738577101471,1,1,3,0.02000000,0.9191700000,25.31000000,0.00000000,3.66000000,0.00000000,2808202606,USDCHF,SolTrade TBV1 exit,YES
15,15,8,2025.02.03 10:05:01,1738577101671,1,1,3,0.01000000,155.6590000000,-12.81000000,0.00000000,1.68000000,0.00000000,2808202607,USDJPY,SolTrade TBV1 exit,YES
16,16,16,2025.02.03 10:05:05,1738577105507,0,1,3,0.02000000,1.0216900000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,SolTrade TBV1,YES
17,17,17,2025.02.03 10:05:05,1738577105707,0,1,3,0.01000000,1.2279100000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,SolTrade TBV1,YES
18,18,18,2025.02.03 10:05:05,1738577105907,0,1,3,0.03000000,0.6134500000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,SolTrade TBV1,YES
19,19,19,2025.02.03 10:05:06,1738577106107,0,1,3,0.03000000,0.5551300000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,SolTrade TBV1,YES
