schema,server_hour,opening_time_msc,closing_time_msc,opening_balance,opening_equity,closing_balance,closing_equity,minimum_equity,minimum_time_msc,profit_at_minimum,opening_positions,closing_positions,maximum_positions
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 00:00:00,1733097600000,1733101199501,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733097600000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 01:00:00,1733101200000,1733104799188,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733101200000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 02:00:00,1733104800000,1733108399000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733104800000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 03:00:00,1733108400000,1733111999105,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733108400000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 04:00:00,1733112000000,1733115599236,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733112000000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 05:00:00,1733115600000,1733119199000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733115600000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 06:00:00,1733119200000,1733122799286,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733119200000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 07:00:00,1733122800000,1733126399000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733122800000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 08:00:00,1733126400000,1733129999677,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733126400000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 09:00:00,1733130000000,1733133599173,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733130000000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 10:00:00,1733133600000,1733137199206,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733133600000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 11:00:00,1733137200000,1733140799000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733137200000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 12:00:00,1733140800000,1733144399710,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733140800000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 13:00:00,1733144400000,1733147999334,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733144400000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 14:00:00,1733148000000,1733151599348,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733148000000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 15:00:00,1733151600000,1733155199184,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733151600000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 16:00:00,1733155200000,1733158799379,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733155200000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 17:00:00,1733158800000,1733162399216,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733158800000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 18:00:00,1733162400000,1733165999017,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733162400000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 19:00:00,1733166000000,1733169599182,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733166000000,0.00000000,0,0,0
SOLTRADE_FXIFY_V28_EQUITY_HOUR_V1,2024.12.02 20:00:00,1733169600000,1733173199000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,10000.00000000,1733169600000,0.00000000,0,0,0
