position_identifier,symbol,direction,entry_time,exit_time,volume,native_net_before_external_commission,source_signed_swap,source_entry_spread_cost,fxify_snapshot_spread_points,fxify_snapshot_spread_cost,fxify_snapshot_swap_rate,fxify_snapshot_rollover_weight,fxify_snapshot_swap_cash,fxify_commission_6_per_lot,candidate_cash,historical_spread_swap_status
2,EURUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,25.58,2.52,0.24,6.0,0.12,4.185,28,2.3436,0.12,25.403599999999994,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
3,GBPUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.01,17.26,-0.52,0.14,10.0,0.1,-1.144,28,-0.32031999999999994,0.06,17.439680000000003,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
4,AUDUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.03,28.25,-0.52,0.39,6.0,0.18,-1.969,28,-1.6539599999999999,0.18,27.14604,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
5,NZDUSD,SELL,2025.01.06 10:05:00,2025.02.03 10:05:00,0.03,22.67,0.32,0.48,3.0,0.09,0.792,28,0.66528,0.18,23.22528,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
6,USDCAD,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,45.44,1.4,0.16680219344884387,11.0,0.15646002090884,4.086,28,1.6272980065580516,0.12,45.55764017909806,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
7,USDCHF,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.02,29.05,3.66,0.3085399449035813,7.0,0.17300824260692,4.602,28,3.1847357299081835,0.12,28.590267432204847,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
8,USDJPY,BUY,2025.01.06 10:05:00,2025.02.03 10:05:00,0.01,-11.05,1.68,0.08246585596386727,6.0,0.038055129197160004,7.332,28,1.3020943006100267,0.06,-11.443494972623267,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
20,USDCAD,BUY,2025.02.03 10:05:01,2025.02.04 16:16:49,0.02,-48.0,0.05,0.19031694568490312,11.0,0.15646002090884,4.086,1,0.058117785948501845,0.12,-48.07802528927542,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
21,USDCHF,BUY,2025.02.03 10:05:01,2025.02.05 12:38:24,0.02,-40.72,0.26,0.34807957969390757,7.0,0.17300824260692,4.602,2,0.22748112356487027,0.12,-40.69744753934813,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
22,USDJPY,BUY,2025.02.03 10:05:01,2025.02.06 21:33:05,0.01,-28.970000000000002,0.31,0.10277756365785351,6.0,0.038055129197160004,7.332,5,0.23251683939464762,0.06,-29.04276072614466,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
18,AUDUSD,SELL,2025.02.03 10:05:01,2025.02.07 15:30:05,0.03,-50.63,-0.11,0.42,6.0,0.18,-1.969,6,-0.35441999999999996,0.18,-50.81442,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
16,EURUSD,SELL,2025.02.03 10:05:01,2025.02.14 00:24:50,0.02,-49.17,1.17,0.22,6.0,0.12,4.185,13,1.0880999999999998,0.12,-49.2719,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
17,GBPUSD,SELL,2025.02.03 10:05:01,2025.02.14 10:39:04,0.01,-31.619999999999997,-0.24,0.16,10.0,0.1,-1.144,13,-0.14872,0.06,-31.52872,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
19,NZDUSD,SELL,2025.02.03 10:05:01,2025.02.14 11:31:17,0.03,-47.76,0.15,0.48,3.0,0.09,0.792,13,0.30888,0.18,-47.39112,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
32,AUDUSD,BUY,2025.03.03 10:05:00,2025.04.04 14:32:01,0.03,-50.95,-1.75,0.42,6.0,0.18,0.369,34,0.37638,0.18,-48.76362,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
30,EURUSD,BUY,2025.03.03 10:05:00,2025.04.07 10:05:00,0.02,116.06,-6.7,0.24,6.0,0.12,-6.985,35,-4.889500000000001,0.12,117.87049999999999,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
31,GBPUSD,BUY,2025.03.03 10:05:00,2025.04.07 10:05:00,0.01,30.05,-1.0,0.14,10.0,0.1,-1.034,35,-0.3619,0.06,30.668100000000003,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
33,NZDUSD,BUY,2025.03.03 10:05:00,2025.04.07 10:05:00,0.03,-11.67,-2.85,0.48,3.0,0.09,-2.552,35,-2.6796,0.18,-11.2896,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
34,USDCAD,SELL,2025.03.03 10:05:00,2025.04.07 10:05:00,0.03,34.45,-6.66,0.3324076703069923,11.0,0.23469003136326,-7.546,35,-5.634907653031873,0.18,35.39280998591186,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
35,USDCHF,SELL,2025.03.03 10:05:00,2025.04.07 10:05:00,0.02,116.72,-9.16,0.35502302102401956,7.0,0.17300824260692,-10.043,35,-8.687608902506488,0.12,117.2544058759106,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
36,USDJPY,SELL,2025.03.03 10:05:00,2025.04.07 10:05:00,0.01,29.240000000000002,-4.5,0.08661989192502716,6.0,0.038055129197160004,-15.818,35,-3.5114101962372826,0.06,30.217154566490585,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
44,EURUSD,BUY,2025.04.07 10:05:01,2025.05.05 10:05:00,0.01,27.58,-2.76,0.11,6.0,0.06,-6.985,28,-1.9558000000000002,0.06,28.3742,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
45,GBPUSD,BUY,2025.04.07 10:05:01,2025.05.05 10:05:00,0.01,35.550000000000004,-0.8,0.17,10.0,0.1,-1.034,28,-0.28952,0.06,36.070479999999996,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
46,AUDUSD,BUY,2025.04.07 10:05:01,2025.05.05 10:05:00,0.01,44.129999999999995,-0.52,0.14,6.0,0.06,0.369,28,0.10332000000000001,0.06,44.77331999999999,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
47,NZDUSD,BUY,2025.04.07 10:05:01,2025.05.05 10:05:00,0.02,77.1,-1.64,0.32,3.0,0.06,-2.552,28,-1.4291200000000002,0.12,77.45087999999998,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
48,USDCAD,SELL,2025.04.07 10:05:01,2025.05.05 10:05:00,0.02,57.940000000000005,-3.65,0.21062238915996773,11.0,0.15646002090884,-7.546,28,-3.005284081616999,0.12,58.518878286634134,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
49,USDCHF,SELL,2025.04.07 10:05:01,2025.05.05 10:05:00,0.01,21.55,-3.91,0.18872598166998902,7.0,0.08650412130346,-10.043,28,-3.4750435610025954,0.06,22.027178299363936,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
50,USDJPY,SELL,2025.04.07 10:05:01,2025.05.05 10:05:00,0.01,1.8099999999999996,-3.66,0.11023231460302588,6.0,0.038055129197160004,-15.818,28,-2.809128156989826,0.06,2.6730490284160404,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
58,EURUSD,BUY,2025.05.05 10:05:01,2025.06.02 10:05:00,0.01,5.58,-2.76,0.13,6.0,0.06,-6.985,28,-1.9558000000000002,0.06,6.3942000000000005,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
59,GBPUSD,BUY,2025.05.05 10:05:01,2025.06.02 10:05:00,0.01,24.88,-0.8,0.14,10.0,0.1,-1.034,28,-0.28952,0.06,25.37048,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
60,AUDUSD,BUY,2025.05.05 10:05:01,2025.06.02 10:05:00,0.02,-0.3800000000000001,-1.08,0.28,6.0,0.12,0.369,28,0.20664000000000002,0.12,0.94664,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
61,NZDUSD,BUY,2025.05.05 10:05:01,2025.06.02 10:05:00,0.02,6.140000000000001,-1.64,0.32,3.0,0.06,-2.552,28,-1.4291200000000002,0.12,6.490879999999999,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
62,USDCAD,SELL,2025.05.05 10:05:01,2025.06.02 10:05:00,0.03,20.810000000000002,-5.56,0.36912921693941214,11.0,0.23469003136326,-7.546,28,-4.5079261224254985,0.18,21.816513063150655,STATIC_SNAPSHOT_CANDIDATE_NOT_HISTORICAL_FXIFY_EXECUTION
