execution_profile,event,time,position_identifier,symbol,volume,cash,closed_balance,exit_reason
NORMAL,NATURAL_ENTRY,2025.07.07 10:05:01.010,88,AUDUSD,0.02,0.0,10000.0,
NORMAL,NATURAL_ENTRY,2025.07.07 10:05:01.010,86,EURUSD,0.02,0.0,10000.0,
NORMAL,NATURAL_ENTRY,2025.07.07 10:05:01.010,87,GBPUSD,0.01,0.0,10000.0,
NORMAL,NATURAL_ENTRY,2025.07.07 10:05:01.010,89,NZDUSD,0.02,0.0,10000.0,
NORMAL,NATURAL_ENTRY,2025.07.07 10:05:01.010,90,USDCAD,0.02,0.0,10000.0,
NORMAL,NATURAL_ENTRY,2025.07.07 10:05:01.010,91,USDCHF,0.02,0.0,10000.0,
NORMAL,NATURAL_ENTRY,2025.07.07 10:05:01.010,92,USDJPY,0.01,0.0,10000.0,
NORMAL,NATURAL_EXIT,2025.07.15 17:01:07.170,92,USDJPY,0.01,-26.249999999999996,9973.75,STOP_LOSS_EXIT
NORMAL,NATURAL_EXIT,2025.07.29 10:10:28.151,86,EURUSD,0.02,-50.21,9923.54,STOP_LOSS_EXIT
NORMAL,NATURAL_EXIT,2025.07.29 16:14:22.622,87,GBPUSD,0.01,-31.679999999999996,9891.86,STOP_LOSS_EXIT
NORMAL,NATURAL_EXIT,2025.07.30 22:20:33.654,91,USDCHF,0.02,-53.51,9838.35,STOP_LOSS_EXIT
NORMAL,NATURAL_EXIT,2025.08.04 10:05:00.483,88,AUDUSD,0.02,-8.68,9829.67,MONTHLY_REBALANCE_EXIT
NORMAL,NATURAL_EXIT,2025.08.04 10:05:00.483,89,NZDUSD,0.02,-23.400000000000002,9806.27,MONTHLY_REBALANCE_EXIT
NORMAL,NATURAL_EXIT,2025.08.04 10:05:00.483,90,USDCAD,0.02,-23.84,9782.43,MONTHLY_REBALANCE_EXIT
NORMAL,NATURAL_ENTRY,2025.09.01 10:05:00.146,102,AUDUSD,0.03,0.0,9782.43,
NORMAL,NATURAL_ENTRY,2025.09.01 10:05:00.146,100,EURUSD,0.02,0.0,9782.43,
NORMAL,NATURAL_ENTRY,2025.09.01 10:05:00.146,101,GBPUSD,0.02,0.0,9782.43,
NORMAL,NATURAL_ENTRY,2025.09.01 10:05:00.146,103,NZDUSD,0.03,0.0,9782.43,
NORMAL,NATURAL_ENTRY,2025.09.01 10:05:00.146,104,USDCAD,0.04,0.0,9782.43,
NORMAL,NATURAL_ENTRY,2025.09.01 10:05:00.146,105,USDCHF,0.02,0.0,9782.43,
NORMAL,NATURAL_ENTRY,2025.09.01 10:05:00.146,106,USDJPY,0.02,0.0,9782.43,
NORMAL,NATURAL_EXIT,2025.09.25 15:52:27.480,104,USDCAD,0.04,-54.85,9727.58,STOP_LOSS_EXIT
NORMAL,NATURAL_EXIT,2025.10.06 07:37:36.016,106,USDJPY,0.02,-53.01,9674.57,STOP_LOSS_EXIT
NORMAL,NATURAL_EXIT,2025.10.06 10:05:00.332,100,EURUSD,0.02,-12.339999999999998,9662.23,MONTHLY_REBALANCE_EXIT
NORMAL,NATURAL_EXIT,2025.10.06 10:05:00.332,101,GBPUSD,0.02,-19.26,9642.97,MONTHLY_REBALANCE_EXIT
NORMAL,NATURAL_EXIT,2025.10.06 10:05:00.332,102,AUDUSD,0.03,18.36,9661.33,MONTHLY_REBALANCE_EXIT
NORMAL,NATURAL_EXIT,2025.10.06 10:05:00.332,103,NZDUSD,0.03,-21.810000000000002,9639.52,MONTHLY_REBALANCE_EXIT
NORMAL,NATURAL_EXIT,2025.10.06 10:05:00.332,105,USDCHF,0.02,-6.29,9633.23,MONTHLY_REBALANCE_EXIT
NORMAL,NATURAL_ENTRY,2025.10.06 10:05:01.141,116,AUDUSD,0.03,0.0,9633.23,
NORMAL,NATURAL_ENTRY,2025.10.06 10:05:01.141,114,EURUSD,0.02,0.0,9633.23,
NORMAL,NATURAL_ENTRY,2025.10.06 10:05:01.141,115,GBPUSD,0.01,0.0,9633.23,
NORMAL,NATURAL_ENTRY,2025.10.06 10:05:01.141,117,NZDUSD,0.03,0.0,9633.23,
NORMAL,NATURAL_ENTRY,2025.10.06 10:05:01.141,118,USDCAD,0.04,0.0,9633.23,
NORMAL,NATURAL_ENTRY,2025.10.06 10:05:01.141,119,USDCHF,0.02,0.0,9633.23,
