schema,field,value
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,server,FXIFY-Server
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,company,Prime Intermarket Group Eurasia LLC
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,account_mode,0
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,account_currency,USD
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,account_leverage,100
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,account_margin_mode,2
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,account_trade_allowed,YES
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,account_expert_allowed,YES
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,terminal_trade_allowed,YES
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,mql_trade_allowed,YES
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,orders,0
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,positions,0
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,terminal_build,6090
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,server_time,2026.08.05 14:06:50
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,gmt_time,2026.08.05 11:06:50
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,observed_server_utc_offset_seconds,10800
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,capture_local_time,2026.08.05 13:06:50
SOLTRADE_FXIFY_RAW_ACCOUNT_V1,credentials_recorded,NO
