condition,previous_signal,previous_last_executed_entry,next_signal,next_first_executed_entry,gap_seconds,gap_days,exceeds_60_days,hard_breach_proven,interpretation
NORMAL,2025.03.03 10:05:00,2025.03.03 10:05:00,2025.04.07 10:05:00,2025.04.07 10:05:01,3024001,35.00001157407407,NO,NOT_APPLICABLE,SUPPORTED_BELOW_60_DAYS
NORMAL,2025.06.02 10:05:00,2025.06.02 10:05:01,2025.07.07 10:05:00,2025.07.07 10:05:01,3024000,35.0,NO,NOT_APPLICABLE,SUPPORTED_BELOW_60_DAYS
NORMAL,2025.07.07 10:05:00,2025.07.07 10:05:01,2025.09.01 10:05:00,2025.09.01 10:05:00,4838399,55.99998842592593,NO,NOT_APPLICABLE,SUPPORTED_BELOW_60_DAYS
NORMAL,2025.09.01 10:05:00,2025.09.01 10:05:00,2025.10.06 10:05:00,2025.10.06 10:05:01,3024001,35.00001157407407,NO,NOT_APPLICABLE,SUPPORTED_BELOW_60_DAYS
NORMAL,2025.11.03 10:05:00,2025.11.03 10:05:01,2026.01.05 10:05:00,2026.01.05 10:05:00,5443199,62.99998842592593,YES,NO,UNRESOLVED_DATASET_SEAM_MISSING_DECEMBER_COMBINED_SIGNAL_COVERAGE
NORMAL,2026.02.02 10:05:00,2026.02.02 10:05:01,2026.04.06 10:05:00,2026.04.06 10:05:00,5443199,62.99998842592593,YES,NO,UNRESOLVED_MARCH_RISK_BLOCK_FROM_INDEPENDENTLY_RESET_2026_STATE
NORMAL,2026.06.01 10:05:00,2026.06.01 10:05:01,HISTORY_END_EXCLUSIVE,2026.08.01 00:00:00,5234099,60.579849537037035,YES,NO,UNRESOLVED_HISTORY_END_OMITS_JULY_COHORT_WHOSE_EXIT_IS_AFTER_CUTOFF
HIGH,2025.03.03 10:05:00,2025.03.03 10:05:00,2025.04.07 10:05:00,2025.04.07 10:05:01,3024001,35.00001157407407,NO,NOT_APPLICABLE,SUPPORTED_BELOW_60_DAYS
HIGH,2025.06.02 10:05:00,2025.06.02 10:05:01,2025.07.07 10:05:00,2025.07.07 10:05:01,3024000,35.0,NO,NOT_APPLICABLE,SUPPORTED_BELOW_60_DAYS
HIGH,2025.07.07 10:05:00,2025.07.07 10:05:01,2025.09.01 10:05:00,2025.09.01 10:05:00,4838399,55.99998842592593,NO,NOT_APPLICABLE,SUPPORTED_BELOW_60_DAYS
HIGH,2025.09.01 10:05:00,2025.09.01 10:05:00,2025.10.06 10:05:00,2025.10.06 10:05:01,3024001,35.00001157407407,NO,NOT_APPLICABLE,SUPPORTED_BELOW_60_DAYS
HIGH,2025.11.03 10:05:00,2025.11.03 10:05:01,2026.01.05 10:05:00,2026.01.05 10:05:00,5443199,62.99998842592593,YES,NO,UNRESOLVED_DATASET_SEAM_MISSING_DECEMBER_COMBINED_SIGNAL_COVERAGE
