signal_time,legs,aggregate_initial_stop_risk_usd,percent_of_source_starting_balance,approval_disclosed_range_percent,fxify_per_trade_risk_rule,programme_breach
2025.01.06 10:05:00,7,264.92197903,2.6492197903,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.02.03 10:05:00,7,295.50157119,2.9550157119,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.03.03 10:05:00,7,281.14217286999997,2.8114217286999996,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.04.07 10:05:00,7,235.50682036,2.3550682036,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.05.05 10:05:00,7,262.6740944,2.626740944,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.06.02 10:05:00,7,242.92943516,2.4292943516,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.07.07 10:05:00,7,298.4222286,2.9842222859999996,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.09.01 10:05:00,7,314.9628387,3.1496283870000004,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.10.06 10:05:00,7,285.98746886,2.8598746885999997,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2025.11.03 10:05:00,7,320.42870586,3.2042870586,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.01.05 10:05:00,7,296.10057731,2.9610057731,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.02.02 10:05:00,7,245.0115939,2.4501159390000002,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.04.06 10:05:00,7,262.78671717,2.6278671716999997,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.05.04 10:05:00,7,294.57046,2.9457046000000005,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
2026.06.01 10:05:00,7,286.38492835,2.8638492835,2.65_TO_3.21_APPROX,NONE_PER_SUPPLIED_WRITTEN_APPROVAL,NOT_BY_RISK_AMOUNT_ALONE
