diagnostic,value,status
phase1_target_timestamp,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase1_profitable_days_fixed_est,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase1_profitable_days_new_york,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase1_maximum_daily_equity_loss,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase1_smallest_daily_loss_margin,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase1_minimum_equity,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase1_static_floor_margin,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase2_target_timestamp,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase2_profitable_days,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase2_maximum_daily_equity_loss,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase2_smallest_daily_loss_margin,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase2_minimum_equity,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase2_static_floor_margin,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
maximum_floating_cohort_loss,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
best_5pm_trading_day,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
worst_5pm_trading_day,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
exact_fxify_margin_use,,UNRESOLVED_NO_VALID_CONTINUOUS_INTRADAY_FXIFY_ACCOUNT
phase1_outcome,INSUFFICIENT_EVIDENCE,TERMINAL_FOR_PHASE1_EVIDENCE
phase2_outcome,NOT_ENTERED,PHASE1_NOT_PROVEN_PASS
funded_stage,NOT_REACHED,BOTH_PHASES_NOT_PROVEN_PASS
maximum_candidate_entry_gap_days,62.99998842592593,UNRESOLVED_SEGMENT_BOUNDARY_OR_RESET_STATE
maximum_simultaneous_positions,7,SUPPORTED_SOURCE_EVIDENCE
maximum_simultaneous_correlated_positions,7,SUPPORTED_SOURCE_EVIDENCE
maximum_aggregate_stop_risk_usd,320.42870586,SUPPORTED_APPROVED_BEHAVIOUR_NOT_BREACH_ALONE
maximum_ticket_lots,0.04,SUPPORTED_SOURCE_EVIDENCE
average_holding_seconds,2248436.6476190477,SUPPORTED_SOURCE_EVIDENCE
median_holding_seconds,2419199.0,SUPPORTED_SOURCE_EVIDENCE
minimum_holding_seconds,108708.0,SUPPORTED_SOURCE_EVIDENCE
maximum_holding_seconds,3024000.0,SUPPORTED_SOURCE_EVIDENCE
visible_stop_coverage,105/105,PASS_SOURCE_EVIDENCE
processed_scheduled_symbol_signals,119/119,PASS_FROZEN_SEGMENTS
pre_order_risk_blocks,14,SUPPORTED_NOT_EXECUTED_ENTRIES
missed_signals,0,PASS_SOURCE_EVIDENCE
execution_errors,0,PASS_SOURCE_EVIDENCE
hard_rule_breach,NONE_CONCLUSIVELY_PROVEN,INTRADAY_AND_CONTINUITY_EVIDENCE_INSUFFICIENT
