dataset,symbol,net_profit_usd_not_continuous
V28_2025_DEVELOPMENT,EURUSD,123.26066275772504
V28_2025_DEVELOPMENT,GBPUSD,104.67942944157178
V28_2025_DEVELOPMENT,AUDUSD,38.631845308749696
V28_2025_DEVELOPMENT,NZDUSD,13.222707250692862
V28_2025_DEVELOPMENT,USDCAD,14.239790944537889
V28_2025_DEVELOPMENT,USDCHF,64.11069928158209
V28_2025_DEVELOPMENT,USDJPY,-150.01180520134687
V28_2026_PRESEAL_DEVELOPMENT,EURUSD,-7.792731337246593
V28_2026_PRESEAL_DEVELOPMENT,GBPUSD,-77.92641540545848
V28_2026_PRESEAL_DEVELOPMENT,AUDUSD,145.51056614047627
V28_2026_PRESEAL_DEVELOPMENT,NZDUSD,110.16804644380197
V28_2026_PRESEAL_DEVELOPMENT,USDCAD,-61.47247063529069
V28_2026_PRESEAL_DEVELOPMENT,USDCHF,36.1755245030052
V28_2026_PRESEAL_DEVELOPMENT,USDJPY,-41.452138954135634
