schema,gap_start,gap_end,gap_seconds,classification
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.12.24 19:04:54.127,2024.12.25 22:30:00.119,98705.992,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.12.31 21:29:56.498,2025.01.01 22:30:00.104,90003.606,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2025.07.30 10:27:50.384,2025.07.30 11:01:05.330,1994.946,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2025.12.24 19:05:00.665,2025.12.25 22:32:26.345,98845.680,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2025.12.31 06:50:11.966,2025.12.31 07:29:01.799,2329.833,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2025.12.31 21:03:12.568,2026.01.01 22:10:46.046,90453.478,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2026.01.26 20:58:56.725,2026.01.26 22:44:46.572,6349.847,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2026.01.27 22:21:02.989,2026.01.27 22:46:56.543,1553.554,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2026.02.27 02:51:39.964,2026.02.27 03:12:06.583,1226.619,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2026.04.30 12:50:59.002,2026.04.30 13:06:39.105,940.103,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2026.05.08 00:39:24.690,2026.05.08 08:40:28.150,28863.460,IN_SESSION_CANDIDATE_GAP
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2026.06.02 20:59:59.286,2026.06.02 23:03:41.571,7422.285,IN_SESSION_CANDIDATE_GAP
