schema,date,tick_count,earliest_tick,final_tick,copy_error
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.01,1464,2024.01.01 22:10:00.021,2024.01.01 23:59:56.024,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.02,80538,2024.01.02 00:00:00.024,2024.01.02 23:59:50.692,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.03,63567,2024.01.03 00:00:00.054,2024.01.03 23:59:59.017,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.04,56144,2024.01.04 00:00:00.028,2024.01.04 23:59:58.614,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.05,66132,2024.01.05 00:00:00.016,2024.01.05 21:58:59.797,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.06,0,,,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.07,1756,2024.01.07 22:10:27.919,2024.01.07 23:59:57.952,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.08,53621,2024.01.08 00:00:00.023,2024.01.08 23:59:55.832,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.09,52622,2024.01.09 00:00:00.024,2024.01.09 23:59:57.395,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.10,46872,2024.01.10 00:00:00.038,2024.01.10 23:59:24.655,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.11,77194,2024.01.11 00:00:01.941,2024.01.11 23:59:55.631,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.12,55220,2024.01.12 00:00:00.019,2024.01.12 21:59:58.975,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.13,0,,,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.14,2009,2024.01.14 22:10:00.046,2024.01.14 23:59:59.842,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.15,34919,2024.01.15 00:00:00.156,2024.01.15 23:59:57.774,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.16,80625,2024.01.16 00:00:00.322,2024.01.16 23:59:31.235,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.17,65217,2024.01.17 00:00:00.024,2024.01.17 23:59:59.951,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.18,57843,2024.01.18 00:00:00.198,2024.01.18 23:59:59.985,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.19,47140,2024.01.19 00:00:00.231,2024.01.19 21:59:56.091,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.20,0,,,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.21,3227,2024.01.21 22:10:34.698,2024.01.21 23:59:57.030,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.22,39880,2024.01.22 00:00:00.122,2024.01.22 23:59:59.085,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.23,50544,2024.01.23 00:00:00.014,2024.01.23 23:59:58.498,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.24,62270,2024.01.24 00:00:00.015,2024.01.24 23:59:59.106,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.25,100836,2024.01.25 00:00:00.048,2024.01.25 23:59:59.453,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.26,51803,2024.01.26 00:00:00.397,2024.01.26 21:59:58.136,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.27,0,,,0
