schema,gap_start,gap_end,gap_seconds,classification
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.05 21:58:59.797,2024.01.07 22:10:27.919,173488.122,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.12 21:59:58.975,2024.01.14 22:10:00.046,173401.071,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.19 21:59:56.091,2024.01.21 22:10:34.698,173438.607,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.01.26 21:59:58.136,2024.01.28 22:10:00.050,173401.914,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.02.02 21:59:58.737,2024.02.04 22:10:00.483,173401.746,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.02.09 21:59:58.610,2024.02.11 22:17:50.652,173872.042,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.02.16 21:59:58.174,2024.02.18 22:10:08.506,173410.332,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.02.23 21:59:49.023,2024.02.25 22:10:37.660,173448.637,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.03.01 21:59:57.096,2024.03.03 22:10:00.037,173402.941,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.03.08 21:59:57.813,2024.03.10 21:10:12.474,169814.661,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.03.15 20:59:58.983,2024.03.17 21:10:00.245,173401.262,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.03.22 20:59:57.590,2024.03.24 21:10:34.695,173437.105,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.03.29 20:59:00.147,2024.03.31 21:10:39.930,173499.783,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.04.05 20:59:58.257,2024.04.07 21:10:00.073,173401.816,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.04.12 20:59:58.399,2024.04.14 21:10:00.004,173401.605,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.04.19 20:59:59.046,2024.04.21 21:10:27.505,173428.459,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.04.26 20:59:58.993,2024.04.28 21:10:00.036,173401.043,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.05.03 20:59:56.951,2024.05.05 21:10:00.016,173403.065,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.05.10 20:59:58.747,2024.05.12 21:11:48.994,173510.247,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.05.17 20:59:59.007,2024.05.19 21:10:00.104,173401.097,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.05.24 20:59:55.421,2024.05.26 21:10:05.883,173410.462,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.05.31 20:59:57.160,2024.06.02 21:10:39.674,173442.514,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.06.07 20:59:42.123,2024.06.09 21:10:01.177,173419.054,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.06.14 20:59:57.473,2024.06.16 21:10:07.948,173410.475,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.06.21 20:59:57.119,2024.06.23 21:10:34.260,173437.141,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.06.28 20:59:58.723,2024.06.30 21:10:00.028,173401.305,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.07.05 20:59:58.142,2024.07.07 21:10:07.752,173409.610,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.07.12 20:59:56.089,2024.07.14 21:10:58.568,173462.479,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.07.19 20:59:55.405,2024.07.21 21:10:00.399,173404.994,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.07.26 20:59:58.893,2024.07.28 21:10:00.056,173401.163,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.08.02 20:59:57.084,2024.08.04 21:10:59.703,173462.619,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.08.09 20:59:58.097,2024.08.11 21:10:02.791,173404.694,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.08.16 20:59:57.176,2024.08.18 21:10:00.068,173402.892,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.08.23 20:59:58.559,2024.08.25 21:12:09.690,173531.131,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.08.30 20:59:58.837,2024.09.01 21:10:00.157,173401.320,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.09.06 20:54:57.601,2024.09.08 21:10:00.073,173702.472,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.09.13 20:55:05.055,2024.09.15 21:10:11.173,173706.118,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.09.20 20:59:56.388,2024.09.22 21:11:04.761,173468.373,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.09.27 20:59:58.120,2024.09.29 21:12:11.602,173533.482,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.10.04 20:54:45.087,2024.10.06 21:10:21.543,173736.456,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.10.11 20:59:57.362,2024.10.13 21:10:01.186,173403.824,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.10.18 20:59:56.152,2024.10.20 21:11:07.584,173471.432,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.10.25 20:54:20.790,2024.10.27 21:12:10.335,173869.545,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.11.01 20:59:58.805,2024.11.03 22:10:00.086,177001.281,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.11.08 21:59:58.856,2024.11.11 00:13:00.130,180781.274,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.11.15 21:59:56.198,2024.11.17 22:12:08.374,173532.176,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.11.22 21:59:58.760,2024.11.24 22:10:00.238,173401.478,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.11.29 21:55:21.477,2024.12.01 22:10:09.318,173687.841,INCLUDES_WEEKEND
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2024.12.06 21:59:56.301,2024.12.08 22:11:14.109,173477.808,INCLUDES_WEEKEND
