schema,day_of_week,session_index,from,to
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,0,0,21:10,00:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,1,0,00:00,21:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,1,1,21:10,00:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2,0,00:00,21:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,2,1,21:10,00:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,3,0,00:00,21:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,3,1,21:10,00:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,4,0,00:00,21:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,4,1,21:10,00:00
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,5,0,00:00,21:00
