schema,sequence,timestamp_local,target,method,result,round_trip_ms
SOLTRADE_PHASE6_LATENCY_V1,1,2026-07-28T18:15:40.810124153+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,178
SOLTRADE_PHASE6_LATENCY_V1,2,2026-07-28T18:15:40.998465572+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,212
SOLTRADE_PHASE6_LATENCY_V1,3,2026-07-28T18:15:41.219833611+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,193
SOLTRADE_PHASE6_LATENCY_V1,4,2026-07-28T18:15:41.421766146+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,183
SOLTRADE_PHASE6_LATENCY_V1,5,2026-07-28T18:15:41.617359625+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,221
SOLTRADE_PHASE6_LATENCY_V1,6,2026-07-28T18:15:41.859426116+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,200
SOLTRADE_PHASE6_LATENCY_V1,7,2026-07-28T18:15:42.082052934+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,204
SOLTRADE_PHASE6_LATENCY_V1,8,2026-07-28T18:15:42.299091539+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,247
SOLTRADE_PHASE6_LATENCY_V1,9,2026-07-28T18:15:42.560219857+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,189
SOLTRADE_PHASE6_LATENCY_V1,10,2026-07-28T18:15:42.763831437+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,201
SOLTRADE_PHASE6_LATENCY_V1,11,2026-07-28T18:15:42.978157064+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,186
SOLTRADE_PHASE6_LATENCY_V1,12,2026-07-28T18:15:43.177452709+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,192
SOLTRADE_PHASE6_LATENCY_V1,13,2026-07-28T18:15:43.383073072+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,205
SOLTRADE_PHASE6_LATENCY_V1,14,2026-07-28T18:15:43.601034972+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,183
SOLTRADE_PHASE6_LATENCY_V1,15,2026-07-28T18:15:43.798532669+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,187
SOLTRADE_PHASE6_LATENCY_V1,16,2026-07-28T18:15:43.998971765+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,187
SOLTRADE_PHASE6_LATENCY_V1,17,2026-07-28T18:15:44.199723794+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,205
SOLTRADE_PHASE6_LATENCY_V1,18,2026-07-28T18:15:44.418090937+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,188
SOLTRADE_PHASE6_LATENCY_V1,19,2026-07-28T18:15:44.618775440+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,192
SOLTRADE_PHASE6_LATENCY_V1,20,2026-07-28T18:15:44.824195683+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,199
SOLTRADE_PHASE6_LATENCY_V1,21,2026-07-28T18:15:45.033630929+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,192
SOLTRADE_PHASE6_LATENCY_V1,22,2026-07-28T18:15:45.234031262+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,198
SOLTRADE_PHASE6_LATENCY_V1,23,2026-07-28T18:15:45.443964941+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,208
SOLTRADE_PHASE6_LATENCY_V1,24,2026-07-28T18:15:45.664998403+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,260
SOLTRADE_PHASE6_LATENCY_V1,25,2026-07-28T18:15:45.939418666+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,184
SOLTRADE_PHASE6_LATENCY_V1,26,2026-07-28T18:15:46.140968708+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,183
SOLTRADE_PHASE6_LATENCY_V1,27,2026-07-28T18:15:46.339563786+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,199
SOLTRADE_PHASE6_LATENCY_V1,28,2026-07-28T18:15:46.551575026+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,194
SOLTRADE_PHASE6_LATENCY_V1,29,2026-07-28T18:15:46.758635775+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,212
SOLTRADE_PHASE6_LATENCY_V1,30,2026-07-28T18:15:46.987519750+02:00,easyMarkets-Live active endpoint 82.163.250.77:1950,TCP connect,SUCCESS,191
