run_number,run_id,dataset,cost_profile,layer,status,initial_balance,final_balance,net_profit,profit_factor,expectancy,relative_drawdown_percent,total_trades,naturally_closed_trades
1,P6-V11-DEV-NORMAL-AUTH,DEVELOPMENT,NORMAL,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
2,P6-V11-DEV-HIGH-AUTH,DEVELOPMENT,HIGH,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
3,P6-V11-DEV-STRESS-AUTH,DEVELOPMENT,STRESS,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
4,P6-V11-VAL-NORMAL-AUTH,VALIDATION,NORMAL,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
5,P6-V11-VAL-HIGH-AUTH,VALIDATION,HIGH,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
6,P6-V11-VAL-STRESS-AUTH,VALIDATION,STRESS,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
7,P6-V11-OOS-NORMAL-AUTH,OUT_OF_SAMPLE,NORMAL,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
8,P6-V11-OOS-HIGH-AUTH,OUT_OF_SAMPLE,HIGH,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
9,P6-V11-OOS-STRESS-AUTH,OUT_OF_SAMPLE,STRESS,AUTHORITATIVE,NOT_RUN_PRECHECK_FAILED,,,,,,,,
10,P6-V11-DEV-NORMAL-REPLICA,DEVELOPMENT,NORMAL,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
11,P6-V11-DEV-HIGH-REPLICA,DEVELOPMENT,HIGH,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
12,P6-V11-DEV-STRESS-REPLICA,DEVELOPMENT,STRESS,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
13,P6-V11-VAL-NORMAL-REPLICA,VALIDATION,NORMAL,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
14,P6-V11-VAL-HIGH-REPLICA,VALIDATION,HIGH,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
15,P6-V11-VAL-STRESS-REPLICA,VALIDATION,STRESS,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
16,P6-V11-OOS-NORMAL-REPLICA,OUT_OF_SAMPLE,NORMAL,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
17,P6-V11-OOS-HIGH-REPLICA,OUT_OF_SAMPLE,HIGH,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
18,P6-V11-OOS-STRESS-REPLICA,OUT_OF_SAMPLE,STRESS,FIXED_DELAY_REPLICA,NOT_RUN_PRECHECK_FAILED,,,,,,,,
