physical_run,run_id,segment,dataset,cost_profile,execution_layer,position_identifier,direction,entry_time,exit_time,entry_price,exit_price,volume,initial_risk_amount,native_deal_net_before_external_commission,native_tester_commission,external_commission_adjustment,native_trade_net,spread_cost,swap_cost,fee_cost,adverse_entry_slippage_cost,adverse_exit_slippage_cost,native_friction,supplementary_multiplier,supplementary_charge,adjusted_trade_net,realized_net_R,exit_reason,naturally_closed,holding_seconds,synthetic_equity_before,synthetic_cash_flow,synthetic_equity_after
1,001-d1-normal-native,D1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,2,LONG,2025-01-20T16:00:00,2025-01-20T19:25:03,1.03986,1.03613,0.06,21.96,-22.38,0.0,0.36,-22.74,0.6599999999999999,0.0,0.0,0.0,0.0,1.02,0.0,0.0,-22.74,-1.03551912568306,STOP_LOSS_EXIT,True,12303.0,10000.0,-25.887978142076502,9974.112021857924
1,001-d1-normal-native,D1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,4,LONG,2025-01-22T12:00:00,2025-01-22T18:21:51,1.04471,1.04123,0.07,24.36,-24.36,0.0,0.42000000000000004,-24.78,0.77,0.0,0.0,0.0,0.0,1.19,0.0,0.0,-24.78,-1.017241379310345,STOP_LOSS_EXIT,True,22911.0,9974.112021857924,-25.36519867627662,9948.746823181647
1,001-d1-normal-native,D1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,6,LONG,2025-01-23T20:00:00,2025-01-27T04:00:00,1.0436,1.04622,0.07,23.45,16.98,0.0,0.42000000000000004,16.56,0.77,1.36,0.0,0.0,0.0,2.55,0.0,0.0,16.56,0.706183368869936,LONG_EXIT_BREAKOUT,True,288000.0,9948.746823181647,17.564098869071223,9966.31092205072
1,001-d1-normal-native,D1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,8,SHORT,2025-01-29T16:00:00,2025-01-29T17:37:25,1.03872,1.04131,0.09,23.31,-23.31,0.0,0.54,-23.849999999999998,0.99,0.0,0.0,0.0,0.0,1.53,0.0,0.0,-23.849999999999998,-1.0231660231660231,STOP_LOSS_EXIT,True,5845.0,9966.31092205072,-25.49297677937684,9940.817945271343
1,001-d1-normal-native,D1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10,LONG,2025-01-30T16:00:00,2025-01-30T16:34:46,1.04573,1.04249,0.07,22.68,-22.68,0.0,0.42000000000000004,-23.1,0.77,0.0,0.0,0.0,0.0,1.19,0.0,0.0,-23.1,-1.0185185185185186,STOP_LOSS_EXIT,True,2086.0,9940.817945271343,-25.31226791620018,9915.505677355142
1,001-d1-normal-native,D1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,12,SHORT,2025-02-03T03:00:00,2025-02-03T15:00:00,1.02313,1.02583,0.03,19.26,-8.1,0.0,0.18,-8.28,0.39,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,0.0,-8.28,-0.4299065420560747,SHORT_EXIT_BREAKOUT,True,43200.0,9915.505677355142,-10.656851896222815,9904.84882545892
2,002-d1-high-native,D1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,2,LONG,2025-01-20T16:00:00,2025-01-20T19:25:03,1.03986,1.03613,0.06,21.96,-22.38,0.0,0.36,-22.74,0.6599999999999999,0.0,0.0,0.0,0.0,1.02,0.5,0.51,-23.25,-1.0587431693989071,STOP_LOSS_EXIT,True,12303.0,10000.0,-26.46857923497268,9973.531420765028
2,002-d1-high-native,D1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,4,LONG,2025-01-22T12:00:00,2025-01-22T18:21:51,1.04471,1.04123,0.07,24.36,-24.36,0.0,0.42000000000000004,-24.78,0.77,0.0,0.0,0.0,0.0,1.19,0.5,0.595,-25.375,-1.0416666666666667,STOP_LOSS_EXIT,True,22911.0,9973.531420765028,-25.97273807490893,9947.55868269012
2,002-d1-high-native,D1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,6,LONG,2025-01-23T20:00:00,2025-01-27T04:00:00,1.0436,1.04622,0.07,23.45,16.98,0.0,0.42000000000000004,16.56,0.77,1.36,0.0,0.0,0.0,2.55,0.5,1.275,15.284999999999998,0.6518123667377398,LONG_EXIT_BREAKOUT,True,288000.0,9947.55868269012,16.209854420567,9963.768537110687
2,002-d1-high-native,D1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,8,SHORT,2025-01-29T16:00:00,2025-01-29T17:37:25,1.03872,1.04131,0.09,23.31,-23.31,0.0,0.54,-23.849999999999998,0.99,0.0,0.0,0.0,0.0,1.53,0.5,0.765,-24.615,-1.055984555984556,STOP_LOSS_EXIT,True,5845.0,9963.768537110687,-26.303964236484294,9937.464572874203
2,002-d1-high-native,D1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10,LONG,2025-01-30T16:00:00,2025-01-30T16:34:46,1.04573,1.04249,0.07,22.68,-22.68,0.0,0.42000000000000004,-23.1,0.77,0.0,0.0,0.0,0.0,1.19,0.5,0.595,-23.695,-1.0447530864197532,STOP_LOSS_EXIT,True,2086.0,9937.464572874203,-25.955491959243197,9911.50908091496
2,002-d1-high-native,D1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,12,SHORT,2025-02-03T03:00:00,2025-02-03T15:00:00,1.02313,1.02583,0.03,19.26,-8.1,0.0,0.18,-8.28,0.39,0.0,0.0,0.0,0.0,0.5700000000000001,0.5,0.28500000000000003,-8.565,-0.44470404984423667,SHORT_EXIT_BREAKOUT,True,43200.0,9911.50908091496,-11.019220570877028,9900.489860344083
3,003-d1-stress-native,D1,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,2,LONG,2025-01-20T16:00:00,2025-01-20T19:25:03,1.03986,1.03613,0.06,21.96,-22.38,0.0,0.36,-22.74,0.6599999999999999,0.0,0.0,0.0,0.0,1.02,1.0,1.02,-23.759999999999998,-1.081967213114754,STOP_LOSS_EXIT,True,12303.0,10000.0,-27.04918032786885,9972.95081967213
3,003-d1-stress-native,D1,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,4,LONG,2025-01-22T12:00:00,2025-01-22T18:21:51,1.04471,1.04123,0.07,24.36,-24.36,0.0,0.42000000000000004,-24.78,0.77,0.0,0.0,0.0,0.0,1.19,1.0,1.19,-25.970000000000002,-1.0660919540229887,STOP_LOSS_EXIT,True,22911.0,9972.95081967213,-26.580206566798573,9946.370613105331
3,003-d1-stress-native,D1,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,6,LONG,2025-01-23T20:00:00,2025-01-27T04:00:00,1.0436,1.04622,0.07,23.45,16.98,0.0,0.42000000000000004,16.56,0.77,1.36,0.0,0.0,0.0,2.55,1.0,2.55,14.009999999999998,0.5974413646055436,LONG_EXIT_BREAKOUT,True,288000.0,9946.370613105331,14.855933079915317,9961.226546185248
3,003-d1-stress-native,D1,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,8,SHORT,2025-01-29T16:00:00,2025-01-29T17:37:25,1.03872,1.04131,0.09,23.31,-23.31,0.0,0.54,-23.849999999999998,0.99,0.0,0.0,0.0,0.0,1.53,1.0,1.53,-25.38,-1.0888030888030888,STOP_LOSS_EXIT,True,5845.0,9961.226546185248,-27.114535579384555,9934.112010605862
3,003-d1-stress-native,D1,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10,LONG,2025-01-30T16:00:00,2025-01-30T16:34:46,1.04573,1.04249,0.07,22.68,-22.68,0.0,0.42000000000000004,-23.1,0.77,0.0,0.0,0.0,0.0,1.19,1.0,1.19,-24.290000000000003,-1.0709876543209877,STOP_LOSS_EXIT,True,2086.0,9934.112010605862,-26.59827830000181,9907.51373230586
3,003-d1-stress-native,D1,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,12,SHORT,2025-02-03T03:00:00,2025-02-03T15:00:00,1.02313,1.02583,0.03,19.26,-8.1,0.0,0.18,-8.28,0.39,0.0,0.0,0.0,0.0,0.5700000000000001,1.0,0.5700000000000001,-8.85,-0.4595015576323987,SHORT_EXIT_BREAKOUT,True,43200.0,9907.51373230586,-11.381294980647308,9896.132437325214
4,004-d2-normal-native,D2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,2,SHORT,2025-02-19T19:00:00,2025-02-19T21:14:27,1.04041,1.04271,0.1,23.0,-23.0,0.0,0.6000000000000001,-23.6,1.1,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.0,-23.6,-1.0260869565217392,STOP_LOSS_EXIT,True,8067.0,10000.0,-25.65217391304348,9974.347826086956
4,004-d2-normal-native,D2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,4,LONG,2025-02-20T18:00:04,2025-02-21T11:00:00,1.04733,1.04759,0.08,22.4,1.3,0.0,0.48,0.8200000000000001,0.96,0.78,0.0,0.0,0.0,2.2199999999999998,0.0,0.0,0.8200000000000001,0.03660714285714286,LONG_EXIT_BREAKOUT,True,61196.0,9974.347826086956,0.9128309394409938,9975.260657026398
4,004-d2-normal-native,D2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,6,LONG,2025-02-24T04:00:00,2025-02-24T09:45:01,1.05187,1.04888,0.08,23.92,-23.92,0.0,0.48,-24.400000000000002,0.96,0.0,0.0,0.0,0.0,1.44,0.0,0.0,-24.400000000000002,-1.020066889632107,STOP_LOSS_EXIT,True,20701.0,9975.260657026398,-25.438582779206115,9949.822074247191
4,004-d2-normal-native,D2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,8,SHORT,2025-02-27T05:00:00,2025-03-03T12:01:32,1.04706,1.04289,0.09,23.76,38.35,0.0,0.54,37.81,0.99,0.82,0.0,0.0,0.0,2.35,0.0,0.0,37.81,1.5913299663299663,SHORT_EXIT_BREAKOUT,True,370892.0,9949.822074247191,39.58362506600235,9989.405699313194
5,005-d2-high-native,D2,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,2,SHORT,2025-02-19T19:00:00,2025-02-19T21:14:27,1.04041,1.04271,0.1,23.0,-23.0,0.0,0.6000000000000001,-23.6,1.1,0.0,0.0,0.0,0.0,1.7000000000000002,0.5,0.8500000000000001,-24.450000000000003,-1.0630434782608698,STOP_LOSS_EXIT,True,8067.0,10000.0,-26.576086956521745,9973.423913043478
5,005-d2-high-native,D2,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,4,LONG,2025-02-20T18:00:04,2025-02-21T11:00:00,1.04733,1.04759,0.08,22.4,1.3,0.0,0.48,0.8200000000000001,0.96,0.78,0.0,0.0,0.0,2.2199999999999998,0.5,1.1099999999999999,-0.2899999999999998,-0.012946428571428564,LONG_EXIT_BREAKOUT,True,61196.0,9973.423913043478,-0.3228005507569874,9973.10111249272
5,005-d2-high-native,D2,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,6,LONG,2025-02-24T04:00:00,2025-02-24T09:45:01,1.05187,1.04888,0.08,23.92,-23.92,0.0,0.48,-24.400000000000002,0.96,0.0,0.0,0.0,0.0,1.44,0.5,0.72,-25.12,-1.0501672240802675,STOP_LOSS_EXIT,True,20701.0,9973.10111249272,-26.18355977694577,9946.917552715775
5,005-d2-high-native,D2,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,8,SHORT,2025-02-27T05:00:00,2025-03-03T12:01:32,1.04706,1.04289,0.09,23.76,38.35,0.0,0.54,37.81,0.99,0.82,0.0,0.0,0.0,2.35,0.5,1.175,36.635000000000005,1.5418771043771045,SHORT_EXIT_BREAKOUT,True,370892.0,9946.917552715775,38.34231108414798,9985.259863799924
