cell_id,dataset,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_money,expectancy_R,normalized_expectancy_R,expected_payoff,total_trades,naturally_closed_trades,winning_trades,losing_trades,breakeven_trades,win_rate_percent,average_win,average_loss,payoff_ratio,largest_win,largest_loss,maximum_drawdown_money,relative_drawdown_percent,annualized_return_percent,recovery_factor,maximum_consecutive_wins,maximum_consecutive_losses,long_net_profit,short_net_profit,stop_loss_exits,donchian_exits,average_holding_seconds,median_holding_seconds,risk_engine_blocks,spread_blocks,loss_limit_pauses,best_trade_contribution_percent,best_day_contribution_percent,best_week_contribution_percent,best_month_contribution_percent,best_registered_subperiod_contribution_percent,clean_segment_contribution_percent,censored_positions
DEVELOPMENT-NORMAL-NATIVE,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9809.299543421947,-190.70045657805406,577.5300693763903,-768.2305259544444,0.7517666245543562,-3.8918460526133485,-0.1542267106573051,-0.1542267106573051,-3.8918460526133485,50,49,14,35,0,28.57142857142857,41.25214781259931,-21.949443598698412,1.8794165613858902,170.40911987850942,-35.62947459095249,247.27714266999283,2.472771426699928,-4.0497110528110225,-0.7712013108811923,2,6,150.63560725616892,-341.336063834223,26,23,79230.0,57600.0,14,0,0,,,,,,,1
DEVELOPMENT-HIGH-NATIVE,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9762.200802619747,-237.79919738025447,556.840836881218,-794.6400342614725,0.7007460143871788,-4.853044844494989,-0.19354580504311475,-0.19354580504311475,-4.853044844494989,50,49,12,37,0,24.489795918367346,46.40340307343484,-21.4767576827425,2.1606335443604676,167.47634186597472,-37.042537679466264,261.20414227083893,2.6120414227083892,-5.036136386060363,-0.9103959658253957,2,6,121.8103309153014,-359.6095282955559,26,23,79230.0,57600.0,14,0,0,,,,,,,1
DEVELOPMENT-STRESS-NATIVE,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9715.322425391598,-284.67757460840255,538.6624525120234,-823.3400271204259,0.6542405746942215,-5.809746420579644,-0.23286489942892438,-0.23286489942892438,-5.809746420579644,50,49,12,37,0,24.489795918367346,44.88853770933528,-22.252433165416917,2.0172417719738496,164.551569572252,-38.443119430634724,284.6775746084022,2.846775746084022,-6.012540704109581,-1.000000000000001,2,6,93.1388693347617,-377.81644394316424,26,23,79230.0,57600.0,14,0,0,,,,,,,1
VALIDATION-NORMAL-NATIVE,VALIDATION,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9769.847146408309,-230.15285359169343,174.1579293156652,-404.31078290735866,0.4307526207026012,-8.219744771131907,-0.33138731662007836,-0.33138731662007836,-8.219744771131907,29,28,9,19,0,32.142857142857146,19.35088103507391,-21.27951488986098,0.9093666437054915,76.75437339681766,-28.20316249445814,274.69629258340683,2.7412172826645773,-9.409676513785548,-0.8378447755053391,3,13,-135.28398550930928,-94.86886808238414,13,15,83029.60714285714,50400.0,5,0,0,,,,,,,1
VALIDATION-HIGH-NATIVE,VALIDATION,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9739.877925030625,-260.1220749693703,162.42535384305114,-422.54742881242146,0.3843955560197137,-9.29007410604894,-0.3752491627926008,-0.3752491627926008,-9.29007410604894,29,28,8,20,0,28.57142857142857,20.303169230381393,-21.127371440621072,0.9609888900492843,75.70522335676137,-28.861500139537426,288.61935993511906,2.883479127227361,-10.583229043421827,-0.9012634323208434,2,13,-150.85271166912867,-109.26936330024164,13,15,83029.60714285714,50400.0,5,0,0,,,,,,,1
VALIDATION-STRESS-NATIVE,VALIDATION,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9709.997013921153,-290.0029860788449,151.9869035719701,-441.989889650815,0.3438696384934149,-10.35724950281589,-0.41911100896512327,-0.41911100896512327,-10.35724950281589,29,28,8,20,0,28.57142857142857,18.99836294649626,-22.09949448254075,0.8596740962335373,74.65799085110098,-29.518278833572854,304.61120339589434,3.0461120339589436,-11.741718471757856,-0.952043072762286,2,13,-166.36988429489483,-123.63310178395007,13,15,83029.60714285714,50400.0,5,0,0,,,,,,,1
OUT_OF_SAMPLE-NORMAL-NATIVE,OUT_OF_SAMPLE,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9887.645117877611,-112.35488212238971,145.07840044184738,-257.4332825642371,0.563557279761004,-6.609110713081748,-0.26455405387677516,-0.26455405387677516,-6.609110713081748,17,17,6,11,0,35.294117647058826,24.179733406974563,-23.40302568765792,1.0331883462285074,43.830509024475276,-26.777605443742907,130.85017188372512,1.3085017188372512,-4.682371255230544,-0.8586529196326121,2,3,-61.741684416533495,-50.61319770585622,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
OUT_OF_SAMPLE-HIGH-NATIVE,OUT_OF_SAMPLE,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9867.241540155836,-132.7584598441619,134.69721628510703,-267.4556761292689,0.50362444437337,-7.809321167303641,-0.31316725855172634,-0.31316725855172634,-7.809321167303641,17,17,6,11,0,35.294117647058826,22.44953604751784,-24.314152375388083,0.9233114813511781,41.00297707588251,-28.078271735815235,147.6488665912584,1.476488665912584,-5.514378704984868,-0.8991498743548222,2,3,-70.536494234578,-62.22196560958389,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
OUT_OF_SAMPLE-STRESS-NATIVE,OUT_OF_SAMPLE,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9846.877123501437,-153.12287649856157,124.84354253605969,-277.96641903462125,0.44913174393382455,-9.007228029327152,-0.36178046322667745,-0.36178046322667745,-9.007228029327152,17,17,5,12,0,29.411764705882355,24.968708507211936,-23.163868252885106,1.0779161854411787,38.184935673838716,-29.375806203997655,164.42107601179669,1.644210760117967,-6.339242528273925,-0.9312849679172243,1,3,-79.30817559659242,-73.81470090196915,9,8,86962.4705882353,34553.0,0,0,0,,,,,,,0
DEVELOPMENT-NORMAL-DELAY200,DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,9801.747281173068,-198.25271882692854,569.2232050804662,-767.4759239073948,0.7416821653276381,-4.0459738536107865,-0.16054186470466425,-0.16054186470466425,-4.0459738536107865,50,49,14,35,0,28.57142857142857,40.65880036289044,-21.92788354021128,1.854205413319095,170.27580248659694,-35.60204315869686,254.90706046025662,2.549070604602566,-4.208250555362447,-0.7777451062711492,2,6,152.2707435367466,-350.52346236367515,26,23,79229.95918367348,57600.0,14,0,0,,,,,,,1
