run_number,run_id,segment,dataset,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_money,expectancy_R,normalized_expectancy_R,expected_payoff,total_trades,naturally_closed_trades,winning_trades,losing_trades,breakeven_trades,win_rate_percent,average_win,average_loss,payoff_ratio,largest_win,largest_loss,maximum_drawdown_money,relative_drawdown_percent,annualized_return_percent,recovery_factor,maximum_consecutive_wins,maximum_consecutive_losses,long_net_profit,short_net_profit,stop_loss_exits,donchian_exits,average_holding_seconds,median_holding_seconds,risk_engine_blocks,spread_blocks,loss_limit_pauses,best_trade_contribution_percent,best_day_contribution_percent,best_week_contribution_percent,best_month_contribution_percent,best_registered_subperiod_contribution_percent,clean_segment_contribution_percent,censored_positions
1,001-d1-normal-native,D1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9904.84882545892,-95.15117454108173,17.564098869071223,-112.71527341015296,0.15582714159028174,-15.858529090180289,-0.6363613699773476,-0.6363613699773476,-15.858529090180289,6,6,1,5,0,16.666666666666664,17.564098869071223,-22.54305468203059,0.7791357079514087,17.564098869071223,-25.887978142076502,95.15117454108076,0.9515117454108076,-2.0318081039912173,-1.0000000000000102,1,3,-59.00134586548208,-36.14982867559965,4,2,62390.833333333336,17607.0,0,0,0,,,,,,,0
2,002-d1-high-native,D1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9900.489860344083,-99.51013965591912,16.209854420567,-115.71999407648613,0.1400782513854344,-16.585023275986522,-0.6656731935960634,-0.6656731935960634,-16.585023275986522,6,6,1,5,0,16.666666666666664,16.209854420567,-23.143998815297227,0.7003912569271719,16.209854420567,-26.46857923497268,99.51013965591665,0.9951013965591664,-2.1243535280731085,-1.0000000000000249,1,3,-62.186954848557804,-37.32318480736132,4,2,62390.833333333336,17607.0,0,0,0,,,,,,,0
3,003-d1-stress-native,D1,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9896.132437325214,-103.86756267478577,14.855933079915317,-118.72349575470109,0.12513052269459532,-17.31126044579763,-0.694985017214779,-0.694985017214779,-17.31126044579763,6,6,1,5,0,16.666666666666664,14.855933079915317,-23.744699150940217,0.6256526134729766,14.855933079915317,-27.114535579384555,103.86756267478631,1.0386756267478632,-2.216819510722401,-0.9999999999999948,1,3,-65.37173211475391,-38.49583056003186,4,2,62390.833333333336,17607.0,0,0,0,,,,,,,0
4,004-d2-normal-native,D2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9989.405699313194,-10.594300686806253,40.49645600544334,-51.0907566922496,0.7926376242453774,-2.6485751717015633,-0.10455418424168428,-0.10455418424168428,-2.6485751717015633,5,4,2,2,0,50.0,20.24822800272167,-25.5453783461248,0.7926376242453774,39.58362506600235,-25.65217391304348,50.17792575280873,0.5017792575280874,-0.2273276633517396,-0.2111346877708119,1,1,-24.52575183976512,13.931451152958868,2,2,115214.0,40948.5,0,0,0,,,,,,,1
5,005-d2-high-native,D2,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9985.259863799924,-14.740136200076524,38.34231108414798,-53.0824472842245,0.7223161901117335,-3.685034050019131,-0.14607000663386535,-0.14607000663386535,-3.685034050019131,5,4,1,3,0,25.0,38.34231108414798,-17.6941490947415,2.1669485703352005,38.34231108414798,-26.576086956521745,53.082447284225054,0.5308244728422505,-0.31621186565427006,-0.2776838098882636,1,3,-26.506360327702758,11.766224127626234,2,2,115214.0,40948.5,0,0,0,,,,,,,1
6,006-d2-stress-native,D2,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9981.1153018484,-18.8846981515992,37.101717351248844,-55.98641550284805,0.6626914228749199,-4.7211745378998,-0.18758582902604648,-0.18758582902604648,-4.7211745378998,5,4,1,3,0,25.0,37.101717351248844,-18.662138500949347,1.9880742686247599,37.101717351248844,-27.500000000000004,55.986415502848104,0.5598641550284811,-0.40502646170883505,-0.3373085771250797,1,3,-28.48641550284804,9.60171735124884,2,2,115214.0,40948.5,0,0,0,,,,,,,1
7,007-d3-normal-native,D3,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9914.036049321088,-85.96395067891257,525.4054717639369,-611.3694224428496,0.8593911512037576,-2.204203863561861,-0.0851467657789007,-0.0851467657789007,-2.204203863561861,39,39,11,28,0,28.205128205128204,47.76413379672154,-21.83462223010177,2.1875411121550195,172.22862347409404,-36.009899988215544,224.73551677681098,2.2165951300084847,-1.8366006187909734,-0.3825116381772667,2,6,236.42706546439746,-322.39101614331,20,19,78129.97435897436,61906.0,14,0,0,,,,,,,0
8,008-d3-high-native,D3,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9874.876697289352,-125.1233027106507,508.4720653904448,-633.5953681010956,0.802518596236508,-3.2082898130936077,-0.12578013484617387,-0.12578013484617387,-3.2082898130936077,39,39,10,29,0,25.64102564102564,50.84720653904448,-21.848116141417087,2.3273039290858732,169.40936363404535,-37.47008482362522,252.0120342919181,2.48854352972206,-2.667204143241042,-0.4964973322095966,2,6,212.66648197577345,-337.7897846864241,20,19,78129.97435897436,61906.0,14,0,0,,,,,,,0
9,009-d3-stress-native,D3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9835.8669850768,-164.1330149231998,493.13382490853996,-657.2668398317397,0.7502794831925222,-4.20853884418461,-0.16641350391344706,-0.16641350391344706,-4.20853884418461,39,39,10,29,0,25.64102564102564,49.313382490853996,-22.664373787301372,2.175810501258314,166.5932719091455,-38.92010914870934,279.151206526436,2.7597696933275646,-3.490885645662234,-0.5879717195764875,2,6,189.0176624419327,-353.1506773651325,20,19,78129.97435897436,61906.0,14,0,0,,,,,,,0
10,010-v1-normal-native,V1,VALIDATION,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9977.276443665865,-22.72355633413642,138.44138965482455,-161.16494598896097,0.8590043498932276,-1.8936296945113682,-0.07398838167472979,-0.07398838167472979,-1.8936296945113682,13,12,5,7,0,41.66666666666667,27.688277930964908,-23.02356371270871,1.2026060898505184,76.75437339681766,-28.20316249445814,76.59911839443521,0.7659911839443521,-0.9608811834984188,-0.296655585735661,2,3,-13.87404005882297,-8.849516275313448,5,7,81172.0,48600.0,0,0,0,,,,,,,1
