field,value
schema,SOLTRADE_PHASE6_V14_RUN_SUMMARY_V1
core_trading_input_hash,d6185b478920f6f6cbbb26ffc3d4758e34a6bf89129230b4db4b96ac5666c3c0
execution_instance_id,V14-002-D1-HIGH-NATIVE
segment_id,D1
dataset,DEVELOPMENT
cost_profile,HIGH
execution_layer,NATIVE_NORMAL_EXECUTION
expected_execution_mode,0
reset_at,2025.01.02 00:00:00
eligible_from,2025.01.16 00:00:00
eligible_to,2025.02.05 00:00:00
first_evaluation,2025.01.16 00:00:00
final_evaluation,2025.02.04 22:00:00
evaluations,335
entry_signals,14
exit_signals,42
execution_evaluations,14
execution_submissions,6
execution_acceptances,6
entry_fills,6
close_evaluations,54
close_submissions,2
close_acceptances,2
exit_fills,6
risk_blocks,0
spread_blocks,0
loss_limit_pauses,0
cutoff_frozen,YES
censored_position,NO
post_cutoff_actions,0
tester_profit,-83.85000000
tester_trades,6
tester_profit_factor,0.16840226
tester_expected_payoff,-13.97500000
tester_equity_dd_percent,1.06320106
tester_balance_dd_percent,0.83850000
terminal_build,6090
broker_server,FPMarketsSC-Demo
symbol,EURUSD
swap_mode,1
swap_long,-9.71000000
swap_short,4.50000000
swap_rollover_3days,3
run_evidence_status,PASS
