schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.19 19:00:00,D2,ENTRY_ATTEMPT,2025.02.19 18:00:00,0,SELL,1.0404100000,0.0000000000,11,0.0000,0.10000000,23.00000000,1.0427100000,2,2,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.19 20:00:00,D2,EXIT_ATTEMPT,2025.02.19 19:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.19 21:00:00,D2,EXIT_ATTEMPT,2025.02.19 20:00:00,2,SELL,0.0000000000,0.0000000000,0,0.0000,0.10000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.19 21:14:27,D2,EXIT_TRANSACTION,NONE,2,SELL,0.0000000000,1.0427100000,0,0.0000,0.10000000,0.00000000,0.0000000000,3,3,0,STOP_LOSS_EXIT,YES
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 18:00:04,D2,ENTRY_ATTEMPT,2025.02.20 17:00:00,0,BUY,1.0473300000,0.0000000000,12,0.0000,0.08000000,22.40000000,1.0445300000,4,4,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 19:00:00,D2,EXIT_ATTEMPT,2025.02.20 18:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 20:00:00,D2,EXIT_ATTEMPT,2025.02.20 19:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 20:00:00,D2,ENTRY_ATTEMPT,2025.02.20 19:00:00,0,BUY,0.0000000000,0.0000000000,12,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 21:00:00,D2,EXIT_ATTEMPT,2025.02.20 20:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 21:00:00,D2,ENTRY_ATTEMPT,2025.02.20 20:00:00,0,BUY,0.0000000000,0.0000000000,12,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 22:00:00,D2,EXIT_ATTEMPT,2025.02.20 21:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 22:00:00,D2,ENTRY_ATTEMPT,2025.02.20 21:00:00,0,BUY,0.0000000000,0.0000000000,11,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.20 23:00:00,D2,EXIT_ATTEMPT,2025.02.20 22:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.02.21 00:02:59,D2,EXIT_ATTEMPT,2025.02.20 23:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.08000000,0.00000000,0.0000000000,0,0,0,NONE,NO
