deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.07.07 12:00:00,1751889600132,0,1,3,0.10000000,1.1723600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.07.08 03:43:57,1751946237992,1,0,4,0.10000000,1.1748200000,-24.60000000,0.00000000,0.45000000,0.00000000,2607202601,EURUSD,sl 1.17480,YES
4,4,4,2025.07.08 11:00:00,1751972400129,0,0,3,0.08000000,1.1760600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.07.08 13:29:00,1751981340391,1,1,4,0.08000000,1.1731400000,-23.36000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.17314,YES
6,6,6,2025.07.08 18:00:00,1751997600004,0,1,3,0.07000000,1.1691600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.07.08 20:54:53,1752008093029,1,0,4,0.07000000,1.1723900000,-22.61000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.17238,YES
8,8,8,2025.07.10 17:00:00,1752166800606,0,1,3,0.09000000,1.1692000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.07.15 09:00:00,1752570000293,1,0,3,0.09000000,1.1685800000,5.58000000,0.00000000,1.23000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
10,10,10,2025.07.15 17:00:00,1752598800170,0,1,3,0.08000000,1.1642300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.07.16 08:00:00,1752652800225,1,0,3,0.08000000,1.1620300000,17.60000000,0.00000000,0.36000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
12,12,12,2025.07.16 17:00:00,1752685200305,0,1,3,0.08000000,1.1572100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.07.16 17:56:23,1752688583232,1,0,4,0.08000000,1.1601100000,-23.20000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16007,YES
14,14,14,2025.07.21 18:00:00,1753120800062,0,0,3,0.08000000,1.1697100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
15,15,14,2025.07.23 09:00:00,1753261200401,1,1,3,0.08000000,1.1729900000,26.24000000,0.00000000,-1.56000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
16,16,16,2025.07.23 22:00:00,1753308000303,0,0,3,0.08000000,1.1772200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
17,17,16,2025.07.24 10:00:00,1753351200393,1,1,3,0.08000000,1.1756500000,-12.56000000,0.00000000,-2.33000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
18,18,18,2025.07.28 11:00:00,1753700400305,0,1,3,0.07000000,1.1674200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
19,19,18,2025.07.30 04:00:00,1753848000231,1,0,3,0.07000000,1.1567900000,74.41000000,0.00000000,0.64000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
20,20,20,2025.07.30 16:00:00,1753891200156,0,1,3,0.06000000,1.1472200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
21,21,20,2025.07.31 10:00:00,1753956000200,1,0,3,0.06000000,1.1458900000,7.98000000,0.00000000,0.81000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
22,22,22,2025.08.01 13:00:00,1754053200128,0,1,3,0.07000000,1.1400600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
23,23,22,2025.08.01 15:30:11,1754062211734,1,0,4,0.07000000,1.1436700000,-25.27000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.14332,YES
24,24,24,2025.08.05 08:00:00,1754380800094,0,1,3,0.08000000,1.1547500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
25,25,24,2025.08.05 17:00:00,1754413200257,1,0,3,0.08000000,1.1565800000,-14.64000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
26,26,26,2025.08.06 13:00:00,1754485200283,0,0,3,0.09000000,1.1607500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
