field,value
schema,SOLTRADE_PHASE6_V14_RUN_SUMMARY_V1
core_trading_input_hash,d6185b478920f6f6cbbb26ffc3d4758e34a6bf89129230b4db4b96ac5666c3c0
execution_instance_id,V14-012-V1-STRESS-NATIVE
segment_id,V1
dataset,VALIDATION
cost_profile,STRESS
execution_layer,NATIVE_NORMAL_EXECUTION
expected_execution_mode,0
reset_at,2025.03.10 01:00:00
eligible_from,2025.07.05 00:00:00
eligible_to,2025.08.06 16:00:00
first_evaluation,2025.07.07 00:00:00
final_evaluation,2025.08.06 14:00:00
evaluations,543
entry_signals,37
exit_signals,87
execution_evaluations,37
execution_submissions,13
execution_acceptances,13
entry_fills,13
close_evaluations,221
close_submissions,7
close_acceptances,7
exit_fills,12
risk_blocks,0
spread_blocks,0
loss_limit_pauses,0
cutoff_frozen,YES
censored_position,YES
post_cutoff_actions,0
tester_profit,34.39000000
tester_trades,13
tester_profit_factor,1.23217661
tester_expected_payoff,2.64538462
tester_equity_dd_percent,1.18596100
tester_balance_dd_percent,0.70120000
terminal_build,6090
broker_server,FPMarketsSC-Demo
symbol,EURUSD
swap_mode,1
swap_long,-9.71000000
swap_short,4.50000000
swap_rollover_3days,3
run_evidence_status,PASS
