deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.10.01 10:00:00,1759312800345,0,0,3,0.09000000,1.1768300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.10.01 10:42:50,1759315370112,1,1,4,0.09000000,1.1741500000,-24.12000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.17417,YES
4,4,4,2025.10.02 18:00:00,1759428000186,0,1,3,0.08000000,1.1712500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.10.03 11:00:00,1759489200324,1,0,3,0.08000000,1.1733100000,-16.48000000,0.00000000,0.36000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
6,6,6,2025.10.06 10:00:00,1759744800184,0,1,3,0.10000000,1.1692500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.10.06 17:52:14,1759773134816,1,0,4,0.10000000,1.1717200000,-24.70000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.17171,YES
8,8,8,2025.10.07 12:00:00,1759838400230,0,1,3,0.09000000,1.1665200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.10.09 04:00:00,1759982400368,1,0,3,0.09000000,1.1637100000,25.29000000,0.00000000,1.63000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
10,10,10,2025.10.09 18:00:00,1760032800252,0,1,3,0.08000000,1.1580100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.10.10 11:00:00,1760094000274,1,0,3,0.08000000,1.1578300000,1.44000000,0.00000000,0.36000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
12,12,12,2025.10.13 15:00:00,1760367600229,0,1,3,0.07000000,1.1568200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.10.14 07:00:00,1760425200237,1,0,3,0.07000000,1.1579400000,-7.84000000,0.00000000,0.32000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
14,14,14,2025.10.14 11:00:00,1760439600163,0,1,3,0.08000000,1.1548700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
15,15,14,2025.10.14 16:25:31,1760459131788,1,0,4,0.08000000,1.1577200000,-22.80000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.15771,YES
16,16,16,2025.10.16 04:00:00,1760587200168,0,0,3,0.09000000,1.1664000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
17,17,16,2025.10.17 14:00:00,1760709600125,1,1,3,0.09000000,1.1689100000,22.59000000,0.00000000,-0.87000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
18,18,18,2025.10.29 22:00:00,1761775200250,0,1,3,0.07000000,1.1594000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
19,19,18,2025.10.30 07:17:26,1761808646536,1,0,4,0.07000000,1.1627800000,-23.66000000,0.00000000,0.95000000,0.00000000,2607202601,EURUSD,sl 1.16272,YES
20,20,20,2025.10.30 16:00:00,1761840000162,0,1,3,0.07000000,1.1553700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
21,21,20,2025.10.30 17:09:40,1761844180485,1,0,4,0.07000000,1.1586500000,-22.96000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.15863,YES
