schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.20 16:00:00,D1,ENTRY_ATTEMPT,2025.01.20 15:00:00,0,BUY,1.0398600000,0.0000000000,11,0.0000,0.06000000,21.96000000,1.0362000000,2,2,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.20 17:00:00,D1,EXIT_ATTEMPT,2025.01.20 16:00:00,2,BUY,0.0000000000,0.0000000000,0,0.0000,0.06000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.20 17:00:00,D1,ENTRY_ATTEMPT,2025.01.20 16:00:00,0,BUY,0.0000000000,0.0000000000,11,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.20 18:00:00,D1,EXIT_ATTEMPT,2025.01.20 17:00:00,2,BUY,0.0000000000,0.0000000000,0,0.0000,0.06000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.20 19:00:00,D1,EXIT_ATTEMPT,2025.01.20 18:00:00,2,BUY,0.0000000000,0.0000000000,0,0.0000,0.06000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.20 19:25:03,D1,EXIT_TRANSACTION,NONE,2,BUY,0.0000000000,1.0361300000,0,0.0000,0.06000000,0.00000000,0.0000000000,3,3,0,STOP_LOSS_EXIT,YES
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 12:00:00,D1,ENTRY_ATTEMPT,2025.01.22 11:00:00,0,BUY,1.0447100000,0.0000000000,11,0.0000,0.07000000,24.36000000,1.0412300000,4,4,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 13:00:00,D1,EXIT_ATTEMPT,2025.01.22 12:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 13:00:00,D1,ENTRY_ATTEMPT,2025.01.22 12:00:00,0,BUY,0.0000000000,0.0000000000,11,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 14:00:00,D1,EXIT_ATTEMPT,2025.01.22 13:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 15:00:00,D1,EXIT_ATTEMPT,2025.01.22 14:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 16:00:00,D1,EXIT_ATTEMPT,2025.01.22 15:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 17:00:00,D1,EXIT_ATTEMPT,2025.01.22 16:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 18:00:00,D1,EXIT_ATTEMPT,2025.01.22 17:00:00,4,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.22 18:21:51,D1,EXIT_TRANSACTION,NONE,4,BUY,0.0000000000,1.0412300000,0,0.0000,0.07000000,0.00000000,0.0000000000,5,5,0,STOP_LOSS_EXIT,YES
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.23 20:00:00,D1,ENTRY_ATTEMPT,2025.01.23 19:00:00,0,BUY,1.0436000000,0.0000000000,11,0.0000,0.07000000,23.45000000,1.0402500000,6,6,10009,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.23 21:00:00,D1,EXIT_ATTEMPT,2025.01.23 20:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.23 22:00:00,D1,EXIT_ATTEMPT,2025.01.23 21:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.23 23:00:00,D1,EXIT_ATTEMPT,2025.01.23 22:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.24 00:02:59,D1,EXIT_ATTEMPT,2025.01.23 23:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.24 01:00:00,D1,EXIT_ATTEMPT,2025.01.24 00:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.24 02:00:00,D1,EXIT_ATTEMPT,2025.01.24 01:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.24 03:00:00,D1,EXIT_ATTEMPT,2025.01.24 02:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.24 04:00:00,D1,EXIT_ATTEMPT,2025.01.24 03:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.24 05:00:00,D1,EXIT_ATTEMPT,2025.01.24 04:00:00,6,BUY,0.0000000000,0.0000000000,0,0.0000,0.07000000,0.00000000,0.0000000000,0,0,0,NONE,NO
SOLTRADE_PHASE6_V14_TRANSACTION_V1,2025.01.24 05:00:00,D1,ENTRY_ATTEMPT,2025.01.24 04:00:00,0,BUY,0.0000000000,0.0000000000,12,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO
