deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.03.21 19:00:00,1742583600459,0,1,3,0.07000000,1.0805800000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.03.24 02:55:13,1742784913004,1,0,4,0.07000000,1.0837800000,-22.40000000,0.00000000,0.32000000,0.00000000,2607202601,EURUSD,sl 1.08377,YES
4,4,4,2025.03.24 17:00:00,1742835600249,0,1,3,0.07000000,1.0792500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.03.25 13:52:40,1742910760720,1,0,4,0.07000000,1.0825000000,-22.75000000,0.00000000,0.32000000,0.00000000,2607202601,EURUSD,sl 1.08250,YES
6,6,6,2025.03.26 21:00:00,1743022800444,0,1,3,0.08000000,1.0756200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.03.27 07:36:38,1743060998975,1,0,4,0.08000000,1.0787300000,-24.88000000,0.00000000,1.08000000,0.00000000,2607202601,EURUSD,sl 1.07872,YES
8,8,8,2025.03.28 13:00:00,1743166800543,0,1,3,0.10000000,1.0773300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.03.28 16:08:14,1743178094182,1,0,4,0.10000000,1.0798300000,-25.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.07980,YES
10,10,10,2025.03.31 16:00:00,1743436800496,0,1,3,0.07000000,1.0803000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.04.01 04:00:00,1743480000800,1,0,3,0.07000000,1.0825700000,-15.89000000,0.00000000,0.32000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
12,12,12,2025.04.01 15:00:00,1743519600542,0,1,3,0.08000000,1.0780600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.04.01 17:13:12,1743527592129,1,0,4,0.08000000,1.0809100000,-22.80000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.08091,YES
14,14,14,2025.04.02 16:00:00,1743609600595,0,0,3,0.09000000,1.0819500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
15,15,14,2025.04.04 11:00:00,1743764400329,1,1,3,0.09000000,1.1003600000,165.69000000,0.00000000,-3.49000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
16,16,16,2025.04.09 04:00:00,1744171200455,0,0,3,0.04000000,1.1015400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
17,17,16,2025.04.09 20:25:52,1744230352994,1,1,4,0.04000000,1.0954100000,-24.52000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.09545,YES
18,18,18,2025.04.10 14:00:00,1744293600206,0,0,3,0.03000000,1.1080400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
19,19,18,2025.04.14 16:00:00,1744646400441,1,1,3,0.03000000,1.1338300000,77.37000000,0.00000000,-0.58000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
20,20,20,2025.04.16 09:00:03,1744794003442,0,0,3,0.05000000,1.1380400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
