deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.08.20 16:00:00,1755705600548,0,0,3,0.09000000,1.1671400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.08.20 18:54:57,1755716097804,1,1,4,0.09000000,1.1645900000,-22.95000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16461,YES
4,4,4,2025.08.21 17:00:00,1755795600478,0,1,3,0.08000000,1.1620400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.08.22 17:00:09,1755882009978,1,0,4,0.08000000,1.1650200000,-23.84000000,0.00000000,0.36000000,0.00000000,2607202601,EURUSD,sl 1.16493,YES
6,6,6,2025.08.22 18:00:00,1755885600503,0,0,3,0.06000000,1.1718700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.08.25 13:00:00,1756126800274,1,1,3,0.06000000,1.1692600000,-15.66000000,0.00000000,-0.58000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
8,8,8,2025.08.27 11:00:00,1756292400477,0,1,3,0.09000000,1.1602800000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.08.27 19:46:57,1756324017265,1,0,4,0.09000000,1.1629800000,-24.30000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16294,YES
10,10,10,2025.08.28 20:00:02,1756411202916,0,0,3,0.08000000,1.1690400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.08.29 04:27:59,1756441679557,1,1,4,0.08000000,1.1660800000,-23.68000000,0.00000000,-0.78000000,0.00000000,2607202601,EURUSD,sl 1.16608,YES
12,12,12,2025.08.29 18:00:00,1756490400457,0,0,3,0.08000000,1.1705200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.09.01 19:00:00,1756753200441,1,1,3,0.08000000,1.1699100000,-4.88000000,0.00000000,-0.78000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
14,14,14,2025.09.02 11:00:00,1756810800365,0,1,3,0.09000000,1.1645400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
15,15,14,2025.09.02 17:07:53,1756832873080,1,0,4,0.09000000,1.1672000000,-23.94000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16720,YES
16,16,16,2025.09.05 16:00:00,1757088000333,0,0,3,0.08000000,1.1735300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
17,17,16,2025.09.08 00:01:23,1757289683280,1,1,4,0.08000000,1.1705400000,-23.92000000,0.00000000,-0.78000000,0.00000000,2607202601,EURUSD,sl 1.17060,YES
18,18,18,2025.09.08 17:00:00,1757350800399,0,0,3,0.09000000,1.1751800000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
19,19,18,2025.09.09 11:00:00,1757415600485,1,1,3,0.09000000,1.1752000000,0.18000000,0.00000000,-0.87000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
20,20,20,2025.09.10 18:00:00,1757527200418,0,0,3,0.07000000,1.1727900000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
21,21,20,2025.09.10 22:29:35,1757543375421,1,1,4,0.07000000,1.1695300000,-22.82000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16954,YES
22,22,22,2025.09.11 17:00:00,1757610000416,0,0,3,0.07000000,1.1739100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
23,23,22,2025.09.12 05:00:00,1757653200499,1,1,3,0.07000000,1.1725000000,-9.87000000,0.00000000,-0.68000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
24,24,24,2025.09.16 17:00:00,1758042000566,0,0,3,0.08000000,1.1824500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
25,25,24,2025.09.17 11:00:00,1758106800477,1,1,3,0.08000000,1.1839900000,12.32000000,0.00000000,-0.78000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
26,26,26,2025.09.19 15:00:00,1758294000411,0,1,3,0.08000000,1.1736300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
27,27,26,2025.09.19 17:23:54,1758302634773,1,0,4,0.08000000,1.1766700000,-24.32000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.17664,YES
28,28,28,2025.09.22 13:00:01,1758546001136,0,0,3,0.10000000,1.1776500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
29,29,28,2025.09.24 10:00:00,1758708000262,1,1,3,0.10000000,1.1786800000,10.30000000,0.00000000,-1.94000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
30,30,30,2025.09.24 15:00:00,1758726000413,0,1,3,0.10000000,1.1748500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
31,31,30,2025.09.25 04:00:00,1758772800373,1,0,3,0.10000000,1.1748000000,0.50000000,0.00000000,1.35000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
32,32,32,2025.09.25 16:00:00,1758816000381,0,1,3,0.08000000,1.1697500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
33,33,32,2025.09.26 08:00:00,1758873600252,1,0,3,0.08000000,1.1680600000,13.52000000,0.00000000,0.36000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
