deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.01.20 16:00:00,1737388800036,0,0,3,0.06000000,1.0398600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.01.20 19:25:03,1737401103514,1,1,4,0.06000000,1.0361300000,-22.38000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.03620,YES
4,4,4,2025.01.22 12:00:00,1737547200012,0,0,3,0.07000000,1.0447100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.01.22 18:21:51,1737570111215,1,1,4,0.07000000,1.0412300000,-24.36000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.04123,YES
6,6,6,2025.01.23 20:00:00,1737662400224,0,0,3,0.07000000,1.0436000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.01.27 04:00:00,1737950400220,1,1,3,0.07000000,1.0462200000,18.34000000,0.00000000,-1.36000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
8,8,8,2025.01.29 16:00:00,1738166400034,0,1,3,0.09000000,1.0387200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.01.29 17:37:25,1738172245933,1,0,4,0.09000000,1.0413100000,-23.31000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.04131,YES
10,10,10,2025.01.30 16:00:00,1738252800036,0,0,3,0.07000000,1.0457300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.01.30 16:34:46,1738254886048,1,1,4,0.07000000,1.0424900000,-22.68000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.04249,YES
12,12,12,2025.02.03 03:00:00,1738551600038,0,1,3,0.03000000,1.0231300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.02.03 15:00:00,1738594800016,1,0,3,0.03000000,1.0258300000,-8.10000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
