sequence,event,timestamp,period,direction,setup_timestamp,frozen_boundary,retest_candle_number,confirmation_timestamp,entry_timestamp,stop_level,exit_timestamp,exit_type,cancellation_reason,setup_to_confirmation_hours,holding_hours
1,SETUP,2026-01-20 12:00:00.000,VALIDATION,BUY,2026-01-20 11:00:00.000,1.1721200000,,,,,,,,,
2,CONFIRMATION,2026-01-20 13:00:00.346,VALIDATION,BUY,2026-01-20 11:00:00.000,1.1721200000,1,2026-01-20 12:00:00.000,,,,,,1.0,
3,ENTRY,2026-01-20 13:00:00.346,VALIDATION,BUY,2026-01-20 11:00:00.000,1.1721200000,1,2026-01-20 12:00:00.000,2026-01-20 13:00:00.346,1.1706103485,,,,,
4,EXIT,2026-01-20 22:00:00.055,VALIDATION,BUY,,,,,2026-01-20 13:00:00.346,1.1706103485,2026-01-20 22:00:00.055,DONCHIAN_10,,,8.999919166666666
5,SETUP,2026-01-22 16:00:00.000,VALIDATION,BUY,2026-01-22 15:00:00.000,1.1710900000,,,,,,,,,
6,CONFIRMATION,2026-01-22 17:00:00.111,VALIDATION,BUY,2026-01-22 15:00:00.000,1.1710900000,1,2026-01-22 16:00:00.000,,,,,,1.0,
7,ENTRY_BLOCK,2026-01-22 17:00:00.111,VALIDATION,BUY,2026-01-22 15:00:00.000,,1,,,,,,SPREAD,,
8,SETUP,2026-01-22 18:00:00.000,VALIDATION,BUY,2026-01-22 17:00:00.000,1.1724800000,,,,,,,,,
9,CANCEL,2026-01-23 00:00:00.329,VALIDATION,BUY,2026-01-22 17:00:00.000,1.1724800000,6,,,,,,EXPIRED_SIX_CANDLES,,
10,SETUP,2026-01-23 00:00:00.000,VALIDATION,BUY,2026-01-22 23:00:00.000,1.1752100000,,,,,,,,,
11,CONFIRMATION,2026-01-23 01:00:00.494,VALIDATION,BUY,2026-01-22 23:00:00.000,1.1752100000,1,2026-01-23 00:00:00.000,,,,,,1.0,
12,ENTRY_BLOCK,2026-01-23 01:00:00.494,VALIDATION,BUY,2026-01-22 23:00:00.000,,1,,,,,,SPREAD,,
13,SETUP,2026-01-23 19:00:00.000,VALIDATION,BUY,2026-01-23 18:00:00.000,1.1760500000,,,,,,,,,
14,CANCEL,2026-01-26 02:00:00.902,VALIDATION,BUY,2026-01-23 18:00:00.000,1.1760500000,6,,,,,,EXPIRED_SIX_CANDLES,,
15,SETUP,2026-01-27 15:00:00.000,VALIDATION,BUY,2026-01-27 14:00:00.000,1.1906200000,,,,,,,,,
16,CANCEL,2026-01-27 21:00:00.618,VALIDATION,BUY,2026-01-27 14:00:00.000,1.1906200000,6,,,,,,EXPIRED_SIX_CANDLES,,
17,SETUP,2026-01-27 23:00:00.000,VALIDATION,BUY,2026-01-27 22:00:00.000,1.1989500000,,,,,,,,,
18,CONFIRMATION,2026-01-28 05:00:00.635,VALIDATION,BUY,2026-01-27 22:00:00.000,1.1989500000,6,2026-01-28 04:00:00.000,,,,,,6.0,
19,ENTRY,2026-01-28 05:00:00.635,VALIDATION,BUY,2026-01-27 22:00:00.000,1.1989500000,6,2026-01-28 04:00:00.000,2026-01-28 05:00:00.635,1.1950605182,,,,,
20,EXIT,2026-01-28 14:00:00.117,VALIDATION,BUY,,,,,2026-01-28 05:00:00.635,1.1950605182,2026-01-28 14:00:00.117,DONCHIAN_10,,,8.99985611111111
