schema,field,value
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,symbol,EURUSD
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,server,easyMarkets-Live
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,company,Blue Capital Markets Limited
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,terminal_build,6067
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,description,Euro vs US Dollar
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,path,Forex\EURUSD
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,currency_base,EUR
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,currency_profit,USD
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,currency_margin,EUR
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,digits,5
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,point,0.0000100000
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,tick_size,0.0000100000
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,tick_value,1.0000000000
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,contract_size,100000.00000000
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,volume_min,0.01000000
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,volume_max,100.00000000
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,volume_step,0.01000000
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,stops_level_points,15
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,freeze_level_points,0
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,trade_mode,4
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,execution_mode,2
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,filling_mode,1
SOLTRADE_PHASE6_HISTORY_ACQUISITION_V1,order_mode,55
