confirmation_sequence,period,confirmation_candle_timestamp,direction,frozen_breakout_boundary,confirmation_atr_price_units,symbol_point_price_units,absolute_limit_points,atr_10_percent_limit_points,effective_frozen_limit_points,binding_limit_side,first_tradable_tick_timestamp,bid,ask,spread_points,spread_pass,amount_above_limit_points,entry_accepted,primary_block_reason,overlapping_block_reasons,first_acceptable_tick_timestamp,time_to_first_acceptable_seconds,executable_price_movement_points,acceptable_within_1_minute,acceptable_within_5_minutes,acceptable_within_15_minutes,acceptable_within_30_minutes,acceptable_within_60_minutes,acceptable_within_remainder_same_h1,no_acceptable_tick_found_same_h1,next_completed_h1_occurred_first
2,VALIDATION,2026-01-20 12:00:00.000,BUY,1.17212,0.0012948257318073514,1e-05,30.0,12.948257318073514,12.948257318073514,ATR_10_PERCENT,2026-01-20 13:00:00.346,1.17308,1.1732,12.000000000012,True,0.0,True,NONE_ENTRY_ACCEPTED,,,,,False,False,False,False,False,False,False,False
6,VALIDATION,2026-01-22 16:00:00.000,BUY,1.17109,0.0012166968763712438,1e-05,30.0,12.166968763712438,12.166968763712438,ATR_10_PERCENT,2026-01-22 17:00:00.111,1.1719,1.17209,19.00000000001345,False,6.833031236301013,False,SPREAD_ABOVE_FROZEN_LIMIT,,2026-01-22 17:00:20.066,19.955,0.0,True,True,True,True,True,True,False,False
11,VALIDATION,2026-01-23 00:00:00.000,BUY,1.17521,0.001173969078939108,1e-05,30.0,11.73969078939108,11.73969078939108,ATR_10_PERCENT,2026-01-23 01:00:00.494,1.17549,1.17568,19.00000000001345,False,7.260309210622371,False,SPREAD_ABOVE_FROZEN_LIMIT,,2026-01-23 01:37:16.212,2235.718,-15.000000000009448,False,False,False,False,True,True,False,False
18,VALIDATION,2026-01-28 04:00:00.000,BUY,1.19895,0.0023897408912505473,1e-05,30.0,23.897408912505473,23.897408912505473,ATR_10_PERCENT,2026-01-28 05:00:00.635,1.19972,1.19984,12.000000000012,True,0.0,True,NONE_ENTRY_ACCEPTED,,,,,False,False,False,False,False,False,False,False
22,VALIDATION,2026-02-02 01:00:00.000,SELL,1.1854,0.002084007252113203,1e-05,30.0,20.84007252113203,20.84007252113203,ATR_10_PERCENT,2026-02-02 02:00:00.040,1.18455,1.18468,12.999999999996346,True,0.0,True,NONE_ENTRY_ACCEPTED,,,,,False,False,False,False,False,False,False,False
26,VALIDATION,2026-02-04 18:00:00.000,SELL,1.18019,0.0014797974996954067,1e-05,30.0,14.797974996954068,14.797974996954068,ATR_10_PERCENT,2026-02-04 19:00:00.187,1.1802,1.18032,12.000000000012,True,0.0,True,NONE_ENTRY_ACCEPTED,,,,,False,False,False,False,False,False,False,False
30,VALIDATION,2026-02-06 01:00:00.000,SELL,1.17791,0.0012750193410231577,1e-05,30.0,12.750193410231578,12.750193410231578,ATR_10_PERCENT,2026-02-06 02:00:00.176,1.1776,1.17772,12.000000000012,True,0.0,True,NONE_ENTRY_ACCEPTED,,,,,False,False,False,False,False,False,False,False
42,VALIDATION,2026-02-17 03:00:00.000,SELL,1.1844,0.0007324010204288475,1e-05,30.0,7.324010204288474,7.324010204288474,ATR_10_PERCENT,2026-02-17 04:00:00.156,1.18437,1.18449,12.000000000012,False,4.675989795723526,False,SPREAD_ABOVE_FROZEN_LIMIT,,,,,False,False,False,False,False,False,True,True
45,VALIDATION,2026-02-17 13:00:00.000,SELL,1.18351,0.0008616938339636888,1e-05,30.0,8.616938339636889,8.616938339636889,ATR_10_PERCENT,2026-02-17 14:00:00.176,1.18302,1.18315,12.999999999996346,False,4.383061660359457,False,SPREAD_ABOVE_FROZEN_LIMIT,,,,,False,False,False,False,False,False,True,True
48,VALIDATION,2026-02-17 16:00:00.000,SELL,1.18235,0.0009245303765372477,1e-05,30.0,9.245303765372476,9.245303765372476,ATR_10_PERCENT,2026-02-17 17:00:00.099,1.18232,1.18245,12.999999999996346,False,3.7546962346238697,False,SPREAD_ABOVE_FROZEN_LIMIT,,,,,False,False,False,False,False,False,True,True
