sequence,event,timestamp,segment,direction,setup_timestamp,frozen_boundary,retest_candle_number,confirmation_timestamp,entry_timestamp,stop_level,exit_type,cancellation_reason,bid,ask,spread_points,confirmation_atr,effective_spread_limit_points
1,SETUP,2025.01.20 15:00:00.000,2025_S1,BUY,2025.01.20 15:00:00.000,1.0325800000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
2,CANCEL,2025.01.20 22:00:00.120,2025_S1,BUY,2025.01.20 15:00:00.000,1.0325800000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
3,SETUP,2025.01.22 11:00:00.000,2025_S1,BUY,2025.01.22 11:00:00.000,1.0434800000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
4,CONFIRMATION,2025.01.22 15:00:00.121,2025_S1,BUY,2025.01.22 11:00:00.000,1.0434800000,3,2025.01.22 14:00:00.000,,0.0000000000,,,1.0437400000,1.0438600000,12.00000000,0.001671073905,30.000000000000
5,ENTRY,2025.01.22 15:00:00.121,2025_S1,BUY,2025.01.22 11:00:00.000,1.0434800000,3,2025.01.22 14:00:00.000,2025.01.22 15:00:00.121,1.0405178522,,,1.0437400000,1.0438600000,12.00000000,0.001671073905,30.000000000000
6,EXIT,2025.01.23 00:00:00.355,2025_S1,BUY,,0.0000000000,0,,2025.01.22 15:00:00.000,1.0405178522,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
7,SETUP,2025.01.23 19:00:00.000,2025_S1,BUY,2025.01.23 19:00:00.000,1.0428700000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
8,CANCEL,2025.01.24 02:00:00.109,2025_S1,BUY,2025.01.23 19:00:00.000,1.0428700000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
9,SETUP,2025.01.24 04:00:00.000,2025_S1,BUY,2025.01.24 04:00:00.000,1.0437400000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
10,CONFIRMATION,2025.01.24 06:00:00.086,2025_S1,BUY,2025.01.24 04:00:00.000,1.0437400000,1,2025.01.24 05:00:00.000,,0.0000000000,,,1.0445500000,1.0446700000,12.00000000,0.001459660644,29.193212872623
11,ENTRY,2025.01.24 06:00:00.086,2025_S1,BUY,2025.01.24 04:00:00.000,1.0437400000,1,2025.01.24 05:00:00.000,2025.01.24 06:00:00.086,1.0417506787,,,1.0445500000,1.0446700000,12.00000000,0.001459660644,29.193212872623
12,EXIT,2025.01.27 04:00:00.220,2025_S1,BUY,,0.0000000000,0,,2025.01.24 06:00:00.000,1.0417506787,DONCHIAN_10,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
13,SETUP,2025.01.29 11:00:00.000,2025_S1,SELL,2025.01.29 11:00:00.000,1.0412700000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
14,CANCEL,2025.01.29 18:00:00.036,2025_S1,SELL,2025.01.29 11:00:00.000,1.0412700000,6,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
15,SETUP,2025.01.30 15:00:00.000,2025_S1,BUY,2025.01.30 15:00:00.000,1.0428400000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
16,CONFIRMATION,2025.01.30 18:00:00.139,2025_S1,BUY,2025.01.30 15:00:00.000,1.0428400000,2,2025.01.30 17:00:00.000,,0.0000000000,,,1.0430700000,1.0431900000,12.00000000,0.001824657835,30.000000000000
17,ENTRY,2025.01.30 18:00:00.139,2025_S1,BUY,2025.01.30 15:00:00.000,1.0428400000,2,2025.01.30 17:00:00.000,2025.01.30 18:00:00.139,1.0395406843,,,1.0430700000,1.0431900000,12.00000000,0.001824657835,30.000000000000
18,EXIT,2025.01.30 22:39:56.235,2025_S1,BUY,,0.0000000000,0,,2025.01.30 18:00:00.000,1.0395406843,INITIAL_STOP,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
19,SETUP,2025.01.31 19:00:00.000,2025_S1,BUY,2025.01.31 19:00:00.000,1.0413500000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
20,CANCEL,2025.01.31 21:00:00.136,2025_S1,BUY,2025.01.31 19:00:00.000,1.0413500000,1,,,0.0000000000,,WRONG_EMA_SIDE,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
21,SETUP,2025.01.31 23:00:00.000,2025_S1,SELL,2025.01.31 23:00:00.000,1.0359800000,0,,,0.0000000000,,,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
22,CANCEL,2025.02.03 06:00:00.470,2025_S1,SELL,2025.01.31 23:00:00.000,1.0359800000,6,,,0.0000000000,,EXPIRED_SIX_CANDLES,0.0000000000,0.0000000000,0.00000000,0.000000000000,0.000000000000
