id,formal_dataset,classification,segment,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_usd,expectancy_R,normalized_expectancy_R,expected_payoff,naturally_closed_trades,right_censored_positions,winning_trades,losing_trades,breakeven_trades,win_rate_percent,average_win,average_loss,payoff_ratio,largest_win,largest_loss,maximum_drawdown_money,relative_drawdown_percent,annualized_return_percent,recovery_factor,maximum_consecutive_wins,maximum_consecutive_losses,buy_net_profit,sell_net_profit,buy_trades,sell_trades,stop_loss_exits,donchian_10_exits,average_holding_seconds,median_holding_seconds,spread_blocks,execution_blocks,risk_engine_blocks,daily_limit_pauses,weekly_limit_pauses,emergency_stops,consecutive_loss_pauses,best_trade_contribution_percent,best_day_contribution_percent,best_week_contribution_percent,best_month_contribution_percent,best_registered_subperiod_contribution_percent,clean_segment_contribution_percent,retest_1,retest_2,retest_3,retest_4,retest_5,retest_6
V31_2025_DEVELOPMENT_REUSE-NORMAL-NATIVE,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,AGGREGATED,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9924.239023437674,-75.76097656232383,674.7782984026288,-750.5392749649527,0.8990579452809293,-1.4029810474504414,-0.05412631852263734,-0.05412631852263734,-1.4029810474504414,54,3,20,34,0,37.03703703703704,33.73891492013144,-22.074684557792725,1.52839850697758,105.34467703670072,-34.98976396559867,236.92627271739002,2.3405811946571458,-0.8083536608303854,-0.3197660423784783,2,5,64.3793422447955,-140.14031880711934,31,23,23,31,89889.85185185185,45352.0,3,0,0,0,0,0,0,,,,,,,24,16,5,4,3,2
V31_2025_DEVELOPMENT_REUSE-HIGH-NATIVE,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,AGGREGATED,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9858.17230127329,-141.82769872670957,641.2446849827963,-783.072383709506,0.818883028341703,-2.6264388653094364,-0.10362474918324119,-0.10362474918324119,-2.6264388653094364,54,3,19,35,0,35.18518518518518,33.74972026225244,-22.373496677414455,1.5084687364189266,104.55431532148924,-36.34377292143992,255.36644167165286,2.5249959303294585,-1.5129331102812782,-0.5553889453848831,2,10,19.9324553564371,-161.7601540831467,31,23,23,31,89889.85185185185,45352.0,3,0,0,0,0,0,0,,,,,,,24,16,5,4,3,2
V31_2025_DEVELOPMENT_REUSE-STRESS-NATIVE,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,AGGREGATED,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9792.534758823984,-207.46524117601754,607.9643229468802,-815.4295641228978,0.7455755220266341,-3.8419489106669915,-0.15312317984384505,-0.15312317984384505,-3.8419489106669915,54,3,19,35,0,35.18518518518518,31.998122260362116,-23.297987546368507,1.3734285932069576,103.7646743087211,-37.69239105245168,312.0089632287036,3.087808532588748,-2.2126211080412794,-0.6649335936671308,2,10,-24.22245755395156,-183.24278362206599,31,23,23,31,89889.85185185185,45352.0,3,0,0,0,0,0,0,,,,,,,24,16,5,4,3,2
V31_2025_DEVELOPMENT_REUSE-NORMAL-DELAY200,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,AGGREGATED,NORMAL,FIXED_DELAY_200_MS,10000.0,9924.203680848608,-75.79631915139566,674.775062309091,-750.5713814604867,0.8990151756067375,-1.4036355398406604,-0.05415261771914071,-0.05415261771914071,-1.4036355398406604,54,3,20,34,0,37.03703703703704,33.73875311545455,-22.0756288664849,1.5283257985314538,105.34388869891735,-34.98963935867953,236.88572659871352,2.340198154523669,-0.8087306622195145,-0.319969971343167,2,5,64.30379821498259,-140.10011736637824,31,23,23,31,89889.85185185185,45352.0,3,0,0,0,0,0,0,,,,,,,24,16,5,4,3,2
V31_2025_DEVELOPMENT_REUSE-HIGH-DELAY200,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,AGGREGATED,HIGH,FIXED_DELAY_200_MS,10000.0,9858.057533125579,-141.94246687442003,641.2373058985512,-783.1797727729712,0.818761321718192,-2.6285642013781487,-0.10371072691899758,-0.10371072691899758,-2.6285642013781487,54,3,19,35,0,35.18518518518518,33.74933188939743,-22.376564936370606,1.5082445400071958,104.55314137421976,-36.343349809794915,255.36765390198707,2.525036267925784,-1.5141567984468973,-0.555835732151493,2,10,19.819989196870107,-161.76245607129013,31,23,23,31,89889.85185185185,45352.0,3,0,0,0,0,0,0,,,,,,,24,16,5,4,3,2
V31_2025_DEVELOPMENT_REUSE-STRESS-DELAY200,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,AGGREGATED,STRESS,FIXED_DELAY_200_MS,10000.0,9792.341601669179,-207.65839833082615,607.9533018878138,-815.6117002186401,0.7453955132385184,-3.845525895015299,-0.15326883611885445,-0.15326883611885445,-3.845525895015299,54,3,19,35,0,35.18518518518518,31.99754220462178,-23.303191434818288,1.3730969980709549,103.76312045352277,-37.69164757232188,312.05080686670954,3.08826888594606,-2.214679674790554,-0.665463423779981,2,10,-24.3712311656592,-183.28716716516695,31,23,23,31,89889.85185185185,45352.0,3,0,0,0,0,0,0,,,,,,,24,16,5,4,3,2
V31_2026_PRESEAL_DEVELOPMENT-NORMAL-NATIVE,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,AGGREGATED,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9839.134484031063,-160.86551596893412,500.0284346806007,-660.8939506495348,0.7565940559588518,-3.923549169974003,-0.15552673646246484,-0.15552673646246484,-3.923549169974003,41,1,10,31,0,24.390243902439025,50.00284346806007,-21.31915969837209,2.3454415734724403,115.53334452271217,-38.8063630936161,279.7855152728007,2.764974081147481,-2.9600430143865264,-0.5749601290548747,2,9,-154.33620406575554,-6.529311903178571,14,27,18,23,89189.48780487805,57599.0,2,0,2,0,0,0,2,,,,,,,22,9,4,1,1,4
V31_2026_PRESEAL_DEVELOPMENT-HIGH-NATIVE,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,AGGREGATED,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9779.469234619472,-220.5307653805258,482.8936456662308,-703.4244110467566,0.6864897465637325,-5.3787991556225805,-0.21484606458689381,-0.21484606458689381,-5.3787991556225805,41,1,10,31,0,24.390243902439025,48.28936456662308,-22.691110033766343,2.128118214347571,114.3525734103941,-40.17413576456368,314.29753014072594,3.1137784086513203,-4.047512434999023,-0.7016624193062659,2,9,-173.6152528828087,-46.915512497717096,14,27,18,23,89189.48780487805,57599.0,2,0,2,0,0,0,2,,,,,,,22,9,4,1,1,4
V31_2026_PRESEAL_DEVELOPMENT-STRESS-NATIVE,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,AGGREGATED,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9720.154544702498,-279.84545529750847,465.9319308546696,-745.777386152178,0.6247600684952853,-6.8254989096953285,-0.27416539271132284,-0.27416539271132284,-6.8254989096953285,41,1,9,32,0,21.951219512195124,51.77021453940773,-23.305543317255562,2.2213691324276814,113.17480583745521,-41.53220040640804,348.5157978383195,3.4613885049529975,-5.122998774613952,-0.8029634726266612,2,9,-192.78939884146752,-87.05605645604095,14,27,18,23,89189.48780487805,57599.0,2,0,2,0,0,0,2,,,,,,,22,9,4,1,1,4
V31_2026_PRESEAL_DEVELOPMENT-NORMAL-DELAY200,V31_2026_PRESEAL_DEVELOPMENT,DESIGN_AND_OPERATIONAL_FEASIBILITY_DATA,AGGREGATED,NORMAL,FIXED_DELAY_200_MS,10000.0,9839.134484031063,-160.86551596893412,500.0284346806007,-660.8939506495348,0.7565940559588518,-3.923549169974003,-0.15552673646246484,-0.15552673646246484,-3.923549169974003,41,1,10,31,0,24.390243902439025,50.00284346806007,-21.31915969837209,2.3454415734724403,115.53334452271217,-38.8063630936161,279.7855152728007,2.764974081147481,-2.9600430143865264,-0.5749601290548747,2,9,-154.33620406575554,-6.529311903178571,14,27,18,23,89189.51219512195,57599.0,2,0,2,0,0,0,2,,,,,,,22,9,4,1,1,4
