id,formal_dataset,classification,segment,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_usd,expectancy_R,normalized_expectancy_R,expected_payoff,naturally_closed_trades,right_censored_positions,winning_trades,losing_trades,breakeven_trades,win_rate_percent,average_win,average_loss,payoff_ratio,largest_win,largest_loss,maximum_drawdown_money,relative_drawdown_percent,annualized_return_percent,recovery_factor,maximum_consecutive_wins,maximum_consecutive_losses,buy_net_profit,sell_net_profit,buy_trades,sell_trades,stop_loss_exits,donchian_10_exits,average_holding_seconds,median_holding_seconds,spread_blocks,execution_blocks,risk_engine_blocks,daily_limit_pauses,weekly_limit_pauses,emergency_stops,consecutive_loss_pauses,best_trade_contribution_percent,best_day_contribution_percent,best_week_contribution_percent,best_month_contribution_percent,best_registered_subperiod_contribution_percent,clean_segment_contribution_percent,retest_1,retest_2,retest_3,retest_4,retest_5,retest_6
001-2025-s1-normal-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S1,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9958.068817528576,-41.931182471423384,11.889068159082282,-53.82025063050566,0.22090324775157183,-13.977060823807795,-0.5591936355404971,-0.5591936355404971,-13.977060823807795,3,True,1,2,0,33.33333333333333,11.889068159082282,-26.91012531525283,0.44180649550314366,11.889068159082282,-27.69722814498934,41.93118247142411,0.41931182471424105,-7.381871917050953,-0.9999999999999827,1,1,-41.931182471423384,0,3,0,2,1,101901.33333333333,36908.0,0,0,0,0,0,0,0,,,,,,,1,1,1,0,0,0
002-2025-s1-high-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S1,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9953.621571485553,-46.37842851444621,10.70158083497021,-57.08000934941643,0.18748386618965437,-15.459476171482072,-0.6186463110085588,-0.6186463110085588,-15.459476171482072,3,True,1,2,0,33.33333333333333,10.70158083497021,-28.540004674708214,0.37496773237930875,10.70158083497021,-30.351812366737807,46.37842851444657,0.4637842851444657,-8.133845991788347,-0.9999999999999923,1,1,-46.37842851444621,0,3,0,2,1,101901.33333333333,36908.0,0,0,0,0,0,0,0,,,,,,,1,1,1,0,0,0
003-2025-s1-stress-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S1,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9949.175428085693,-50.824571914307384,9.514724201886851,-60.339296116194234,0.15768702676883284,-16.941523971435796,-0.6780989864766207,-0.6780989864766207,-16.941523971435796,3,True,1,2,0,33.33333333333333,9.514724201886851,-30.169648058097117,0.3153740535376657,9.514724201886851,-33.00639658848628,50.824571914306944,0.5082457191430695,-8.879862397229477,-1.0000000000000087,1,1,-50.824571914307384,0,3,0,2,1,101901.33333333333,36908.0,0,0,0,0,0,0,0,,,,,,,1,1,1,0,0,0
004-2025-s2-normal-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S2,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,10000.0,0,0,0,,,,,,0,True,0,0,0,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
005-2025-s2-high-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S2,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,10000.0,0,0,0,,,,,,0,True,0,0,0,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
006-2025-s2-stress-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S2,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,10000.0,0,0,0,,,,,,0,True,0,0,0,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
007-2025-s3-normal-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S3,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9933.956007045717,-66.04399295428468,332.4645458285133,-398.508538782798,0.8342720756849802,-2.540153575164795,-0.09927050283878519,-0.09927050283878519,-2.540153575164795,26,False,8,18,0,30.76923076923077,41.55806822856416,-22.139363265710998,1.8771121702912055,105.78825971886131,-35.13709797225777,237.92391583028984,2.340581194657148,-1.7208593533478922,-0.2775845073153284,2,5,15.160810593260122,-81.2048035475448,14,12,12,14,71282.38461538461,43200.0,3,0,0,0,0,0,0,,,,,,,12,5,3,3,2,1
008-2025-s3-high-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S3,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9910.04690707528,-89.95309292472493,324.44519047899337,-414.3982834037183,0.7829308263878831,-3.459734343258651,-0.13635141677945278,-0.13635141677945278,-3.459734343258651,26,False,7,19,0,26.923076923076923,46.34931292557048,-21.810435968616755,2.12509795733854,105.04148120419728,-36.51311501087711,255.037940762777,2.510052330095129,-2.3392932943267386,-0.35270474916669203,2,10,0.5162378254328879,-90.46933075015782,14,12,12,14,71282.38461538461,43200.0,3,0,0,0,0,0,0,,,,,,,12,5,3,3,2,1
009-2025-s3-stress-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S3,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9886.192741391058,-113.80725860894127,316.4597095238133,-430.2669681327545,0.7354961755422806,-4.377202254190049,-0.1734323307201204,-0.1734323307201204,-4.377202254190049,26,False,7,19,0,26.923076923076923,45.208529931973324,-22.64562990172392,1.9963467621861901,104.29474790021499,-37.88493963635338,272.1086677924286,2.679247025732695,-2.953902784480056,-0.41824194551478355,2,10,-14.098054417153067,-99.7092041917882,14,12,12,14,71282.38461538461,43200.0,3,0,0,0,0,0,0,,,,,,,12,5,3,3,2,1
010-2025-s4-normal-native,V31_2025_DEVELOPMENT_REUSE,DEVELOPMENT_REUSE_DATA,2025_S4,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,10032.284972075146,32.28497207514658,335.43128363034003,-303.14631155519345,1.1064996367909576,1.2913988830058631,0.05343171120829959,0.05343171120829959,1.2913988830058631,25,True,11,14,0,44.0,30.49375305730364,-21.653307968228102,1.4082722650066735,76.10993657505286,-26.558416152673527,122.40355688826276,1.2053895748662389,0.9312986853803995,0.26375844702469076,2,4,92.2063312007372,-59.92135912559062,14,11,9,16,107800.24,75603.0,0,0,0,0,0,0,0,235.7441610849134,235.7441610849134,235.7441610849134,436.1784363178435,235.7441610849134,100.00000000000009,11,10,1,1,1,1
