schema,time,segment_id,dataset,cost_profile,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.02 00:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.20 16:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.0325800000
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.20 22:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,SETUP_CANCEL,EXPIRED_SIX_CANDLES,retest=6
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.22 12:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.0434800000
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.22 15:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,CONFIRMATION,VALID,direction=BUY;retest=3;spread=12.00000000;limit=30.000000000000
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.22 15:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.23 00:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_REJECTED_NO_RETRY,POSITION_CLOSE_BROKER_REJECTED,OrderSend returned MARKET_CLOSED; no automatic retry is allowed
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.23 01:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_DUPLICATE_REJECTED,DUPLICATE_POSITION_CLOSE_ATTEMPT,A close attempt is already consumed for this position
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.23 01:15:08,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DONCHIAN_10_EXIT
SOLTRADE_PHASE6_V23_EVENT_V1,2025.01.23 20:00:00,2025_S1,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.0428700000
