schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,retest_candle_number,confirmation_timestamp,confirmation_atr
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.22 15:00:00,2025_S1,ENTRY_ATTEMPT,2025.01.22 14:00:00,0,BUY,1.0438600000,0.0000000000,12,0.0000,0.07000000,23.45000000,1.0405100000,2,2,10009,NONE,NO,3,2025.01.22 14:00:00,0.001671073905
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.23 00:00:00,2025_S1,EXIT_ATTEMPT,2025.01.22 23:00:00,2,BUY,1.0407400000,0.0000000000,0,0.0000,0.07000000,0,0,0,0,10018,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.23 01:00:00,2025_S1,EXIT_ATTEMPT,2025.01.23 00:00:00,2,BUY,1.0407000000,0.0000000000,0,0.0000,0.07000000,0,0,0,0,0,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.23 01:15:08,2025_S1,EXIT_TRANSACTION,NONE,2,BUY,1.0407400000,1.0405000000,0,24.0000,0.07000000,0,0,3,3,10018,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.24 06:00:00,2025_S1,ENTRY_ATTEMPT,2025.01.24 05:00:00,0,BUY,1.0446700000,0.0000000000,12,0.0000,0.08000000,23.36000000,1.0417500000,4,4,10009,NONE,NO,1,2025.01.24 05:00:00,0.001459660644
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.27 04:00:00,2025_S1,EXIT_ATTEMPT,2025.01.27 03:00:00,4,BUY,1.0462200000,0.0000000000,0,0.0000,0.08000000,0,0,5,5,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.27 04:00:00,2025_S1,EXIT_TRANSACTION,NONE,4,BUY,1.0462200000,1.0462200000,0,0.0000,0.08000000,0,0,5,5,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.30 18:00:00,2025_S1,ENTRY_ATTEMPT,2025.01.30 17:00:00,0,BUY,1.0431900000,0.0000000000,12,0.0000,0.06000000,21.90000000,1.0395400000,6,6,10009,NONE,NO,2,2025.01.30 17:00:00,0.001824657835
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.01.30 22:39:56,2025_S1,EXIT_TRANSACTION,NONE,6,BUY,0.0000000000,1.0394300000,0,0.0000,0.06000000,0,0,7,7,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.02.04 20:00:00,2025_S1,ENTRY_ATTEMPT,2025.02.04 19:00:00,0,BUY,1.0377300000,0.0000000000,11,0.0000,0.06000000,24.66000000,1.0336200000,8,8,10009,NONE,NO,2,2025.02.04 19:00:00,0.002051283458
