deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.04.09 16:00:00,1744214400015,0,0,3,0.03000000,1.1076100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.04.09 20:03:15,1744228995781,1,1,4,0.03000000,1.1001500000,-22.38000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.10019,YES
4,4,4,2025.04.10 15:00:00,1744297200298,0,0,3,0.03000000,1.1070200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.04.14 16:00:00,1744646400241,1,1,3,0.03000000,1.1338300000,80.43000000,0.00000000,-0.58000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
6,6,6,2025.04.16 12:00:00,1744804800280,0,0,3,0.04000000,1.1370300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.04.17 09:00:00,1744880400343,1,1,3,0.04000000,1.1352000000,-7.32000000,0.00000000,-1.17000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
8,8,8,2025.04.18 19:00:00,1745002800333,0,0,3,0.09000000,1.1394000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.04.21 18:00:00,1745258400406,1,1,3,0.09000000,1.1497300000,92.97000000,0.00000000,-0.87000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
10,10,10,2025.04.23 03:00:00,1745377200048,0,1,3,0.04000000,1.1350000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.04.23 04:44:03,1745383443335,1,0,4,0.04000000,1.1407900000,-23.16000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.14078,YES
12,12,12,2025.04.25 09:00:00,1745571600000,0,1,3,0.06000000,1.1330500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.04.25 17:13:16,1745601196070,1,0,4,0.06000000,1.1370300000,-23.88000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.13703,YES
14,14,14,2025.04.30 21:00:00,1746046800058,0,1,3,0.05000000,1.1345200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
15,15,14,2025.05.01 14:00:00,1746108000199,1,0,3,0.05000000,1.1332800000,6.20000000,0.00000000,0.68000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
16,16,16,2025.05.01 19:00:00,1746126000365,0,1,3,0.06000000,1.1278200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
17,17,16,2025.05.02 07:00:00,1746169200575,1,0,3,0.06000000,1.1313400000,-21.12000000,0.00000000,0.27000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
18,18,18,2025.05.06 21:00:00,1746565200417,0,0,3,0.06000000,1.1365200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
19,19,18,2025.05.07 03:23:51,1746588231349,1,1,4,0.06000000,1.1324900000,-24.18000000,0.00000000,-0.58000000,0.00000000,2607202601,EURUSD,sl 1.13249,YES
20,20,20,2025.05.08 04:00:00,1746676800039,0,1,3,0.06000000,1.1309400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
21,21,20,2025.05.09 09:00:00,1746781200313,1,0,3,0.06000000,1.1235900000,44.10000000,0.00000000,0.27000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
22,22,22,2025.05.23 11:00:00,1747998000203,0,0,3,0.07000000,1.1340000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
23,23,22,2025.05.23 14:52:23,1748011943662,1,1,4,0.07000000,1.1306300000,-23.59000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.13065,YES
