schema,time,segment_id,dataset,cost_profile,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V23_EVENT_V1,2025.03.20 00:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.09 04:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.0991400000
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.09 10:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,SETUP_CANCEL,EXPIRED_SIX_CANDLES,retest=6
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.09 10:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.1068300000
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.09 16:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,CONFIRMATION,VALID,direction=BUY;retest=6;spread=12.00000000;limit=30.000000000000
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.09 16:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.09 20:03:15,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,STOP_LOSS_EXIT
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.10 14:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.1068500000
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.10 15:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,CONFIRMATION,VALID,direction=BUY;retest=1;spread=12.00000000;limit=30.000000000000
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.10 15:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.14 16:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.14 16:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DONCHIAN_10_EXIT
SOLTRADE_PHASE6_V23_EVENT_V1,2025.04.16 09:00:03,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.1355500000
