schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,retest_candle_number,confirmation_timestamp,confirmation_atr
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.05 12:00:00,2025_S4,ENTRY_ATTEMPT,2025.09.05 11:00:00,0,BUY,1.1684000000,0.0000000000,12,0.0000,0.11000000,23.65000000,1.1662500000,2,2,10009,NONE,NO,1,2025.09.05 11:00:00,0.001074880382
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.09 11:00:00,2025_S4,EXIT_ATTEMPT,2025.09.09 10:00:00,2,BUY,1.1752000000,0.0000000000,0,0.0000,0.11000000,0,0,3,3,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.09 11:00:00,2025_S4,EXIT_TRANSACTION,NONE,2,BUY,1.1752000000,1.1752000000,0,0.0000,0.11000000,0,0,3,3,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.16 07:00:00,2025_S4,ENTRY_ATTEMPT,2025.09.16 06:00:00,0,BUY,1.1780800000,0.0000000000,12,0.0000,0.12000000,24.84000000,1.1760100000,4,4,10009,NONE,NO,1,2025.09.16 06:00:00,0.001030946522
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.17 11:00:00,2025_S4,EXIT_ATTEMPT,2025.09.17 10:00:00,4,BUY,1.1839900000,0.0000000000,0,0.0000,0.12000000,0,0,5,5,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.17 11:00:00,2025_S4,EXIT_TRANSACTION,NONE,4,BUY,1.1839900000,1.1839900000,0,0.0000,0.12000000,0,0,5,5,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.19 21:00:00,2025_S4,ENTRY_ATTEMPT,2025.09.19 20:00:00,0,SELL,1.1750200000,0.0000000000,13,0.0000,0.08000000,24.48000000,1.1780800000,6,6,10009,NONE,NO,6,2025.09.19 20:00:00,0.001525287360
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.22 12:00:00,2025_S4,EXIT_ATTEMPT,2025.09.22 11:00:00,6,SELL,1.1762900000,0.0000000000,0,0.0000,0.08000000,0,0,7,7,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.22 12:00:00,2025_S4,EXIT_TRANSACTION,NONE,6,SELL,1.1762900000,1.1762900000,0,0.0000,0.08000000,0,0,7,7,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.22 15:00:00,2025_S4,ENTRY_ATTEMPT,2025.09.22 14:00:00,0,BUY,1.1779100000,0.0000000000,13,0.0000,0.10000000,24.40000000,1.1754700000,8,8,10009,NONE,NO,2,2025.09.22 14:00:00,0.001217681703
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.24 10:00:00,2025_S4,EXIT_ATTEMPT,2025.09.24 09:00:00,8,BUY,1.1786800000,0.0000000000,0,0.0000,0.10000000,0,0,9,9,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.09.24 10:00:00,2025_S4,EXIT_TRANSACTION,NONE,8,BUY,1.1786800000,1.1786800000,0,0.0000,0.10000000,0,0,9,9,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.06 11:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.06 10:00:00,0,SELL,1.1662100000,0.0000000000,12,0.0000,0.08000000,24.00000000,1.1692100000,10,10,10009,NONE,NO,1,2025.10.06 10:00:00,0.001496115753
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.06 16:03:00,2025_S4,EXIT_TRANSACTION,NONE,10,SELL,0.0000000000,1.1692100000,0,0.0000,0.08000000,0,0,11,11,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.07 13:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.07 12:00:00,0,SELL,1.1665900000,0.0000000000,12,0.0000,0.10000000,24.70000000,1.1690600000,12,12,10009,NONE,NO,1,2025.10.07 12:00:00,0.001230939058
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.09 04:00:00,2025_S4,EXIT_ATTEMPT,2025.10.09 03:00:00,12,SELL,1.1637100000,0.0000000000,0,0.0000,0.10000000,0,0,13,13,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.09 04:00:00,2025_S4,EXIT_TRANSACTION,NONE,12,SELL,1.1637100000,1.1637100000,0,0.0000,0.10000000,0,0,13,13,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.13 20:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.13 19:00:00,0,SELL,1.1574800000,0.0000000000,12,0.0000,0.08000000,24.40000000,1.1605300000,14,14,10009,NONE,NO,5,2025.10.13 19:00:00,0.001524257652
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.14 07:00:00,2025_S4,EXIT_ATTEMPT,2025.10.14 06:00:00,14,SELL,1.1579400000,0.0000000000,0,0.0000,0.08000000,0,0,15,15,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.14 07:00:00,2025_S4,EXIT_TRANSACTION,NONE,14,SELL,1.1579400000,1.1579400000,0,0.0000,0.08000000,0,0,15,15,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.14 13:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.14 12:00:00,0,SELL,1.1554200000,0.0000000000,12,0.0000,0.08000000,22.56000000,1.1582400000,16,16,10009,NONE,NO,2,2025.10.14 12:00:00,0.001408413490
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.14 16:39:43,2025_S4,EXIT_TRANSACTION,NONE,16,SELL,0.0000000000,1.1583000000,0,0.0000,0.08000000,0,0,17,17,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.16 20:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.16 19:00:00,0,BUY,1.1677600000,0.0000000000,12,0.0000,0.09000000,23.58000000,1.1651400000,18,18,10009,NONE,NO,2,2025.10.16 19:00:00,0.001306952864
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.17 14:00:00,2025_S4,EXIT_ATTEMPT,2025.10.17 13:00:00,18,BUY,1.1689100000,0.0000000000,0,0.0000,0.09000000,0,0,19,19,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.17 14:00:00,2025_S4,EXIT_TRANSACTION,NONE,18,BUY,1.1689100000,1.1689100000,0,0.0000,0.09000000,0,0,19,19,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.10.20 23:00:00,2025_S4,ENTRY_ATTEMPT,2025.10.20 22:00:00,0,SELL,1.1640300000,0.0000000000,12,0.0000,0.11000000,24.20000000,1.1662300000,20,20,10009,NONE,NO,2,2025.10.20 22:00:00,0.001097012147
