deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2026.01.20 13:00:00,1768914000346,0,0,3,0.09000000,1.1732000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2026.01.20 22:00:00,1768946400055,1,1,3,0.09000000,1.1711800000,-18.18000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
4,4,4,2026.01.22 17:00:00,1769101200111,0,0,3,0.10000000,1.1720900000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2026.01.23 09:00:00,1769158800601,1,1,3,0.10000000,1.1741600000,20.70000000,0.00000000,-0.97000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
6,6,6,2026.01.28 05:00:00,1769576400635,0,0,3,0.05000000,1.1998400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2026.01.28 14:00:00,1769608800117,1,1,3,0.05000000,1.1967300000,-15.55000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
8,8,8,2026.02.04 19:00:00,1770231600187,0,1,3,0.08000000,1.1802000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2026.02.05 16:00:00,1770307200083,1,0,3,0.08000000,1.1812400000,-8.32000000,0.00000000,1.08000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
10,10,10,2026.02.06 02:00:00,1770343200176,0,1,3,0.09000000,1.1776000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2026.02.06 07:16:58,1770362218465,1,0,4,0.09000000,1.1801600000,-23.04000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.18016,YES
12,12,12,2026.02.17 04:00:00,1771300800156,0,1,3,0.16000000,1.1843700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
13,13,12,2026.02.18 00:01:11,1771372871368,1,0,4,0.16000000,1.1860600000,-27.04000000,0.00000000,0.72000000,0.00000000,2607202601,EURUSD,sl 1.18584,YES
14,14,14,2026.02.18 23:00:00,1771455600221,0,1,3,0.10000000,1.1783000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
15,15,14,2026.02.19 09:00:00,1771491600228,1,0,3,0.10000000,1.1798700000,-15.70000000,0.00000000,1.35000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
16,16,16,2026.02.26 03:00:00,1772074800153,0,0,3,0.12000000,1.1819700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
17,17,16,2026.02.26 11:00:00,1772103600310,1,1,3,0.12000000,1.1801800000,-21.48000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
18,18,18,2026.03.02 05:00:00,1772427600076,0,1,3,0.07000000,1.1788100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
19,19,18,2026.03.04 13:00:00,1772629200175,1,0,3,0.07000000,1.1635000000,107.17000000,0.00000000,0.64000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
20,20,20,2026.03.06 16:00:00,1772812800166,0,1,3,0.06000000,1.1554300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
21,21,20,2026.03.06 17:02:05,1772816525887,1,0,4,0.06000000,1.1590500000,-21.72000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.15904,YES
22,22,22,2026.03.11 15:00:00,1773241200403,0,1,3,0.07000000,1.1593500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
23,23,22,2026.03.12 13:00:00,1773320400355,1,0,3,0.07000000,1.1560100000,23.38000000,0.00000000,0.95000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
24,24,24,2026.03.12 18:00:00,1773338400274,0,1,3,0.07000000,1.1519600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
25,25,24,2026.03.16 14:00:00,1773669600132,1,0,3,0.07000000,1.1476000000,30.52000000,0.00000000,0.64000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
26,26,26,2026.03.18 18:00:00,1773856800309,0,1,3,0.07000000,1.1515700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
27,27,26,2026.03.19 17:00:00,1773939600274,1,0,3,0.07000000,1.1518500000,-1.96000000,0.00000000,0.95000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
28,28,28,2026.03.26 17:00:00,1774544400239,0,1,3,0.08000000,1.1541700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
29,29,28,2026.03.31 04:00:00,1774929600803,1,0,3,0.08000000,1.1475300000,53.12000000,0.00000000,1.08000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
30,30,30,2026.04.01 06:00:00,1775023200245,0,0,3,0.07000000,1.1569300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
31,31,30,2026.04.02 05:00:00,1775106000170,1,1,3,0.07000000,1.1552000000,-12.11000000,0.00000000,-2.04000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
32,32,32,2026.04.06 14:00:00,1775484000394,0,0,3,0.09000000,1.1549000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
33,33,32,2026.04.07 05:00:00,1775538000192,1,1,3,0.09000000,1.1529500000,-17.55000000,0.00000000,-0.87000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
34,34,34,2026.04.07 18:00:00,1775584800351,0,0,3,0.09000000,1.1572500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
35,35,34,2026.04.08 22:00:00,1775685600097,1,1,3,0.09000000,1.1649600000,69.39000000,0.00000000,-0.87000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
