schema,time,segment_id,dataset,cost_profile,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.02 00:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.20 12:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.1721200000
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.20 13:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,CONFIRMATION,VALID,direction=BUY;retest=1;spread=12.00000000;limit=25.896514636147
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.20 13:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.20 22:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.20 22:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DONCHIAN_10_EXIT
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.22 16:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.1710900000
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.22 17:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,CONFIRMATION,VALID,direction=BUY;retest=1;spread=19.00000000;limit=24.333937527425
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.22 17:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2026.01.23 09:00:00,2026_P1,DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
