schema,time,segment_id,dataset,cost_profile,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.09 00:00:00,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.27 12:00:00,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=BUY;boundary=1.1744400000
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.27 14:00:01,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,CONFIRMATION,VALID,direction=BUY;retest=2;spread=12.00000000;limit=21.674032744656
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.27 14:00:01,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.27 19:54:44,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,STOP_LOSS_EXIT
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.28 05:00:00,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,SETUP,CREATED,direction=SELL;boundary=1.1712800000
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.28 06:00:00,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,CONFIRMATION,VALID,direction=SELL;retest=1;spread=14.00000000;limit=17.714968337251
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.28 06:00:00,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.28 19:00:00,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V23_EVENT_V1,2026.04.28 19:00:00,2026_P2,DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DONCHIAN_10_EXIT
