schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,retest_candle_number,confirmation_timestamp,confirmation_atr
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.17 15:00:00,2026_P3,ENTRY_ATTEMPT,2026.07.17 14:00:00,0,SELL,1.1429500000,0.0000000000,12,0.0000,0.13000000,23.40000000,1.1447500000,2,2,10009,NONE,NO,1,2026.07.17 14:00:00,0.000899553358
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.20 08:00:00,2026_P3,EXIT_ATTEMPT,2026.07.20 07:00:00,2,SELL,1.1445100000,0.0000000000,0,0.0000,0.13000000,0,0,3,3,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.20 08:00:00,2026_P3,EXIT_TRANSACTION,NONE,2,SELL,1.1445100000,1.1445100000,0,0.0000,0.13000000,0,0,3,3,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.20 18:00:00,2026_P3,ENTRY_ATTEMPT,2026.07.20 17:00:00,0,SELL,1.1406000000,0.0000000000,12,0.0000,0.13000000,24.18000000,1.1424600000,4,4,10009,NONE,NO,1,2026.07.20 17:00:00,0.000929508144
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.21 10:01:14,2026_P3,EXIT_TRANSACTION,NONE,4,SELL,0.0000000000,1.1424700000,0,0.0000,0.13000000,0,0,5,5,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.23 11:00:00,2026_P3,ENTRY_ATTEMPT,2026.07.23 10:00:00,0,BUY,1.1425100000,0.0000000000,13,0.0000,0.18000000,24.66000000,1.1411400000,6,6,10009,NONE,NO,5,2026.07.23 10:00:00,0.000680199539
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.23 11:36:27,2026_P3,EXIT_TRANSACTION,NONE,6,BUY,0.0000000000,1.1411300000,0,0.0000,0.18000000,0,0,7,7,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.23 15:00:00,2026_P3,ENTRY_ATTEMPT,2026.07.23 14:00:00,0,SELL,0.0000000000,0.0000000000,13,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO,1,2026.07.23 14:00:00,0.000876460044
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.23 18:00:00,2026_P3,ENTRY_ATTEMPT,2026.07.23 17:00:00,0,SELL,0.0000000000,0.0000000000,13,0.0000,0.00000000,0.00000000,0.0000000000,0,0,0,NONE,NO,1,2026.07.23 17:00:00,0.001027089182
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.28 14:00:00,2026_P3,ENTRY_ATTEMPT,2026.07.28 13:00:00,0,SELL,1.1360100000,0.0000000000,12,0.0000,0.13000000,23.14000000,1.1377900000,8,8,10009,NONE,NO,1,2026.07.28 13:00:00,0.000886214687
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.28 17:26:12,2026_P3,EXIT_TRANSACTION,NONE,8,SELL,0.0000000000,1.1378100000,0,0.0000,0.13000000,0,0,9,9,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.29 16:00:00,2026_P3,ENTRY_ATTEMPT,2026.07.29 15:00:00,0,SELL,1.1377600000,0.0000000000,14,0.0000,0.15000000,24.00000000,1.1393600000,10,10,10009,NONE,NO,1,2026.07.29 15:00:00,0.000798749282
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.29 17:00:33,2026_P3,EXIT_TRANSACTION,NONE,10,SELL,0.0000000000,1.1393800000,0,0.0000,0.15000000,0,0,11,11,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2026.07.31 23:00:00,2026_P3,ENTRY_ATTEMPT,2026.07.31 22:00:00,0,BUY,1.1531900000,0.0000000000,13,0.0000,0.07000000,23.10000000,1.1498900000,12,12,10009,NONE,NO,2,2026.07.31 22:00:00,0.001648108756
