schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,retest_candle_number,confirmation_timestamp,confirmation_atr
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.09 16:00:00,2025_S3,ENTRY_ATTEMPT,2025.04.09 15:00:00,0,BUY,1.1076100000,0.0000000000,12,0.0000,0.03000000,22.26000000,1.1001900000,2,2,10009,NONE,NO,6,2025.04.09 15:00:00,0.003707260167
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.09 20:03:15,2025_S3,EXIT_TRANSACTION,NONE,2,BUY,0.0000000000,1.1001500000,0,0.0000,0.03000000,0,0,3,3,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.10 15:00:00,2025_S3,ENTRY_ATTEMPT,2025.04.10 14:00:00,0,BUY,1.1070200000,0.0000000000,12,0.0000,0.03000000,18.78000000,1.1007600000,4,4,10009,NONE,NO,1,2025.04.10 14:00:00,0.003125125632
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.14 16:00:00,2025_S3,EXIT_ATTEMPT,2025.04.14 15:00:00,4,BUY,1.1338300000,0.0000000000,0,0.0000,0.03000000,0,0,5,5,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.14 16:00:00,2025_S3,EXIT_TRANSACTION,NONE,4,BUY,1.1338300000,1.1338300000,0,0.0000,0.03000000,0,0,5,5,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.16 12:00:00,2025_S3,ENTRY_ATTEMPT,2025.04.16 11:00:00,0,BUY,1.1370300000,0.0000000000,24,0.0000,0.04000000,20.28000000,1.1319600000,6,6,10009,NONE,NO,3,2025.04.16 11:00:00,0.002531696171
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.17 09:00:00,2025_S3,EXIT_ATTEMPT,2025.04.17 08:00:00,6,BUY,1.1352000000,0.0000000000,0,0.0000,0.04000000,0,0,7,7,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.17 09:00:00,2025_S3,EXIT_TRANSACTION,NONE,6,BUY,1.1352000000,1.1352000000,0,0.0000,0.04000000,0,0,7,7,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.18 19:00:00,2025_S3,ENTRY_ATTEMPT,2025.04.18 18:00:00,0,BUY,1.1394000000,0.0000000000,26,0.0000,0.09000000,24.12000000,1.1367200000,8,8,10009,NONE,NO,1,2025.04.18 18:00:00,0.001337241098
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.21 18:00:00,2025_S3,EXIT_ATTEMPT,2025.04.21 17:00:00,8,BUY,1.1497300000,0.0000000000,0,0.0000,0.09000000,0,0,9,9,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.21 18:00:00,2025_S3,EXIT_TRANSACTION,NONE,8,BUY,1.1497300000,1.1497300000,0,0.0000,0.09000000,0,0,9,9,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.23 03:00:00,2025_S3,ENTRY_ATTEMPT,2025.04.23 02:00:00,0,SELL,1.1350000000,0.0000000000,13,0.0000,0.04000000,23.12000000,1.1407800000,10,10,10009,NONE,NO,1,2025.04.23 02:00:00,0.002887249641
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.23 04:44:03,2025_S3,EXIT_TRANSACTION,NONE,10,SELL,0.0000000000,1.1407900000,0,0.0000,0.04000000,0,0,11,11,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.25 09:00:00,2025_S3,ENTRY_ATTEMPT,2025.04.25 08:00:00,0,SELL,1.1330500000,0.0000000000,14,0.0000,0.06000000,23.88000000,1.1370300000,12,12,10009,NONE,NO,2,2025.04.25 08:00:00,0.001989650385
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.25 17:13:16,2025_S3,EXIT_TRANSACTION,NONE,12,SELL,0.0000000000,1.1370300000,0,0.0000,0.06000000,0,0,13,13,0,STOP_LOSS_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.04.30 21:00:00,2025_S3,ENTRY_ATTEMPT,2025.04.30 20:00:00,0,SELL,1.1345200000,0.0000000000,11,0.0000,0.05000000,21.30000000,1.1387800000,14,14,10009,NONE,NO,2,2025.04.30 20:00:00,0.002127653673
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.01 14:00:00,2025_S3,EXIT_ATTEMPT,2025.05.01 13:00:00,14,SELL,1.1332800000,0.0000000000,0,0.0000,0.05000000,0,0,15,15,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.01 14:00:00,2025_S3,EXIT_TRANSACTION,NONE,14,SELL,1.1332800000,1.1332800000,0,0.0000,0.05000000,0,0,15,15,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.01 19:00:00,2025_S3,ENTRY_ATTEMPT,2025.05.01 18:00:00,0,SELL,1.1278200000,0.0000000000,12,0.0000,0.06000000,25.20000000,1.1320200000,16,16,10009,NONE,NO,1,2025.05.01 18:00:00,0.002096022495
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.02 07:00:00,2025_S3,EXIT_ATTEMPT,2025.05.02 06:00:00,16,SELL,1.1313400000,0.0000000000,0,0.0000,0.06000000,0,0,17,17,10009,DONCHIAN_10_EXIT,NO,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.02 07:00:00,2025_S3,EXIT_TRANSACTION,NONE,16,SELL,1.1313400000,1.1313400000,0,0.0000,0.06000000,0,0,17,17,10009,DONCHIAN_10_EXIT,YES,0,NONE,0
SOLTRADE_PHASE6_V23_TRANSACTION_V1,2025.05.06 21:00:00,2025_S3,ENTRY_ATTEMPT,2025.05.06 20:00:00,0,BUY,1.1365200000,0.0000000000,13,0.0000,0.06000000,24.18000000,1.1324900000,18,18,10009,NONE,NO,4,2025.05.06 20:00:00,0.002012739787
