deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.09.05 12:00:00,1757073600450,0,0,3,0.11000000,1.1684000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.09.09 11:00:00,1757415600485,1,1,3,0.11000000,1.1752000000,74.80000000,0.00000000,-2.14000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
4,4,4,2025.09.16 07:00:00,1758006000494,0,0,3,0.12000000,1.1780800000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.09.17 11:00:00,1758106800477,1,1,3,0.12000000,1.1839900000,70.92000000,0.00000000,-1.17000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
6,6,6,2025.09.19 21:00:00,1758315600662,0,1,3,0.08000000,1.1750200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.09.22 12:00:00,1758542400200,1,0,3,0.08000000,1.1762900000,-10.16000000,0.00000000,0.36000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
8,8,8,2025.09.22 15:00:00,1758553200415,0,0,3,0.10000000,1.1779100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.09.24 10:00:00,1758708000262,1,1,3,0.10000000,1.1786800000,7.70000000,0.00000000,-1.94000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
10,10,10,2025.10.06 11:00:00,1759748400252,0,1,3,0.08000000,1.1662100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.10.06 16:03:00,1759766580937,1,0,4,0.08000000,1.1692100000,-24.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16921,YES
12,12,12,2025.10.07 13:00:00,1759842000342,0,1,3,0.10000000,1.1665900000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.10.09 04:00:00,1759982400568,1,0,3,0.10000000,1.1637100000,28.80000000,0.00000000,1.80000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
14,14,14,2025.10.13 20:00:00,1760385600238,0,1,3,0.08000000,1.1574800000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
15,15,14,2025.10.14 07:00:00,1760425200437,1,0,3,0.08000000,1.1579400000,-3.68000000,0.00000000,0.36000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
16,16,16,2025.10.14 13:00:00,1760446800483,0,1,3,0.08000000,1.1554200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
17,17,16,2025.10.14 16:39:43,1760459983742,1,0,4,0.08000000,1.1583000000,-23.04000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.15824,YES
18,18,18,2025.10.16 20:00:00,1760644800387,0,0,3,0.09000000,1.1677600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
19,19,18,2025.10.17 14:00:00,1760709600325,1,1,3,0.09000000,1.1689100000,10.35000000,0.00000000,-0.87000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
20,20,20,2025.10.20 23:00:00,1761001200409,0,1,3,0.11000000,1.1640300000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
21,21,20,2025.10.22 09:00:00,1761123600397,1,0,3,0.11000000,1.1614700000,28.16000000,0.00000000,1.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
22,22,22,2025.10.22 16:00:00,1761148800585,0,1,3,0.13000000,1.1582500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
23,23,22,2025.10.22 17:28:58,1761154138898,1,0,4,0.13000000,1.1602300000,-25.74000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16020,YES
24,24,24,2025.10.23 15:00:00,1761231600273,0,1,3,0.14000000,1.1586600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
25,25,24,2025.10.23 15:49:59,1761234599864,1,0,4,0.14000000,1.1604400000,-24.92000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16044,YES
26,26,26,2025.10.28 07:00:02,1761634802566,0,0,3,0.13000000,1.1660700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
27,27,26,2025.10.28 15:48:15,1761666495569,1,1,4,0.13000000,1.1641900000,-24.44000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.16420,YES
28,28,28,2025.10.30 18:00:00,1761847200364,0,1,3,0.07000000,1.1572600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
29,29,28,2025.11.04 09:00:00,1762246800323,1,0,3,0.07000000,1.1524100000,33.95000000,0.00000000,0.96000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
30,30,30,2025.11.12 20:00:00,1762977600643,0,0,3,0.12000000,1.1593700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
31,31,30,2025.11.14 13:00:00,1763125200629,1,1,3,0.12000000,1.1612700000,22.80000000,0.00000000,-4.67000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
32,32,32,2025.11.18 20:00:00,1763496000603,0,1,3,0.11000000,1.1575000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
33,33,32,2025.11.19 08:00:00,1763539200256,1,0,3,0.11000000,1.1589600000,-16.06000000,0.00000000,0.50000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
34,34,34,2025.11.21 18:00:00,1763748000487,0,1,3,0.08000000,1.1502200000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
35,35,34,2025.11.24 08:00:00,1763971200595,1,0,3,0.08000000,1.1523000000,-16.64000000,0.00000000,0.36000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
36,36,36,2025.11.25 17:00:00,1764090000441,0,0,3,0.10000000,1.1567100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
37,37,36,2025.11.26 16:00:00,1764172800769,1,1,3,0.10000000,1.1551600000,-15.50000000,0.00000000,-0.97000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
38,38,38,2025.11.27 03:00:00,1764212400211,0,0,3,0.10000000,1.1602800000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
39,39,38,2025.11.27 11:18:12,1764242292224,1,1,4,0.10000000,1.1579300000,-23.50000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.15793,YES
40,40,40,2025.11.28 20:00:00,1764360000255,0,0,3,0.09000000,1.1603400000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
41,41,40,2025.12.01 22:00:01,1764626401573,1,1,3,0.09000000,1.1608000000,4.14000000,0.00000000,-0.87000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
42,42,42,2025.12.03 09:00:00,1764752400843,0,0,3,0.16000000,1.1643700000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
