deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2026.07.17 15:00:00,1784300400341,0,1,3,0.13000000,1.1429500000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
3,3,2,2026.07.20 08:00:00,1784534400365,1,0,3,0.13000000,1.1445100000,-20.28000000,0.00000000,0.59000000,0.00000000,2607202601,EURUSD,SolTrade TBV1 exit,YES
4,4,4,2026.07.20 18:00:00,1784570400356,0,1,3,0.13000000,1.1406000000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
5,5,4,2026.07.21 10:01:14,1784628074537,1,0,4,0.13000000,1.1424700000,-24.31000000,0.00000000,0.59000000,0.00000000,2607202601,EURUSD,sl 1.14246,YES
6,6,6,2026.07.23 11:00:00,1784804400244,0,0,3,0.18000000,1.1425100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
7,7,6,2026.07.23 11:36:27,1784806587975,1,1,4,0.18000000,1.1411300000,-24.84000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.14114,YES
8,8,8,2026.07.28 14:00:00,1785247200265,0,1,3,0.13000000,1.1360100000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
9,9,8,2026.07.28 17:26:12,1785259572191,1,0,4,0.13000000,1.1378100000,-23.40000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.13779,YES
10,10,10,2026.07.29 16:00:00,1785340800414,0,1,3,0.15000000,1.1377600000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
11,11,10,2026.07.29 17:00:33,1785344433526,1,0,4,0.15000000,1.1393800000,-24.30000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,sl 1.13936,YES
12,12,12,2026.07.31 23:00:00,1785538800552,0,0,3,0.07000000,1.1531900000,0.00000000,0.00000000,0.00000000,0.00000000,2607202601,EURUSD,SolTrade TBV1,YES
