schema,time,segment_id,dataset,cost_profile,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.01 00:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.17 14:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,SETUP,CREATED,direction=SELL;boundary=1.1430700000
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.17 15:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,CONFIRMATION,VALID,direction=SELL;retest=1;spread=12.00000000;limit=17.991067156632
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.17 15:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.20 08:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.20 08:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DONCHIAN_10_EXIT
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.20 17:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,SETUP,CREATED,direction=SELL;boundary=1.1416300000
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.20 18:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,CONFIRMATION,VALID,direction=SELL;retest=1;spread=12.00000000;limit=18.590162885717
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.20 18:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.21 10:01:14,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,STOP_LOSS_EXIT
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.22 00:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,SETUP,CREATED,direction=SELL;boundary=1.1398000000
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.22 06:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,SETUP_CANCEL,EXPIRED_SIX_CANDLES,retest=6
SOLTRADE_PHASE6_V23_EVENT_V1,2026.07.23 06:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,SETUP,CREATED,direction=BUY;boundary=1.1421000000
