cell_id,formal_dataset,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_usd,expectancy_R,normalized_expectancy_R,naturally_closed_trades,winning_trades,losing_trades,win_rate_percent,relative_drawdown_percent,maximum_drawdown_money,annualized_return_percent,right_censored_positions,best_trade_contribution_percent,best_registered_subperiod_contribution_percent,best_day_contribution_percent,clean_segment_contribution_percent,stop_loss_exits,time_exits,spread_blocks,execution_blocks,risk_engine_blocks,daily_limit_pauses,weekly_limit_pauses,emergency_stops,consecutive_loss_pauses
V25_2025_DEVELOPMENT_REUSE-NORMAL-NATIVE,V25_2025_DEVELOPMENT_REUSE,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9496.97455628107,-503.0254437189354,806.8201023965208,-1309.8455461154563,0.6159658326046663,-2.810198009602991,-0.11486529413106487,-0.11486529413106487,179,74,104,41.340782122905026,5.149379623917557,514.9379623917557,-5.359320143775492,0,,,,,27,152,0,0,0,0,0,0,0
V25_2025_DEVELOPMENT_REUSE-HIGH-NATIVE,V25_2025_DEVELOPMENT_REUSE,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9373.140758672409,-626.8592413276033,748.5894426907649,-1375.448684018368,0.5442510879459085,-3.50200693479108,-0.1441864621086344,-0.1441864621086344,179,73,106,40.78212290502793,6.376193233848388,637.6193233848389,-6.675778995864878,0,,,,,27,152,0,0,0,0,0,0,0
V25_2025_DEVELOPMENT_REUSE-STRESS-NATIVE,V25_2025_DEVELOPMENT_REUSE,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9250.912028941682,-749.087971058314,694.0586085650523,-1443.1465796233663,0.48093424352375097,-4.184849000325777,-0.17350763008620393,-0.17350763008620393,179,67,112,37.43016759776536,7.587234253068127,758.7234253068127,-7.974028119969256,0,,,,,27,152,0,0,0,0,0,0,0
V25_2025_DEVELOPMENT_REUSE-NORMAL-DELAY200,V25_2025_DEVELOPMENT_REUSE,NORMAL,FIXED_DELAY_200_MS,10000.0,9496.850410778761,-503.1495892212364,807.0009465128755,-1310.150535734112,0.6159604751531026,-2.8108915598951754,-0.11489437057181127,-0.11489437057181127,179,74,104,41.340782122905026,5.150619521723019,515.061952172302,-5.360640497012403,0,,,,,27,152,0,0,0,0,0,0,0
V25_2025_DEVELOPMENT_REUSE-HIGH-DELAY200,V25_2025_DEVELOPMENT_REUSE,HIGH,FIXED_DELAY_200_MS,10000.0,9372.673805792467,-627.3261942075205,748.7036938987457,-1376.0298881062663,0.5441042381202448,-3.50461561009788,-0.14429760538781264,-0.14429760538781264,179,73,106,40.78212290502793,6.380857402169986,638.0857402169986,-6.6807408994774224,0,,,,,27,152,0,0,0,0,0,0,0
V25_2025_DEVELOPMENT_REUSE-STRESS-DELAY200,V25_2025_DEVELOPMENT_REUSE,STRESS,FIXED_DELAY_200_MS,10000.0,9250.11120333763,-749.8887966623757,694.1101152751072,-1443.998911937483,0.48068603759803824,-4.189322886381987,-0.17370084020381404,-0.17370084020381404,179,67,112,37.43016759776536,7.595234167965155,759.5234167965154,-7.982530280599742,0,,,,,27,152,0,0,0,0,0,0,0
V25_2026_PRESEAL_DEVELOPMENT-NORMAL-NATIVE,V25_2026_PRESEAL_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9798.985110838346,-201.01488916166096,644.6378311281079,-845.6527202897689,0.7622961715386172,-1.7479555579274866,-0.06996255598474872,-0.06996255598474872,115,54,61,46.95652173913044,3.7126428801409115,372.80705352655787,-3.692433424609032,0,,,,,16,99,0,0,0,0,0,0,0
V25_2026_PRESEAL_DEVELOPMENT-HIGH-NATIVE,V25_2026_PRESEAL_DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9700.99460316173,-299.00539683827145,599.3592290711233,-898.3646259093947,0.6671669963233527,-2.6000469290284474,-0.10491303830208949,-0.10491303830208949,115,49,66,42.608695652173914,4.577781520708387,459.386543703431,-5.469211787319406,0,,,,,16,99,0,0,0,0,0,0,0
V25_2026_PRESEAL_DEVELOPMENT-STRESS-NATIVE,V25_2026_PRESEAL_DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9603.974912715157,-396.0250872848403,557.1886980021922,-953.2137852870325,0.5845369701975208,-3.4436964111725246,-0.13986352061943028,-0.13986352061943028,115,46,69,40.0,5.463259524656309,548.0573897496361,-7.213373157819447,0,,,,,16,99,0,0,0,0,0,0,0
V25_2026_PRESEAL_DEVELOPMENT-NORMAL-DELAY200,V25_2026_PRESEAL_DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,9798.985110838346,-201.01488916166096,644.6378311281079,-845.6527202897689,0.7622961715386172,-1.7479555579274866,-0.06996255598474872,-0.06996255598474872,115,54,61,46.95652173913044,3.7126428801409115,372.80705352655787,-3.692433424609032,0,,,,,16,99,0,0,0,0,0,0,0
V25_2026_PRESEAL_DEVELOPMENT-HIGH-DELAY200,V25_2026_PRESEAL_DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,9700.99460316173,-299.00539683827145,599.3592290711233,-898.3646259093947,0.6671669963233527,-2.6000469290284474,-0.10491303830208949,-0.10491303830208949,115,49,66,42.608695652173914,4.577781520708387,459.386543703431,-5.469211787319406,0,,,,,16,99,0,0,0,0,0,0,0
V25_2026_PRESEAL_DEVELOPMENT-STRESS-DELAY200,V25_2026_PRESEAL_DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,9603.974912715157,-396.0250872848403,557.1886980021922,-953.2137852870325,0.5845369701975208,-3.4436964111725246,-0.13986352061943028,-0.13986352061943028,115,46,69,40.0,5.463259524656309,548.0573897496361,-7.213373157819447,0,,,,,16,99,0,0,0,0,0,0,0
