deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.04.08 18:05:00,1744135500122,0,0,3,0.04000000,1.0909400000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.04.08 22:05:00,1744149900176,1,1,3,0.04000000,1.0960000000,20.24000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
4,4,4,2025.04.09 18:05:00,1744221900165,0,0,3,0.03000000,1.1043200000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.04.09 20:24:52,1744230292153,1,1,4,0.03000000,1.0968300000,-22.47000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,sl 1.09691,YES
6,6,6,2025.04.10 18:05:00,1744308300041,0,0,3,0.03000000,1.1168400000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.04.10 22:05:00,1744322700248,1,1,3,0.03000000,1.1206200000,11.34000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
8,8,8,2025.04.11 18:05:00,1744394700160,0,0,3,0.02000000,1.1335700000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.04.11 22:05:00,1744409100484,1,1,3,0.02000000,1.1317600000,-3.62000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
10,10,10,2025.04.14 18:05:00,1744653900064,0,0,3,0.03000000,1.1376000000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.04.14 22:05:00,1744668300627,1,1,3,0.03000000,1.1351200000,-7.44000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
12,12,12,2025.04.15 18:05:00,1744740300427,0,0,3,0.04000000,1.1324000000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.04.15 19:40:10,1744746010794,1,1,4,0.04000000,1.1266400000,-23.04000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,sl 1.12665,YES
14,14,14,2025.04.16 18:05:00,1744826700359,0,0,3,0.05000000,1.1382700000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
15,15,14,2025.04.16 22:05:00,1744841100617,1,1,3,0.05000000,1.1391900000,4.60000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
16,16,16,2025.04.17 18:05:00,1744913100424,0,0,3,0.05000000,1.1354900000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
17,17,16,2025.04.17 22:05:01,1744927501393,1,1,3,0.05000000,1.1372000000,8.55000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
18,18,18,2025.04.18 18:05:00,1744999500467,0,0,3,0.09000000,1.1393400000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
19,19,18,2025.04.18 22:05:02,1745013902545,1,1,3,0.09000000,1.1394000000,0.54000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
20,20,20,2025.04.21 18:05:01,1745258701640,0,0,3,0.04000000,1.1494700000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
21,21,20,2025.04.21 22:05:00,1745273100059,1,1,3,0.04000000,1.1521500000,10.72000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
22,22,22,2025.04.22 18:05:00,1745345100058,0,0,3,0.05000000,1.1479700000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
23,23,22,2025.04.22 20:00:32,1745352032848,1,1,4,0.05000000,1.1431900000,-23.90000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,sl 1.14323,YES
24,24,24,2025.04.23 18:05:00,1745431500147,0,0,3,0.03000000,1.1353800000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
25,25,24,2025.04.23 22:05:00,1745445900434,1,1,3,0.03000000,1.1319000000,-10.44000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
26,26,26,2025.04.24 18:05:00,1745517900036,0,0,3,0.05000000,1.1365700000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
27,27,26,2025.04.24 22:05:00,1745532300039,1,1,3,0.05000000,1.1378600000,6.45000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
28,28,28,2025.04.25 18:05:00,1745604300153,0,0,3,0.05000000,1.1366900000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
29,29,28,2025.04.25 22:05:00,1745618700010,1,1,3,0.05000000,1.1378600000,5.85000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
30,30,30,2025.04.28 18:05:00,1745863500381,0,0,3,0.05000000,1.1383400000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
