schema,time,segment_id,dataset,cost_profile,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.20 00:00:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.20 19:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.03.20 19:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.21 19:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.03.21 19:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.24 19:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.03.24 19:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.25 19:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.03.25 19:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.26 19:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.03.26 19:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.27 19:05:01,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.03.27 19:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.28 19:05:01,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.03.28 19:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.03.31 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.03.31 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.01 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.04.01 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.02 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.04.02 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.03 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.04.03 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.04 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.04.04 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.07 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2025.04.07 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.08 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.08 22:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.08 22:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,FIXING_REVERSAL_TIME_EXIT
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.09 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.09 20:24:52,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,STOP_LOSS_EXIT
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.10 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.10 22:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.10 22:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,FIXING_REVERSAL_TIME_EXIT
SOLTRADE_PHASE6_V25_EVENT_V1,2025.04.11 18:05:00,2025_S3,DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
