schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,scheduled_entry_target,entry_atr
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.04 18:05:00,2025_S4,ENTRY_ATTEMPT,2025.09.04 17:00:00,0,BUY,1.1638500000,0.0000000000,13,0.0000,0.08000000,22.72000000,1.1610100000,2,2,10009,NONE,NO,2025.09.04 18:05:00,0.001417084744
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.04 22:05:00,2025_S4,EXIT_ATTEMPT,2025.09.04 21:00:00,2,BUY,1.1645400000,0.0000000000,0,0.0000,0.08000000,0,0,3,3,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.04 22:05:00,2025_S4,EXIT_TRANSACTION,NONE,2,BUY,1.1645400000,1.1645400000,0,0.0000,0.08000000,0,0,3,3,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.05 18:05:00,2025_S4,ENTRY_ATTEMPT,2025.09.05 17:00:00,0,BUY,1.1739700000,0.0000000000,12,0.0000,0.07000000,24.71000000,1.1704400000,4,4,10009,NONE,NO,2025.09.05 18:05:00,0.001761864770
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.05 22:05:00,2025_S4,EXIT_ATTEMPT,2025.09.05 21:00:00,4,BUY,1.1719000000,0.0000000000,0,0.0000,0.07000000,0,0,5,5,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.05 22:05:00,2025_S4,EXIT_TRANSACTION,NONE,4,BUY,1.1719000000,1.1719000000,0,0.0000,0.07000000,0,0,5,5,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.08 18:05:00,2025_S4,ENTRY_ATTEMPT,2025.09.08 17:00:00,0,BUY,1.1746300000,0.0000000000,12,0.0000,0.09000000,24.48000000,1.1719100000,6,6,10009,NONE,NO,2025.09.08 18:05:00,0.001355258316
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.08 22:05:01,2025_S4,EXIT_ATTEMPT,2025.09.08 21:00:00,6,BUY,1.1762000000,0.0000000000,0,0.0000,0.09000000,0,0,7,7,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.08 22:05:01,2025_S4,EXIT_TRANSACTION,NONE,6,BUY,1.1762000000,1.1762000000,0,0.0000,0.09000000,0,0,7,7,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.09 18:05:00,2025_S4,ENTRY_ATTEMPT,2025.09.09 17:00:00,0,BUY,1.1722200000,0.0000000000,12,0.0000,0.08000000,24.96000000,1.1691000000,8,8,10009,NONE,NO,2025.09.09 18:05:00,0.001558171460
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.09 22:05:04,2025_S4,EXIT_ATTEMPT,2025.09.09 21:00:00,8,BUY,1.1704400000,0.0000000000,0,0.0000,0.08000000,0,0,9,9,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.09 22:05:04,2025_S4,EXIT_TRANSACTION,NONE,8,BUY,1.1704400000,1.1704400000,0,0.0000,0.08000000,0,0,9,9,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.10 18:05:00,2025_S4,ENTRY_ATTEMPT,2025.09.10 17:00:00,0,BUY,1.1728200000,0.0000000000,13,0.0000,0.07000000,22.75000000,1.1695700000,10,10,10009,NONE,NO,2025.09.10 18:05:00,0.001624332443
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.10 22:05:04,2025_S4,EXIT_ATTEMPT,2025.09.10 21:00:00,10,BUY,1.1703200000,0.0000000000,0,0.0000,0.07000000,0,0,11,11,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2025.09.10 22:05:04,2025_S4,EXIT_TRANSACTION,NONE,10,BUY,1.1703200000,1.1703200000,0,0.0000,0.07000000,0,0,11,11,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
