schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,scheduled_entry_target,entry_atr
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.27 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.04.27 17:00:00,0,BUY,1.1734400000,0.0000000000,13,0.0000,0.10000000,23.50000000,1.1710900000,2,2,10009,NONE,NO,2026.04.27 18:05:00,0.001170157551
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.27 22:05:03,2026_P2,EXIT_ATTEMPT,2026.04.27 21:00:00,2,BUY,1.1719500000,0.0000000000,0,0.0000,0.10000000,0,0,3,3,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.27 22:05:03,2026_P2,EXIT_TRANSACTION,NONE,2,BUY,1.1719500000,1.1719500000,0,0.0000,0.10000000,0,0,3,3,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.28 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.04.28 17:00:00,0,BUY,1.1708900000,0.0000000000,13,0.0000,0.10000000,23.70000000,1.1685200000,4,4,10009,NONE,NO,2026.04.28 18:05:00,0.001183937280
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.28 22:05:00,2026_P2,EXIT_ATTEMPT,2026.04.28 21:00:00,4,BUY,1.1712800000,0.0000000000,0,0.0000,0.10000000,0,0,5,5,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.28 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,4,BUY,1.1712800000,1.1712800000,0,0.0000,0.10000000,0,0,5,5,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.29 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.04.29 17:00:00,0,BUY,1.1698300000,0.0000000000,12,0.0000,0.10000000,22.90000000,1.1675400000,6,6,10009,NONE,NO,2026.04.29 18:05:00,0.001143965686
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.29 21:08:32,2026_P2,EXIT_TRANSACTION,NONE,6,BUY,0.0000000000,1.1675100000,0,0.0000,0.10000000,0,0,7,7,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.30 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.04.30 17:00:00,0,BUY,1.1724400000,0.0000000000,13,0.0000,0.07000000,23.66000000,1.1690600000,8,8,10009,NONE,NO,2026.04.30 18:05:00,0.001685754572
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.30 22:05:00,2026_P2,EXIT_ATTEMPT,2026.04.30 21:00:00,8,BUY,1.1737000000,0.0000000000,0,0.0000,0.07000000,0,0,9,9,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.04.30 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,8,BUY,1.1737000000,1.1737000000,0,0.0000,0.07000000,0,0,9,9,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.01 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.01 17:00:00,0,BUY,1.1767800000,0.0000000000,12,0.0000,0.08000000,23.20000000,1.1738800000,10,10,10009,NONE,NO,2026.05.01 18:05:00,0.001449991632
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.01 19:56:34,2026_P2,EXIT_TRANSACTION,NONE,10,BUY,0.0000000000,1.1738600000,0,0.0000,0.08000000,0,0,11,11,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.04 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.04 17:00:00,0,BUY,1.1711400000,0.0000000000,14,0.0000,0.08000000,22.80000000,1.1682900000,12,12,10009,NONE,NO,2026.05.04 18:05:00,0.001421195024
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.04 19:45:00,2026_P2,EXIT_TRANSACTION,NONE,12,BUY,0.0000000000,1.1682900000,0,0.0000,0.08000000,0,0,13,13,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.05 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.05 17:00:00,0,BUY,1.1710900000,0.0000000000,13,0.0000,0.10000000,23.10000000,1.1687800000,14,14,10009,NONE,NO,2026.05.05 18:05:00,0.001151991643
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.05 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.05 21:00:00,14,BUY,1.1698100000,0.0000000000,0,0.0000,0.10000000,0,0,15,15,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.05 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,14,BUY,1.1698100000,1.1698100000,0,0.0000,0.10000000,0,0,15,15,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.06 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.06 17:00:00,0,BUY,1.1753700000,0.0000000000,12,0.0000,0.07000000,22.05000000,1.1722200000,16,16,10009,NONE,NO,2026.05.06 18:05:00,0.001572284317
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.06 22:05:02,2026_P2,EXIT_ATTEMPT,2026.05.06 21:00:00,16,BUY,1.1750000000,0.0000000000,0,0.0000,0.07000000,0,0,17,17,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.06 22:05:02,2026_P2,EXIT_TRANSACTION,NONE,16,BUY,1.1750000000,1.1750000000,0,0.0000,0.07000000,0,0,17,17,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.07 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.07 17:00:00,0,BUY,1.1776200000,0.0000000000,13,0.0000,0.10000000,22.70000000,1.1753500000,18,18,10009,NONE,NO,2026.05.07 18:05:00,0.001132984754
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.07 20:25:55,2026_P2,EXIT_TRANSACTION,NONE,18,BUY,0.0000000000,1.1753300000,0,0.0000,0.10000000,0,0,19,19,0,STOP_LOSS_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.08 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.08 17:00:00,0,BUY,1.1775200000,0.0000000000,13,0.0000,0.09000000,22.95000000,1.1749700000,20,20,10009,NONE,NO,2026.05.08 18:05:00,0.001273237777
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.08 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.08 21:00:00,20,BUY,1.1779800000,0.0000000000,0,0.0000,0.09000000,0,0,21,21,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.08 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,20,BUY,1.1779800000,1.1779800000,0,0.0000,0.09000000,0,0,21,21,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.11 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.11 17:00:00,0,BUY,1.1782100000,0.0000000000,13,0.0000,0.11000000,23.54000000,1.1760700000,22,22,10009,NONE,NO,2026.05.11 18:05:00,0.001067137628
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.11 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.11 21:00:00,22,BUY,1.1775500000,0.0000000000,0,0.0000,0.11000000,0,0,23,23,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.11 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,22,BUY,1.1775500000,1.1775500000,0,0.0000,0.11000000,0,0,23,23,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.12 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.12 17:00:00,0,BUY,1.1733700000,0.0000000000,13,0.0000,0.11000000,24.31000000,1.1711600000,24,24,10009,NONE,NO,2026.05.12 18:05:00,0.001102575204
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.12 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.12 21:00:00,24,BUY,1.1740100000,0.0000000000,0,0.0000,0.11000000,0,0,25,25,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.12 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,24,BUY,1.1740100000,1.1740100000,0,0.0000,0.11000000,0,0,25,25,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.13 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.13 17:00:00,0,BUY,1.1711300000,0.0000000000,14,0.0000,0.11000000,23.10000000,1.1690300000,26,26,10009,NONE,NO,2026.05.13 18:05:00,0.001046201829
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.13 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.13 21:00:00,26,BUY,1.1708100000,0.0000000000,0,0.0000,0.11000000,0,0,27,27,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.13 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,26,BUY,1.1708100000,1.1708100000,0,0.0000,0.11000000,0,0,27,27,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.14 18:05:00,2026_P2,ENTRY_ATTEMPT,2026.05.14 17:00:00,0,BUY,1.1678100000,0.0000000000,13,0.0000,0.12000000,23.64000000,1.1658400000,28,28,10009,NONE,NO,2026.05.14 18:05:00,0.000980021556
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.14 22:05:00,2026_P2,EXIT_ATTEMPT,2026.05.14 21:00:00,28,BUY,1.1676900000,0.0000000000,0,0.0000,0.12000000,0,0,29,29,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.05.14 22:05:00,2026_P2,EXIT_TRANSACTION,NONE,28,BUY,1.1676900000,1.1676900000,0,0.0000,0.12000000,0,0,29,29,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
