deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.09.04 18:05:00,1757009100585,0,0,3,0.08000000,1.1638500000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
3,3,2,2025.09.04 22:05:00,1757023500311,1,1,3,0.08000000,1.1645400000,5.52000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
4,4,4,2025.09.05 18:05:00,1757095500494,0,0,3,0.07000000,1.1739700000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
5,5,4,2025.09.05 22:05:00,1757109900787,1,1,3,0.07000000,1.1719000000,-14.49000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
6,6,6,2025.09.08 18:05:00,1757354700341,0,0,3,0.09000000,1.1746300000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
7,7,6,2025.09.08 22:05:01,1757369101433,1,1,3,0.09000000,1.1762000000,14.13000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
8,8,8,2025.09.09 18:05:00,1757441100367,0,0,3,0.08000000,1.1722200000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
9,9,8,2025.09.09 22:05:05,1757455505192,1,1,3,0.08000000,1.1704400000,-14.24000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
10,10,10,2025.09.10 18:05:00,1757527500832,0,0,3,0.07000000,1.1728200000,0.00000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1,YES
11,11,10,2025.09.10 22:05:04,1757541904415,1,1,3,0.07000000,1.1703200000,-17.50000000,0.00000000,0.00000000,0.00000000,2508202601,EURUSD,SolTrade TBV1 exit,YES
