schema,time,segment_id,record_type,signal_bar_time,position_identifier,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,exit_reason,fill_confirmed,scheduled_entry_target,entry_atr
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.20 18:05:01,2026_P1,ENTRY_ATTEMPT,2026.01.20 17:00:00,0,BUY,1.1731100000,0.0000000000,13,0.0000,0.07000000,23.52000000,1.1697500000,2,2,10009,NONE,NO,2026.01.20 18:05:00,0.001678842894
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.20 22:05:00,2026_P1,EXIT_ATTEMPT,2026.01.20 21:00:00,2,BUY,1.1710500000,0.0000000000,0,0.0000,0.07000000,0,0,3,3,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.20 22:05:00,2026_P1,EXIT_TRANSACTION,NONE,2,BUY,1.1710500000,1.1710500000,0,0.0000,0.07000000,0,0,3,3,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.21 18:05:00,2026_P1,ENTRY_ATTEMPT,2026.01.21 17:00:00,0,BUY,1.1704800000,0.0000000000,12,0.0000,0.08000000,24.24000000,1.1674500000,4,4,10009,NONE,NO,2026.01.21 18:05:00,0.001511875083
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.21 22:05:00,2026_P1,EXIT_ATTEMPT,2026.01.21 21:00:00,4,BUY,1.1685200000,0.0000000000,0,0.0000,0.08000000,0,0,5,5,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.21 22:05:00,2026_P1,EXIT_TRANSACTION,NONE,4,BUY,1.1685200000,1.1685200000,0,0.0000,0.08000000,0,0,5,5,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.22 18:05:00,2026_P1,ENTRY_ATTEMPT,2026.01.22 17:00:00,0,BUY,1.1738100000,0.0000000000,13,0.0000,0.10000000,24.90000000,1.1713200000,6,6,10009,NONE,NO,2026.01.22 18:05:00,0.001241218528
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.22 22:05:02,2026_P1,EXIT_ATTEMPT,2026.01.22 21:00:00,6,BUY,1.1743700000,0.0000000000,0,0.0000,0.10000000,0,0,7,7,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.22 22:05:02,2026_P1,EXIT_TRANSACTION,NONE,6,BUY,1.1743700000,1.1743700000,0,0.0000,0.10000000,0,0,7,7,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.23 18:05:01,2026_P1,ENTRY_ATTEMPT,2026.01.23 17:00:00,0,BUY,1.1755700000,0.0000000000,12,0.0000,0.11000000,23.98000000,1.1733900000,8,8,10009,NONE,NO,2026.01.23 18:05:00,0.001085087465
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.23 22:05:01,2026_P1,EXIT_ATTEMPT,2026.01.23 21:00:00,8,BUY,1.1814000000,0.0000000000,0,0.0000,0.11000000,0,0,9,9,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.23 22:05:01,2026_P1,EXIT_TRANSACTION,NONE,8,BUY,1.1814000000,1.1814000000,0,0.0000,0.11000000,0,0,9,9,10009,FIXING_REVERSAL_TIME_EXIT,YES,NONE,0
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.26 18:05:01,2026_P1,ENTRY_ATTEMPT,2026.01.26 17:00:00,0,BUY,1.1903800000,0.0000000000,12,0.0000,0.06000000,23.34000000,1.1864900000,10,10,10009,NONE,NO,2026.01.26 18:05:00,0.001944699243
SOLTRADE_PHASE6_V25_TRANSACTION_V1,2026.01.26 22:05:04,2026_P1,EXIT_ATTEMPT,2026.01.26 21:00:00,10,BUY,1.1878100000,0.0000000000,0,0.0000,0.06000000,0,0,11,11,10009,FIXING_REVERSAL_TIME_EXIT,NO,NONE,0
