schema,time,segment_id,dataset,cost_profile,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.01 00:00:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.01 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.01 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.02 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.02 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.03 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.03 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.06 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.06 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.07 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.07 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.08 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.08 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.09 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.09 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.10 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.10 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.13 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.13 18:05:00
SOLTRADE_PHASE6_V25_EVENT_V1,2026.07.14 18:05:00,2026_P3,DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,ENTRY_SKIP,INSUFFICIENT_CLEAN_HISTORY,target=2026.07.14 18:05:00
