deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.02.03 02:05:00,1738548300146,0,0,3,0.01000000,1.0260700000,0.00000000,0.00000000,0.00000000,0.00000000,2708202601,EURUSD,SolTrade TBV1,YES
3,3,3,2025.02.03 02:05:00,1738548300146,0,0,3,0.01000000,1.2304500000,0.00000000,0.00000000,0.00000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1,YES
4,4,4,2025.02.03 02:05:00,1738548300146,0,0,3,0.02000000,0.6147500000,0.00000000,0.00000000,0.00000000,0.00000000,2708202603,AUDUSD,SolTrade TBV1,YES
5,5,2,2025.02.07 23:55:00,1738972500038,1,1,3,0.01000000,1.0325200000,6.45000000,0.00000000,-0.59000000,0.00000000,2708202601,EURUSD,SolTrade TBV1 exit,YES
6,6,3,2025.02.07 23:55:00,1738972500038,1,1,3,0.01000000,1.2398400000,9.39000000,0.00000000,-0.17000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1 exit,YES
7,7,4,2025.02.07 23:55:00,1738972500038,1,1,3,0.02000000,0.6269600000,24.42000000,0.00000000,-0.23000000,0.00000000,2708202603,AUDUSD,SolTrade TBV1 exit,YES
8,8,8,2025.02.10 02:05:00,1739153100821,0,0,3,0.01000000,1.0317000000,0.00000000,0.00000000,0.00000000,0.00000000,2708202601,EURUSD,SolTrade TBV1,YES
9,9,9,2025.02.10 02:05:00,1739153100821,0,0,3,0.01000000,1.2397100000,0.00000000,0.00000000,0.00000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1,YES
10,10,8,2025.02.17 00:03:04,1739750584982,1,1,3,0.01000000,1.0484800000,16.78000000,0.00000000,-0.69000000,0.00000000,2708202601,EURUSD,SolTrade TBV1 exit,YES
11,11,9,2025.02.17 00:03:12,1739750592845,1,1,3,0.01000000,1.2584300000,18.72000000,0.00000000,-0.20000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1 exit,YES
12,12,12,2025.03.03 02:05:00,1740967500069,0,1,3,0.02000000,1.0402200000,0.00000000,0.00000000,0.00000000,0.00000000,2708202601,EURUSD,SolTrade TBV1,YES
13,13,12,2025.03.04 22:17:50,1741126670004,1,0,4,0.02000000,1.0617800000,-43.12000000,0.00000000,0.09000000,0.00000000,2708202601,EURUSD,sl 1.06174,YES
14,14,14,2025.04.07 02:05:00,1743991500433,0,0,3,0.01000000,1.0988000000,0.00000000,0.00000000,0.00000000,0.00000000,2708202601,EURUSD,SolTrade TBV1,YES
15,15,15,2025.04.07 02:05:00,1743991500433,0,0,3,0.01000000,1.2887700000,0.00000000,0.00000000,0.00000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1,YES
16,16,16,2025.04.07 02:05:00,1743991500433,0,0,3,0.01000000,0.6000900000,0.00000000,0.00000000,0.00000000,0.00000000,2708202603,AUDUSD,SolTrade TBV1,YES
17,17,17,2025.04.07 02:05:00,1743991500433,0,1,3,0.02000000,1.4228900000,0.00000000,0.00000000,0.00000000,0.00000000,2708202605,USDCAD,SolTrade TBV1,YES
18,18,18,2025.04.07 02:05:00,1743991500433,0,0,3,0.01000000,0.8522100000,0.00000000,0.00000000,0.00000000,0.00000000,2708202606,USDCHF,SolTrade TBV1,YES
19,19,19,2025.04.07 02:05:00,1743991500433,0,0,3,0.01000000,145.2210000000,0.00000000,0.00000000,0.00000000,0.00000000,2708202607,USDJPY,SolTrade TBV1,YES
20,20,18,2025.04.10 18:23:07,1744309387939,1,1,4,0.01000000,0.8297000000,-27.13000000,0.00000000,0.35000000,0.00000000,2708202606,USDCHF,sl 0.82984,YES
21,21,14,2025.04.11 23:58:00,1744415880128,1,1,3,0.01000000,1.1353300000,36.53000000,0.00000000,-0.59000000,0.00000000,2708202601,EURUSD,SolTrade TBV1 exit,YES
22,22,15,2025.04.11 23:58:00,1744415880128,1,1,3,0.01000000,1.3078200000,19.05000000,0.00000000,-0.17000000,0.00000000,2708202602,GBPUSD,SolTrade TBV1 exit,YES
23,23,16,2025.04.11 23:58:00,1744415880128,1,1,3,0.01000000,0.6285800000,28.49000000,0.00000000,-0.11000000,0.00000000,2708202603,AUDUSD,SolTrade TBV1 exit,YES
24,24,19,2025.04.11 23:58:00,1744415880128,1,1,3,0.01000000,143.4420000000,-12.40000000,0.00000000,0.39000000,0.00000000,2708202607,USDJPY,SolTrade TBV1 exit,YES
25,25,17,2025.04.11 23:58:00,1744415880198,1,0,3,0.02000000,1.3871800000,51.49000000,0.00000000,-0.78000000,0.00000000,2708202605,USDCAD,SolTrade TBV1 exit,YES
26,26,26,2025.04.14 02:05:00,1744596300198,0,0,3,0.01000000,1.1331900000,0.00000000,0.00000000,0.00000000,0.00000000,2708202601,EURUSD,SolTrade TBV1,YES
27,27,27,2025.04.14 02:05:00,1744596300198,0,1,3,0.01000000,0.6279500000,0.00000000,0.00000000,0.00000000,0.00000000,2708202603,AUDUSD,SolTrade TBV1,YES
28,28,28,2025.04.14 02:05:00,1744596300198,0,1,3,0.01000000,0.8173400000,0.00000000,0.00000000,0.00000000,0.00000000,2708202606,USDCHF,SolTrade TBV1,YES
29,29,29,2025.04.14 02:05:00,1744596300198,0,1,3,0.01000000,143.5960000000,0.00000000,0.00000000,0.00000000,0.00000000,2708202607,USDJPY,SolTrade TBV1,YES
30,30,26,2025.04.18 23:57:15,1745020635387,1,1,3,0.01000000,1.1392100000,6.02000000,0.00000000,-0.59000000,0.00000000,2708202601,EURUSD,SolTrade TBV1 exit,YES
31,31,28,2025.04.18 23:57:15,1745020635387,1,0,3,0.01000000,0.8176200000,-0.34000000,0.00000000,-0.85000000,0.00000000,2708202606,USDCHF,SolTrade TBV1 exit,YES
32,32,29,2025.04.18 23:57:15,1745020635387,1,0,3,0.01000000,142.2540000000,9.43000000,0.00000000,-0.79000000,0.00000000,2708202607,USDJPY,SolTrade TBV1 exit,YES
33,33,27,2025.04.18 23:58:00,1745020680796,1,0,3,0.01000000,0.6377700000,-9.82000000,0.00000000,-0.05000000,0.00000000,2708202603,AUDUSD,SolTrade TBV1 exit,YES
34,34,34,2025.05.05 02:05:00,1746410700414,0,0,3,0.02000000,1.3821600000,0.00000000,0.00000000,0.00000000,0.00000000,2708202605,USDCAD,SolTrade TBV1,YES
35,35,34,2025.05.09 23:55:00,1746834900270,1,1,3,0.02000000,1.3938900000,16.83000000,0.00000000,0.30000000,0.00000000,2708202605,USDCAD,SolTrade TBV1 exit,YES
36,36,36,2025.05.12 02:05:00,1747015500438,0,0,3,0.01000000,1.1226600000,0.00000000,0.00000000,0.00000000,0.00000000,2708202601,EURUSD,SolTrade TBV1,YES
37,37,37,2025.05.12 02:05:00,1747015500438,0,0,3,0.03000000,1.3928900000,0.00000000,0.00000000,0.00000000,0.00000000,2708202605,USDCAD,SolTrade TBV1,YES
38,38,38,2025.05.12 02:05:00,1747015500438,0,1,3,0.01000000,0.8341700000,0.00000000,0.00000000,0.00000000,0.00000000,2708202606,USDCHF,SolTrade TBV1,YES
39,39,39,2025.05.12 02:05:00,1747015500438,0,1,3,0.01000000,145.8120000000,0.00000000,0.00000000,0.00000000,0.00000000,2708202607,USDJPY,SolTrade TBV1,YES
40,40,36,2025.05.16 23:55:00,1747439700394,1,1,3,0.01000000,1.1160200000,-6.64000000,0.00000000,-0.59000000,0.00000000,2708202601,EURUSD,SolTrade TBV1 exit,YES
41,41,37,2025.05.16 23:55:00,1747439700394,1,1,3,0.03000000,1.3964000000,7.54000000,0.00000000,0.45000000,0.00000000,2708202605,USDCAD,SolTrade TBV1 exit,YES
42,42,38,2025.05.16 23:55:00,1747439700394,1,0,3,0.01000000,0.8375900000,-4.08000000,0.00000000,-0.83000000,0.00000000,2708202606,USDCHF,SolTrade TBV1 exit,YES
43,43,39,2025.05.16 23:55:00,1747439700394,1,0,3,0.01000000,145.6490000000,1.12000000,0.00000000,-0.78000000,0.00000000,2708202607,USDJPY,SolTrade TBV1 exit,YES
